"iso_code3","year","grade","level","survey","COUNTRY","iso_num","category","Wealth","Sex","Location","Language","mlevel1_m","mlevel2_m","mlevel3_m","mlevel4_m","mlevel1_se","mlevel2_se","mlevel3_se","mlevel4_se","mlevel1_no","mlevel2_no","mlevel3_no","mlevel4_no","rlevel1_m","rlevel2_m","rlevel3_m","rlevel4_m","rlevel1_se","rlevel2_se","rlevel3_se","rlevel4_se","rlevel1_no","rlevel2_no","rlevel3_no","rlevel4_no","slevel1_m","slevel2_m","slevel3_m","slevel4_m","slevel1_se","slevel2_se","slevel3_se","slevel4_se","slevel1_no","slevel2_no","slevel3_no","slevel4_no"
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth","4",,,,0.7073,0.3865,0.117,0.0161,0.0206,0.0228,0.0137,0.0055,767,414,124,19,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth","5",,,,0.8487,0.5493,0.2077,0.0303,0.0171,0.0297,0.0209,0.0082,931,612,229,37,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth","1",,,,0.1936,0.0237,0.0024,0,0.02,0.008,0.0044,0,191,27,1,0,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth","2",,,,0.2494,0.0413,0.0016,0,0.0237,0.01,0.0017,0,243,31,1,0,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth","3",,,,0.3264,0.0624,0.0044,0,0.0228,0.0134,0.0031,0,346,71,5,0,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth","4",,,,0.4686,0.1342,0.0158,7e-04,0.0281,0.0202,0.0067,0.001,471,133,18,2,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth","5",,,,0.6681,0.3039,0.0641,0.0034,0.0356,0.041,0.0173,0.003,658,284,60,4,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Wealth","1",,,,0.2855,0.0693,0.0069,0,0.0234,0.0126,0.0046,0,276,69,7,0,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Wealth","2",,,,0.3459,0.0812,0.0065,0.001,0.0245,0.013,0.0034,0.0012,319,78,9,1,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Wealth","3",,,,0.3919,0.1132,0.019,0.0015,0.0247,0.0168,0.0061,0.0014,370,109,21,2,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Wealth","4",,,,0.445,0.1736,0.0437,0.0081,0.0309,0.0227,0.0145,0.0056,401,166,44,7,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Wealth","5",,,,0.6913,0.3816,0.1428,0.0247,0.035,0.0458,0.0298,0.0092,624,348,136,25,,,,,,,,,,,,,,,,,,,,,,,,
"KHM",2016,,"Upper secondary","PISA-D","Cambodia",116,"Wealth","1",,,,0.2018,0.0313,0.0018,0,0.0204,0.0108,0.002,0,188,36,2,0,,,,,,,,,,,,,,,,,,,,,,,,
"KHM",2016,,"Upper secondary","PISA-D","Cambodia",116,"Wealth","2",,,,0.2718,0.0659,0.007,0,0.026,0.0132,0.0045,0,261,55,4,0,,,,,,,,,,,,,,,,,,,,,,,,
"KHM",2016,,"Upper secondary","PISA-D","Cambodia",116,"Wealth","3",,,,0.3355,0.0915,0.0097,8e-04,0.0254,0.0154,0.0041,0.0013,300,96,8,1,,,,,,,,,,,,,,,,,,,,,,,,
"KHM",2016,,"Upper secondary","PISA-D","Cambodia",116,"Wealth","4",,,,0.4026,0.1195,0.0176,9e-04,0.0265,0.0152,0.0063,0.002,376,122,14,0,,,,,,,,,,,,,,,,,,,,,,,,
"KHM",2016,,"Upper secondary","PISA-D","Cambodia",116,"Wealth","5",,,,0.5245,0.2118,0.0417,0.0038,0.025,0.0184,0.0097,0.0025,517,212,42,2,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Wealth","1",,,,0.1962,0.0284,0.0011,0,0.02,0.0082,0.0017,0,162,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Wealth","2",,,,0.2648,0.0439,0.0012,0,0.0221,0.0107,0.0012,0,226,35,2,0,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Wealth","3",,,,0.3103,0.0631,0.0026,0,0.0281,0.0117,0.0028,0,274,49,6,0,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Wealth","4",,,,0.4435,0.1157,0.0092,2e-04,0.0277,0.0171,0.0054,0.001,365,93,6,0,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Wealth","5",,,,0.6067,0.2265,0.0265,0.0027,0.0305,0.0253,0.0079,0.002,502,191,21,2,,,,,,,,,,,,,,,,,,,,,,,,
"SEN",2015,,"Upper secondary","PISA-D","Senegal",686,"Wealth","1",,,,0.217,0.0544,0.0084,5e-04,0.0291,0.0143,0.0047,0.0015,193,44,9,1,,,,,,,,,,,,,,,,,,,,,,,,
"SEN",2015,,"Upper secondary","PISA-D","Senegal",686,"Wealth","2",,,,0.2222,0.0521,0.0071,4e-04,0.0181,0.0104,0.0038,0.001,202,55,7,0,,,,,,,,,,,,,,,,,,,,,,,,
"SEN",2015,,"Upper secondary","PISA-D","Senegal",686,"Wealth","3",,,,0.238,0.0666,0.013,0.0011,0.0198,0.0117,0.0057,0.0014,213,59,13,0,,,,,,,,,,,,,,,,,,,,,,,,
"SEN",2015,,"Upper secondary","PISA-D","Senegal",686,"Wealth","4",,,,0.244,0.0755,0.0117,4e-04,0.0206,0.0119,0.0053,9e-04,224,75,11,0,,,,,,,,,,,,,,,,,,,,,,,,
"SEN",2015,,"Upper secondary","PISA-D","Senegal",686,"Wealth","5",,,,0.368,0.169,0.0664,0.0181,0.0271,0.0217,0.0159,0.0093,327,154,57,21,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth","1",,,,0.0296,0.0026,0,0,0.0077,0.0016,0,0,34,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth","2",,,,0.0609,0.0071,5e-04,0,0.0129,0.0043,0.0011,0,69,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth","3",,,,0.1085,0.0206,0.0017,1e-04,0.019,0.0074,0.0016,5e-04,106,21,2,1,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth","4",,,,0.1837,0.0439,0.0056,1e-04,0.0307,0.015,0.0035,7e-04,169,37,6,1,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth","5",,,,0.257,0.0819,0.0116,0,0.0375,0.0191,0.0057,0,213,73,9,0,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Sex",,"Female",,,0.5502,0.2398,0.0638,0.0063,0.0208,0.0185,0.0091,0.0023,1512,648,170,15,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Sex",,"Male",,,0.6503,0.34,0.1127,0.017,0.0182,0.018,0.0102,0.0042,1889,990,311,56,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Sex",,"Female",,,0.3232,0.0965,0.0136,9e-04,0.0284,0.023,0.0067,0.0011,818,217,24,3,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Sex",,"Male",,,0.4,0.1153,0.0192,6e-04,0.0209,0.0121,0.0047,5e-04,1102,332,61,3,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Sex",,"Female",,,0.3637,0.124,0.0287,0.003,0.0209,0.0149,0.007,0.0014,959,320,81,10,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Sex",,"Male",,,0.469,0.1886,0.054,0.0105,0.0218,0.0192,0.0116,0.0041,1060,456,139,25,,,,,,,,,,,,,,,,,,,,,,,,
"KHM",2016,,"Upper secondary","PISA-D","Cambodia",116,"Sex",,"Female",,,0.3197,0.0904,0.0115,4e-04,0.0172,0.0106,0.0034,6e-04,862,264,31,0,,,,,,,,,,,,,,,,,,,,,,,,
"KHM",2016,,"Upper secondary","PISA-D","Cambodia",116,"Sex",,"Male",,,0.3464,0.1085,0.0184,0.0017,0.0185,0.0109,0.0044,0.0013,785,257,39,3,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Sex",,"Female",,,0.285,0.0601,0.0031,3e-04,0.0233,0.0115,0.0019,4e-04,677,129,9,1,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Sex",,"Male",,,0.3706,0.1069,0.0109,7e-04,0.0208,0.0125,0.0032,7e-04,902,272,26,1,,,,,,,,,,,,,,,,,,,,,,,,
"SEN",2015,,"Upper secondary","PISA-D","Senegal",686,"Sex",,"Female",,,0.2296,0.0717,0.019,0.0034,0.0128,0.0072,0.0042,0.0019,639,200,52,12,,,,,,,,,,,,,,,,,,,,,,,,
"SEN",2015,,"Upper secondary","PISA-D","Senegal",686,"Sex",,"Male",,,0.2566,0.0834,0.0185,0.0036,0.0152,0.0084,0.0038,0.002,631,215,49,10,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Sex",,"Female",,,0.1101,0.0263,0.0031,0,0.0195,0.008,0.0019,2e-04,338,83,9,1,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Sex",,"Male",,,0.0868,0.0194,0.0023,0,0.0141,0.0055,0.0014,2e-04,275,64,8,1,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Location",,,"Urban",,0.6118,0.2976,0.09,0.011,0.0179,0.0171,0.0091,0.0029,2784,1339,392,52,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Location",,,"Rural",,0.5563,0.2618,0.083,0.0149,0.0382,0.0332,0.0163,0.0046,617,299,89,19,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Location",,,"Urban",,0.4614,0.1486,0.0241,0.0011,0.0243,0.0195,0.0062,9e-04,1659,516,84,6,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Location",,,"Rural",,0.1521,0.0154,1e-04,0,0.0184,0.0059,3e-04,0,261,33,1,0,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Location",,,"Urban",,0.4627,0.1833,0.0523,0.0087,0.0235,0.0203,0.0109,0.0032,1686,683,207,34,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Location",,,"Rural",,0.2891,0.0818,0.0112,9e-04,0.0266,0.0172,0.0061,0.001,333,93,13,1,,,,,,,,,,,,,,,,,,,,,,,,
"KHM",2016,,"Upper secondary","PISA-D","Cambodia",116,"Location",,,"Urban",,0.5314,0.2008,0.0385,0.0031,0.028,0.0215,0.0096,0.0022,746,294,51,3,,,,,,,,,,,,,,,,,,,,,,,,
"KHM",2016,,"Upper secondary","PISA-D","Cambodia",116,"Location",,,"Rural",,0.2587,0.0613,0.0059,3e-04,0.0148,0.0074,0.0019,5e-04,901,227,19,0,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Location",,,"Urban",,0.3803,0.1016,0.0086,6e-04,0.0224,0.0126,0.0026,5e-04,1232,318,25,1,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Location",,,"Rural",,0.2028,0.0402,0.0033,1e-04,0.0309,0.0095,0.0024,2e-04,347,83,10,1,,,,,,,,,,,,,,,,,,,,,,,,
"SEN",2015,,"Upper secondary","PISA-D","Senegal",686,"Location",,,"Urban",,0.2785,0.0948,0.0259,0.0052,0.0145,0.0086,0.0049,0.0025,938,332,89,21,,,,,,,,,,,,,,,,,,,,,,,,
"SEN",2015,,"Upper secondary","PISA-D","Senegal",686,"Location",,,"Rural",,0.1827,0.0481,0.0071,7e-04,0.0226,0.0096,0.0028,0.001,332,83,12,1,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Location",,,"Urban",,0.1762,0.045,0.0049,0,0.0347,0.0151,0.0029,2e-04,406,104,12,1,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Location",,,"Rural",,0.0559,0.0108,0.0015,0,0.0117,0.0033,9e-04,1e-04,207,43,5,1,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Language",,,,"Yes",0.6037,0.2923,0.0892,0.0117,0.0166,0.0162,0.0083,0.0027,3330,1601,474,71,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Language",,,,"No",0.4667,0.224,0.0951,0.0235,0.097,0.065,0.0503,0.0307,32,18,4,0,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Language",,,,"Yes",0.3891,0.1159,0.0182,9e-04,0.02,0.0152,0.0047,7e-04,1840,534,83,6,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Language",,,,"No",0.1327,0.0199,0.0018,0,0.0289,0.009,0.002,0,60,11,1,0,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Language",,,,"Yes",0.423,0.1586,0.0416,0.0068,0.0186,0.0159,0.0082,0.0024,1956,754,212,35,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Language",,,,"No",0.2061,0.0899,0.0245,0,0.0701,0.0372,0.0204,0,22,11,4,0,,,,,,,,,,,,,,,,,,,,,,,,
"KHM",2016,,"Upper secondary","PISA-D","Cambodia",116,"Language",,,,"Yes",0.3353,0.0997,0.0146,0.001,0.0154,0.0082,0.0026,8e-04,1612,511,69,3,,,,,,,,,,,,,,,,,,,,,,,,
"KHM",2016,,"Upper secondary","PISA-D","Cambodia",116,"Language",,,,"No",0.2392,0.0743,0.0194,0,0.0602,0.0319,0.0203,0,31,9,1,0,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Language",,,,"Yes",0.4275,0.125,0.0112,8e-04,0.0226,0.0142,0.0033,6e-04,1144,327,31,2,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Language",,,,"No",0.2027,0.0316,0.0018,1e-04,0.0193,0.0071,0.0013,4e-04,369,58,4,0,,,,,,,,,,,,,,,,,,,,,,,,
"SEN",2015,,"Upper secondary","PISA-D","Senegal",686,"Language",,,,"Yes",0.3902,0.1784,0.0641,0.0175,0.0437,0.0344,0.0222,0.0101,124,57,20,7,,,,,,,,,,,,,,,,,,,,,,,,
"SEN",2015,,"Upper secondary","PISA-D","Senegal",686,"Language",,,,"No",0.232,0.0702,0.0157,0.0026,0.0118,0.0056,0.0024,0.0013,1146,358,81,15,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Language",,,,"Yes",0.2213,0.0632,0.007,0,0.035,0.0188,0.0039,0,206,64,7,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Language",,,,"No",0.0755,0.0149,0.0016,0,0.0117,0.0039,9e-04,1e-04,371,73,7,1,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth & Sex","1","Female",,,0.375,0.0976,0.0169,6e-04,0.0274,0.018,0.0093,0.0012,245,60,6,1,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth & Sex","1","Male",,,0.5209,0.2069,0.044,0.0056,0.0339,0.0281,0.0137,0.0048,251,100,17,1,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth & Sex","2","Female",,,0.4241,0.1222,0.0151,3e-04,0.0278,0.0172,0.0058,0.001,216,59,8,0,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth & Sex","2","Male",,,0.5438,0.1817,0.0474,0.0041,0.025,0.0202,0.0098,0.0037,340,119,30,4,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth & Sex","3","Female",,,0.5106,0.2068,0.0507,0.0054,0.0292,0.0243,0.0122,0.0051,275,113,24,2,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth & Sex","3","Male",,,0.6259,0.274,0.074,0.0103,0.0303,0.0239,0.0141,0.0061,351,155,42,7,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth & Sex","4","Female",,,0.6719,0.3203,0.08,0.0064,0.0326,0.0317,0.0184,0.0044,329,157,43,4,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth & Sex","4","Male",,,0.7376,0.4433,0.1488,0.0245,0.0227,0.0266,0.0174,0.0088,438,257,81,15,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth & Sex","5","Female",,,0.8437,0.4963,0.1669,0.0199,0.0224,0.038,0.028,0.0088,433,254,88,8,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth & Sex","5","Male",,,0.8532,0.5973,0.2446,0.0397,0.0223,0.034,0.0245,0.0121,498,358,141,29,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth & Sex","1","Female",,,0.1466,0.01,3e-04,0,0.0243,0.0078,9e-04,0,73,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth & Sex","1","Male",,,0.241,0.0376,0.0046,0,0.0338,0.0146,0.0089,0,118,24,1,0,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth & Sex","2","Female",,,0.1865,0.0179,7e-04,0,0.0272,0.0096,0.0018,0,93,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth & Sex","2","Male",,,0.3063,0.0624,0.0024,0,0.0321,0.018,0.0025,0,150,24,1,0,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth & Sex","3","Female",,,0.2833,0.0471,0.0012,0,0.0323,0.0196,0.0017,0,131,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth & Sex","3","Male",,,0.3611,0.0746,0.007,0,0.0291,0.0148,0.0049,0,215,48,5,0,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth & Sex","4","Female",,,0.4115,0.1154,0.007,5e-04,0.0407,0.0267,0.0046,0.0012,204,51,2,1,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth & Sex","4","Male",,,0.5183,0.1506,0.0233,0.001,0.0358,0.0256,0.0112,0.0016,267,82,16,1,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth & Sex","5","Female",,,0.6537,0.312,0.0604,0.0043,0.0572,0.066,0.0293,0.0052,311,131,22,2,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth & Sex","5","Male",,,0.6826,0.2956,0.0679,0.0025,0.0346,0.0362,0.0168,0.0023,347,153,38,2,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Wealth & Sex","1","Female",,,0.2507,0.0574,0.0055,0,0.0282,0.0142,0.0057,0,149,34,2,0,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Wealth & Sex","1","Male",,,0.3406,0.0881,0.0091,0,0.0351,0.0215,0.0078,0,127,35,5,0,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Wealth & Sex","2","Female",,,0.2961,0.0584,0.0049,2e-04,0.0303,0.0178,0.0043,9e-04,162,24,4,0,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Wealth & Sex","2","Male",,,0.4067,0.109,0.0084,0.002,0.0378,0.0218,0.0065,0.0023,157,54,5,1,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Wealth & Sex","3","Female",,,0.3138,0.0586,0.0088,9e-04,0.0385,0.0128,0.0051,0.0017,159,31,7,1,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Wealth & Sex","3","Male",,,0.4678,0.1663,0.0289,0.0021,0.0312,0.0289,0.0109,0.0023,211,78,14,1,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Wealth & Sex","4","Female",,,0.3892,0.1354,0.0236,0.0023,0.0352,0.021,0.0091,0.0023,175,66,14,0,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Wealth & Sex","4","Male",,,0.4988,0.2105,0.0631,0.0137,0.0404,0.0361,0.0265,0.0105,226,100,30,7,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Wealth & Sex","5","Female",,,0.6881,0.3713,0.1192,0.0135,0.0386,0.0477,0.0299,0.0076,308,165,54,9,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Wealth & Sex","5","Male",,,0.6945,0.3922,0.1673,0.0362,0.0431,0.0524,0.0351,0.0143,316,183,82,16,,,,,,,,,,,,,,,,,,,,,,,,
"KHM",2016,,"Upper secondary","PISA-D","Cambodia",116,"Wealth & Sex","1","Female",,,0.192,0.0228,0.0016,0,0.022,0.0107,0.0024,0,113,17,1,0,,,,,,,,,,,,,,,,,,,,,,,,
"KHM",2016,,"Upper secondary","PISA-D","Cambodia",116,"Wealth & Sex","1","Male",,,0.217,0.0445,0.0022,0,0.0339,0.0199,0.0037,0,75,19,1,0,,,,,,,,,,,,,,,,,,,,,,,,
"KHM",2016,,"Upper secondary","PISA-D","Cambodia",116,"Wealth & Sex","2","Female",,,0.2596,0.0594,0.0053,0,0.0309,0.0149,0.0053,0,143,26,1,0,,,,,,,,,,,,,,,,,,,,,,,,
"KHM",2016,,"Upper secondary","PISA-D","Cambodia",116,"Wealth & Sex","2","Male",,,0.2873,0.0742,0.0092,0,0.034,0.0248,0.008,0,118,29,3,0,,,,,,,,,,,,,,,,,,,,,,,,
