"iso_code3","category","Sex","Language","Location","mlevel1_m","mlevel1_se","mlevel1_no","year","grade","level","survey","rlevel1_m","rlevel1_se","rlevel1_no","Wealth","slevel1_m","slevel1_se","slevel1_no","COUNTRY","iso_num"
"CIV","Language",,"No",,0.238,0.0312,92,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
"CMR","Language",,"Yes",,0.7011,0.0389,447,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"CMR","Language",,"No",,0.3025,0.0818,126,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"COG","Language",,"Yes",,0.8577,0.0233,358,2014,2,"Primary","PASEC",,,,,,,,"Congo",178
"COG","Language",,"No",,0.5925,0.046,277,2014,2,"Primary","PASEC",,,,,,,,"Congo",178
"NER","Language",,"Yes",,0.6235,0.0716,63,2014,2,"Primary","PASEC",,,,,,,,"Niger",562
"NER","Language",,"No",,0.2342,0.0277,169,2014,2,"Primary","PASEC",,,,,,,,"Niger",562
"SEN","Language",,"Yes",,0.7694,0.0465,109,2014,2,"Primary","PASEC",,,,,,,,"Senegal",686
"SEN","Language",,"No",,0.585,0.0405,356,2014,2,"Primary","PASEC",,,,,,,,"Senegal",686
"TCD","Language",,"Yes",,0.668,0.0616,197,2014,2,"Primary","PASEC",,,,,,,,"Chad",148
"TCD","Language",,"No",,0.3788,0.039,185,2014,2,"Primary","PASEC",,,,,,,,"Chad",148
"TGO","Language",,"Yes",,0.6978,0.0543,105,2014,2,"Primary","PASEC",,,,,,,,"Togo",768
"TGO","Language",,"No",,0.3335,0.0292,212,2014,2,"Primary","PASEC",,,,,,,,"Togo",768
"BDI","Location",,,"Urban",0.9837,0.0116,125,2014,2,"Primary","PASEC",,,,,,,,"Burundi",108
"BDI","Location",,,"Rural",0.964,0.0113,701,2014,2,"Primary","PASEC",,,,,,,,"Burundi",108
"BEN","Location",,,"Urban",0.4437,0.0505,129,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BEN","Location",,,"Rural",0.24,0.0314,98,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BFA","Location",,,"Urban",0.6642,0.0532,285,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"BFA","Location",,,"Rural",0.5413,0.0404,239,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"CIV","Location",,,"Urban",0.4542,0.0523,175,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
"CIV","Location",,,"Rural",0.2572,0.0433,104,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
"CMR","Location",,,"Urban",0.7769,0.0363,286,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"CMR","Location",,,"Rural",0.44,0.0805,296,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"COG","Location",,,"Urban",0.8436,0.0315,334,2014,2,"Primary","PASEC",,,,,,,,"Congo",178
"COG","Location",,,"Rural",0.6219,0.0489,319,2014,2,"Primary","PASEC",,,,,,,,"Congo",178
"NER","Location",,,"Urban",0.4284,0.0803,86,2014,2,"Primary","PASEC",,,,,,,,"Niger",562
"NER","Location",,,"Rural",0.2465,0.0335,147,2014,2,"Primary","PASEC",,,,,,,,"Niger",562
"SEN","Location",,,"Urban",0.685,0.0572,157,2014,2,"Primary","PASEC",,,,,,,,"Senegal",686
"SEN","Location",,,"Rural",0.5392,0.0565,298,2014,2,"Primary","PASEC",,,,,,,,"Senegal",686
"TCD","Location",,,"Urban",0.5793,0.0686,207,2014,2,"Primary","PASEC",,,,,,,,"Chad",148
"TCD","Location",,,"Rural",0.3886,0.0511,172,2014,2,"Primary","PASEC",,,,,,,,"Chad",148
"TGO","Location",,,"Urban",0.6346,0.0473,150,2014,2,"Primary","PASEC",,,,,,,,"Togo",768
"TGO","Location",,,"Rural",0.275,0.0347,169,2014,2,"Primary","PASEC",,,,,,,,"Togo",768
"BDI","Sex & Language","Male","Yes",,0.965,0.0142,366,2014,2,"Primary","PASEC",,,,,,,,"Burundi",108
"BDI","Sex & Language","Female","Yes",,0.969,0.0116,434,2014,2,"Primary","PASEC",,,,,,,,"Burundi",108
"BEN","Sex & Language","Male","Yes",,0.4799,0.0715,58,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BEN","Sex & Language","Male","No",,0.2252,0.0398,50,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BEN","Sex & Language","Female","Yes",,0.4378,0.0697,62,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BEN","Sex & Language","Female","No",,0.3171,0.0559,64,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BFA","Sex & Language","Male","Yes",,0.6969,0.0679,123,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"BFA","Sex & Language","Male","No",,0.563,0.0461,168,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"BFA","Sex & Language","Female","Yes",,0.6797,0.0514,111,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"BFA","Sex & Language","Female","No",,0.5058,0.0503,144,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"CIV","Sex & Language","Male","Yes",,0.4338,0.0433,106,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
"CIV","Sex & Language","Male","No",,0.3452,0.0442,64,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
"CIV","Sex & Language","Female","Yes",,0.3882,0.0469,84,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
"CIV","Sex & Language","Female","No",,0.1289,0.0311,28,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
"CMR","Sex & Language","Male","Yes",,0.7427,0.0508,210,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"CMR","Sex & Language","Male","No",,0.373,0.1207,71,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"CMR","Sex & Language","Female","Yes",,0.662,0.0424,237,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"CMR","Sex & Language","Female","No",,0.2287,0.0712,55,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"COG","Sex & Language","Male","Yes",,0.8619,0.035,160,2014,2,"Primary","PASEC",,,,,,,,"Congo",178
"COG","Sex & Language","Male","No",,0.6155,0.0676,141,2014,2,"Primary","PASEC",,,,,,,,"Congo",178
"COG","Sex & Language","Female","Yes",,0.8542,0.0293,198,2014,2,"Primary","PASEC",,,,,,,,"Congo",178
"COG","Sex & Language","Female","No",,0.5664,0.0558,136,2014,2,"Primary","PASEC",,,,,,,,"Congo",178
"NER","Sex & Language","Male","Yes",,0.6557,0.0796,34,2014,2,"Primary","PASEC",,,,,,,,"Niger",562
"NER","Sex & Language","Male","No",,0.2633,0.0327,106,2014,2,"Primary","PASEC",,,,,,,,"Niger",562
"NER","Sex & Language","Female","Yes",,0.5824,0.1044,29,2014,2,"Primary","PASEC",,,,,,,,"Niger",562
"NER","Sex & Language","Female","No",,0.196,0.0323,63,2014,2,"Primary","PASEC",,,,,,,,"Niger",562
"SEN","Sex & Language","Male","Yes",,0.724,0.0807,50,2014,2,"Primary","PASEC",,,,,,,,"Senegal",686
"SEN","Sex & Language","Male","No",,0.6472,0.0556,188,2014,2,"Primary","PASEC",,,,,,,,"Senegal",686
"SEN","Sex & Language","Female","Yes",,0.8082,0.0541,59,2014,2,"Primary","PASEC",,,,,,,,"Senegal",686
"SEN","Sex & Language","Female","No",,0.5123,0.0491,168,2014,2,"Primary","PASEC",,,,,,,,"Senegal",686
"TCD","Sex & Language","Male","Yes",,0.756,0.0561,129,2014,2,"Primary","PASEC",,,,,,,,"Chad",148
"TCD","Sex & Language","Male","No",,0.5032,0.0488,135,2014,2,"Primary","PASEC",,,,,,,,"Chad",148
"TCD","Sex & Language","Female","Yes",,0.5557,0.0759,68,2014,2,"Primary","PASEC",,,,,,,,"Chad",148
"TCD","Sex & Language","Female","No",,0.2583,0.0576,50,2014,2,"Primary","PASEC",,,,,,,,"Chad",148
"TGO","Sex & Language","Male","Yes",,0.7187,0.0602,61,2014,2,"Primary","PASEC",,,,,,,,"Togo",768
"TGO","Sex & Language","Male","No",,0.3503,0.0337,121,2014,2,"Primary","PASEC",,,,,,,,"Togo",768
"TGO","Sex & Language","Female","Yes",,0.67,0.0987,44,2014,2,"Primary","PASEC",,,,,,,,"Togo",768
"TGO","Sex & Language","Female","No",,0.3155,0.0494,91,2014,2,"Primary","PASEC",,,,,,,,"Togo",768
"BDI","Sex & Location","Male",,"Urban",0.9767,0.0231,53,2014,2,"Primary","PASEC",,,,,,,,"Burundi",108
"BDI","Sex & Location","Male",,"Rural",0.9631,0.0147,328,2014,2,"Primary","PASEC",,,,,,,,"Burundi",108
"BDI","Sex & Location","Female",,"Urban",0.9891,0.0136,72,2014,2,"Primary","PASEC",,,,,,,,"Burundi",108
"BDI","Sex & Location","Female",,"Rural",0.9647,0.0133,373,2014,2,"Primary","PASEC",,,,,,,,"Burundi",108
"BEN","Sex & Location","Male",,"Urban",0.4042,0.0573,63,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BEN","Sex & Location","Male",,"Rural",0.2286,0.0303,43,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BEN","Sex & Location","Female",,"Urban",0.491,0.0809,66,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BEN","Sex & Location","Female",,"Rural",0.2515,0.046,55,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BFA","Sex & Location","Male",,"Urban",0.7042,0.0703,150,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"BFA","Sex & Location","Male",,"Rural",0.5396,0.055,125,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"BFA","Sex & Location","Female",,"Urban",0.6286,0.0638,135,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"BFA","Sex & Location","Female",,"Rural",0.5431,0.0437,114,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"CIV","Sex & Location","Male",,"Urban",0.5143,0.0549,96,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
"CIV","Sex & Location","Male",,"Rural",0.323,0.0539,70,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
"CIV","Sex & Location","Female",,"Urban",0.4001,0.0621,79,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
"CIV","Sex & Location","Female",,"Rural",0.1786,0.0474,34,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
"CMR","Sex & Location","Male",,"Urban",0.7928,0.0507,139,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"CMR","Sex & Location","Male",,"Rural",0.5027,0.0992,150,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"CMR","Sex & Location","Female",,"Urban",0.7623,0.0457,147,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"CMR","Sex & Location","Female",,"Rural",0.3782,0.0698,146,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"COG","Sex & Location","Male",,"Urban",0.8439,0.049,154,2014,2,"Primary","PASEC",,,,,,,,"Congo",178
"COG","Sex & Location","Male",,"Rural",0.6342,0.074,157,2014,2,"Primary","PASEC",,,,,,,,"Congo",178
"COG","Sex & Location","Female",,"Urban",0.8433,0.0389,180,2014,2,"Primary","PASEC",,,,,,,,"Congo",178
"COG","Sex & Location","Female",,"Rural",0.6091,0.0559,162,2014,2,"Primary","PASEC",,,,,,,,"Congo",178
"NER","Sex & Location","Male",,"Urban",0.4545,0.0918,48,2014,2,"Primary","PASEC",,,,,,,,"Niger",562
"NER","Sex & Location","Male",,"Rural",0.2764,0.0403,93,2014,2,"Primary","PASEC",,,,,,,,"Niger",562
"NER","Sex & Location","Female",,"Urban",0.3999,0.0889,38,2014,2,"Primary","PASEC",,,,,,,,"Niger",562
"NER","Sex & Location","Female",,"Rural",0.205,0.0414,54,2014,2,"Primary","PASEC",,,,,,,,"Niger",562
"SEN","Sex & Location","Male",,"Urban",0.73,0.077,85,2014,2,"Primary","PASEC",,,,,,,,"Senegal",686
"SEN","Sex & Location","Male",,"Rural",0.5587,0.0641,146,2014,2,"Primary","PASEC",,,,,,,,"Senegal",686
"SEN","Sex & Location","Female",,"Urban",0.6325,0.0728,72,2014,2,"Primary","PASEC",,,,,,,,"Senegal",686
"SEN","Sex & Location","Female",,"Rural",0.5206,0.063,152,2014,2,"Primary","PASEC",,,,,,,,"Senegal",686
"TCD","Sex & Location","Male",,"Urban",0.7262,0.0648,143,2014,2,"Primary","PASEC",,,,,,,,"Chad",148
"TCD","Sex & Location","Male",,"Rural",0.5227,0.064,121,2014,2,"Primary","PASEC",,,,,,,,"Chad",148
"TCD","Sex & Location","Female",,"Urban",0.4449,0.0822,64,2014,2,"Primary","PASEC",,,,,,,,"Chad",148
"TCD","Sex & Location","Female",,"Rural",0.2394,0.0549,51,2014,2,"Primary","PASEC",,,,,,,,"Chad",148
"TGO","Sex & Location","Male",,"Urban",0.7272,0.0551,86,2014,2,"Primary","PASEC",,,,,,,,"Togo",768
"TGO","Sex & Location","Male",,"Rural",0.2722,0.036,100,2014,2,"Primary","PASEC",,,,,,,,"Togo",768
"TGO","Sex & Location","Female",,"Urban",0.5427,0.0877,64,2014,2,"Primary","PASEC",,,,,,,,"Togo",768
"TGO","Sex & Location","Female",,"Rural",0.2784,0.0477,69,2014,2,"Primary","PASEC",,,,,,,,"Togo",768
"BDI","Language & Location",,"Yes","Urban",0.983,0.012,120,2014,2,"Primary","PASEC",,,,,,,,"Burundi",108
"BDI","Language & Location",,"Yes","Rural",0.9647,0.0119,680,2014,2,"Primary","PASEC",,,,,,,,"Burundi",108
"BEN","Language & Location",,"Yes","Urban",0.4886,0.0744,77,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BEN","Language & Location",,"Yes","Rural",0.3871,0.0628,40,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BEN","Language & Location",,"No","Urban",0.3834,0.0504,50,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BEN","Language & Location",,"No","Rural",0.2037,0.0291,58,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BFA","Language & Location",,"Yes","Urban",0.7531,0.0559,142,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"BFA","Language & Location",,"Yes","Rural",0.5882,0.0625,80,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"BFA","Language & Location",,"No","Urban",0.5998,0.0661,142,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"BFA","Language & Location",,"No","Rural",0.5176,0.0524,156,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"CIV","Language & Location",,"Yes","Urban",0.4761,0.0611,132,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
"CIV","Language & Location",,"Yes","Rural",0.3413,0.0668,55,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
"CIV","Language & Location",,"No","Urban",0.3848,0.0665,42,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
"CIV","Language & Location",,"No","Rural",0.1914,0.0356,49,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
"CMR","Language & Location",,"Yes","Urban",0.8399,0.0308,240,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"CMR","Language & Location",,"Yes","Rural",0.5941,0.0654,197,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"CMR","Language & Location",,"No","Urban",0.506,0.0848,26,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"CMR","Language & Location",,"No","Rural",0.2629,0.0924,89,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"COG","Language & Location",,"Yes","Urban",0.8892,0.0187,290,2014,2,"Primary","PASEC",,,,,,,,"Congo",178
"COG","Language & Location",,"Yes","Rural",0.7306,0.094,66,2014,2,"Primary","PASEC",,,,,,,,"Congo",178
"COG","Language & Location",,"No","Urban",0.6606,0.1181,39,2014,2,"Primary","PASEC",,,,,,,,"Congo",178
"COG","Language & Location",,"No","Rural",0.5893,0.0542,230,2014,2,"Primary","PASEC",,,,,,,,"Congo",178
"NER","Language & Location",,"Yes","Urban",0.7988,0.0777,31,2014,2,"Primary","PASEC",,,,,,,,"Niger",562
"NER","Language & Location",,"Yes","Rural",0.5225,0.0955,30,2014,2,"Primary","PASEC",,,,,,,,"Niger",562
"NER","Language & Location",,"No","Urban",0.329,0.068,53,2014,2,"Primary","PASEC",,,,,,,,"Niger",562
"NER","Language & Location",,"No","Rural",0.2217,0.0313,115,2014,2,"Primary","PASEC",,,,,,,,"Niger",562
"SEN","Language & Location",,"Yes","Urban",0.828,0.0613,51,2014,2,"Primary","PASEC",,,,,,,,"Senegal",686
"SEN","Language & Location",,"Yes","Rural",0.6667,0.103,53,2014,2,"Primary","PASEC",,,,,,,,"Senegal",686
"SEN","Language & Location",,"No","Urban",0.6509,0.0658,104,2014,2,"Primary","PASEC",,,,,,,,"Senegal",686
"SEN","Language & Location",,"No","Rural",0.4978,0.0469,240,2014,2,"Primary","PASEC",,,,,,,,"Senegal",686
"TCD","Language & Location",,"Yes","Urban",0.7399,0.0995,99,2014,2,"Primary","PASEC",,,,,,,,"Chad",148
"TCD","Language & Location",,"Yes","Rural",0.5901,0.0751,86,2014,2,"Primary","PASEC",,,,,,,,"Chad",148
"TCD","Language & Location",,"No","Urban",0.4872,0.0626,91,2014,2,"Primary","PASEC",,,,,,,,"Chad",148
"TCD","Language & Location",,"No","Rural",0.294,0.0466,83,2014,2,"Primary","PASEC",,,,,,,,"Chad",148
"TGO","Language & Location",,"Yes","Urban",0.8339,0.0777,73,2014,2,"Primary","PASEC",,,,,,,,"Togo",768
"TGO","Language & Location",,"Yes","Rural",0.4218,0.0751,32,2014,2,"Primary","PASEC",,,,,,,,"Togo",768
"TGO","Language & Location",,"No","Urban",0.5108,0.0619,74,2014,2,"Primary","PASEC",,,,,,,,"Togo",768
"TGO","Language & Location",,"No","Rural",0.2567,0.0377,134,2014,2,"Primary","PASEC",,,,,,,,"Togo",768
"BDI","Sex & Language & Location","Male","Yes","Urban",0.9749,0.0248,50,2014,2,"Primary","PASEC",,,,,,,,"Burundi",108
"BDI","Sex & Language & Location","Male","Yes","Rural",0.9637,0.0157,316,2014,2,"Primary","PASEC",,,,,,,,"Burundi",108
"BDI","Sex & Language & Location","Female","Yes","Urban",0.989,0.0138,70,2014,2,"Primary","PASEC",,,,,,,,"Burundi",108
"BDI","Sex & Language & Location","Female","Yes","Rural",0.9656,0.0141,364,2014,2,"Primary","PASEC",,,,,,,,"Burundi",108
"BEN","Sex & Language & Location","Male","Yes","Urban",0.4815,0.0805,39,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BEN","Sex & Language & Location","Male","Yes","Rural",0.4556,0.137,17,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BEN","Sex & Language & Location","Male","No","Urban",0.309,0.0715,22,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BEN","Sex & Language & Location","Male","No","Rural",0.1719,0.0432,26,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BEN","Sex & Language & Location","Female","Yes","Urban",0.496,0.1029,38,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BEN","Sex & Language & Location","Female","Yes","Rural",0.3295,0.0765,23,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BEN","Sex & Language & Location","Female","No","Urban",0.4914,0.1113,28,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BEN","Sex & Language & Location","Female","No","Rural",0.2378,0.0605,32,2014,2,"Primary","PASEC",,,,,,,,"Benin",204
"BFA","Sex & Language & Location","Male","Yes","Urban",0.7694,0.1168,69,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"BFA","Sex & Language & Location","Male","Yes","Rural",0.6168,0.0806,45,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"BFA","Sex & Language & Location","Male","No","Urban",0.6774,0.0753,80,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"BFA","Sex & Language & Location","Male","No","Rural",0.4945,0.0613,78,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"BFA","Sex & Language & Location","Female","Yes","Urban",0.7425,0.0623,73,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"BFA","Sex & Language & Location","Female","Yes","Rural",0.5557,0.0803,35,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"BFA","Sex & Language & Location","Female","No","Urban",0.5143,0.0942,62,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"BFA","Sex & Language & Location","Female","No","Rural",0.5413,0.0557,78,2014,2,"Primary","PASEC",,,,,,,,"Burkina Faso",854
"CIV","Sex & Language & Location","Male","Yes","Urban",0.5148,0.0658,68,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
"CIV","Sex & Language & Location","Male","Yes","Rural",0.3707,0.0729,35,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
"CIV","Sex & Language & Location","Male","No","Urban",0.5165,0.0758,28,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
"CIV","Sex & Language & Location","Male","No","Rural",0.2861,0.0559,35,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
"CIV","Sex & Language & Location","Female","Yes","Urban",0.4443,0.0681,64,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
"CIV","Sex & Language & Location","Female","Yes","Rural",0.2963,0.0824,20,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
"CIV","Sex & Language & Location","Female","No","Urban",0.2263,0.0867,14,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
"CIV","Sex & Language & Location","Female","No","Rural",0.101,0.0304,14,2014,2,"Primary","PASEC",,,,,,,,"Côte d'Ivoire",384
"CMR","Sex & Language & Location","Male","Yes","Urban",0.8685,0.0342,112,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"CMR","Sex & Language & Location","Male","Yes","Rural",0.6504,0.0831,92,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"CMR","Sex & Language & Location","Male","No","Urban",0.4899,0.1335,15,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"CMR","Sex & Language & Location","Male","No","Rural",0.3463,0.1444,51,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"CMR","Sex & Language & Location","Female","Yes","Urban",0.8145,0.0451,128,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"CMR","Sex & Language & Location","Female","Yes","Rural",0.5386,0.0586,105,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"CMR","Sex & Language & Location","Female","No","Urban",0.5271,0.1259,11,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"CMR","Sex & Language & Location","Female","No","Rural",0.1796,0.0732,38,2014,2,"Primary","PASEC",,,,,,,,"Cameroon",120
"COG","Sex & Language & Location","Male","Yes","Urban",0.8935,0.0364,131,2014,2,"Primary","PASEC",,,,,,,,"Congo",178
"COG","Sex & Language & Location","Male","Yes","Rural",0.7321,0.1538,28,2014,2,"Primary","PASEC",,,,,,,,"Congo",178
