"iso_code3","year","grade","level","survey","COUNTRY","iso_num","category","Sex","Location","Language","Wealth","mlevel1_m","mlevel2_m","mlevel3_m","mlevel4_m","mlevel1_se","mlevel2_se","mlevel3_se","mlevel4_se","mlevel1_no","mlevel2_no","mlevel3_no","mlevel4_no","slevel1_m","slevel2_m","slevel3_m","slevel4_m","slevel1_se","slevel2_se","slevel3_se","slevel4_se","slevel1_no","slevel2_no","slevel3_no","slevel4_no"
"CAN",2019,4,"Primary","TIMSS","Canada",124,"Total",,,,,0.9237,0.6923,0.3116,0.1215,0.011,0.0213,0.0216,0.0145,1468,1083,491,186,,,,,,,,,,,,
"Canada, Ontario",2019,4,"Primary","TIMSS","Canada, Ontario",9132,"Total",,,,,0.9228,0.6763,0.3219,0.1314,0.0086,0.0163,0.0178,0.0136,3546,2624,1251,482,,,,,,,,,,,,
"Canada, Quebec",2019,4,"Primary","TIMSS","Canada, Quebec",9133,"Total",,,,,0.9731,0.8004,0.4061,0.1558,0.0047,0.0128,0.0144,0.0098,3719,3029,1552,607,,,,,,,,,,,,
"CHL",2019,4,"Primary","TIMSS","Chile",152,"Total",,,,,0.6661,0.3322,0.0811,0.0201,0.0215,0.0198,0.0119,0.0057,1134,582,142,35,,,,,,,,,,,,
"CYP",2019,4,"Primary","TIMSS","Cyprus",196,"Total",,,,,0.9458,0.7692,0.4234,0.1991,0.0064,0.0127,0.0163,0.0116,3835,3092,1703,791,,,,,,,,,,,,
"CZE",2019,4,"Primary","TIMSS","Czech Republic",203,"Total",,,,,0.9289,0.7435,0.3562,0.1357,0.0276,0.0305,0.0281,0.0189,1922,1563,766,271,,,,,,,,,,,,
"DEU",2019,4,"Primary","TIMSS","Germany",276,"Total",,,,,0.9445,0.7416,0.3534,0.1226,0.0121,0.0212,0.0238,0.0171,1426,1106,528,178,,,,,,,,,,,,
"DNK",2019,4,"Primary","TIMSS","Denmark",208,"Total",,,,,0.9537,0.761,0.3983,0.1611,0.0084,0.0198,0.0216,0.0117,1372,1108,603,246,,,,,,,,,,,,
"Dubai,UAE",2019,4,"Primary","TIMSS","Dubai,UAE",7841,"Total",,,,,0.9493,0.8018,0.4962,0.2545,0.0045,0.0082,0.0093,0.0105,6789,5650,3455,1792,,,,,,,,,,,,
"ESP",2019,4,"Primary","TIMSS","Spain",724,"Total",,,,,0.9104,0.6575,0.2554,0.0824,0.0176,0.031,0.0234,0.0123,1514,1120,506,176,,,,,,,,,,,,
"FIN",2019,4,"Primary","TIMSS","Finland",246,"Total",,,,,0.9626,0.7968,0.4154,0.1826,0.0075,0.0169,0.0188,0.0159,1914,1596,891,406,,,,,,,,,,,,
"FRA",2019,4,"Primary","TIMSS","France",250,"Total",,,,,0.8429,0.5415,0.192,0.0541,0.0136,0.0236,0.0153,0.0099,1643,1081,385,99,,,,,,,,,,,,
"GEO",2019,4,"Primary","TIMSS","Georgia",268,"Total",,,,,0.9072,0.6596,0.2916,0.0965,0.0185,0.0395,0.0419,0.0243,1506,1089,453,148,,,,,,,,,,,,
"HKG",2019,4,"Primary","TIMSS","Hong Kong",344,"Total",,,,,0.995,0.9512,0.7822,0.5527,0.0029,0.0113,0.0343,0.0462,1323,1259,1003,673,,,,,,,,,,,,
"HRV",2019,4,"Primary","TIMSS","Croatia",191,"Total",,,,,0.955,0.7285,0.2699,0.0688,0.0099,0.0223,0.0205,0.012,1415,1081,419,116,,,,,,,,,,,,
"HUN",2019,4,"Primary","TIMSS","Hungary",348,"Total",,,,,0.9494,0.7739,0.4134,0.1703,0.015,0.0261,0.0283,0.0164,1712,1433,828,346,,,,,,,,,,,,
"IRL",2019,4,"Primary","TIMSS","Ireland",372,"Total",,,,,0.9658,0.8357,0.5171,0.2539,0.0045,0.0104,0.0139,0.0113,4413,3827,2424,1203,,,,,,,,,,,,
"IRN",2019,4,"Primary","TIMSS","Iran, Islamic Republic of",364,"Total",,,,,0.6811,0.3887,0.1321,0.0408,0.0151,0.0162,0.0099,0.005,4216,2406,811,231,,,,,,,,,,,,
"ITA",2019,4,"Primary","TIMSS","Italy",380,"Total",,,,,0.9216,0.6929,0.3153,0.1142,0.014,0.0234,0.0243,0.0136,1790,1374,641,228,,,,,,,,,,,,
"JPN",2019,4,"Primary","TIMSS","Japan",392,"Total",,,,,0.9939,0.9485,0.7423,0.4702,0.0018,0.004,0.0094,0.012,4168,3987,3116,1982,,,,,,,,,,,,
"KAZ",2019,4,"Primary","TIMSS","Kazakhstan",398,"Total",,,,,0.9518,0.7082,0.2908,0.096,0.0063,0.0144,0.0145,0.0093,4563,3407,1383,462,,,,,,,,,,,,
"KOR",2019,4,"Primary","TIMSS","Korea, Republic of",410,"Total",,,,,0.9882,0.939,0.744,0.4935,0.0037,0.0071,0.0162,0.0155,1525,1446,1116,748,,,,,,,,,,,,
"KSV",2019,4,"Primary","TIMSS","Kosovo",411,"Total",,,,,0.7252,0.3712,0.0832,0.0164,0.0145,0.0147,0.0078,0.0033,3309,1736,434,93,,,,,,,,,,,,
"KWT",2019,4,"Primary","TIMSS","Kuwait",414,"Total",,,,,0.4657,0.2147,0.0573,0.0148,0.0184,0.0161,0.0086,0.0038,2020,912,267,70,,,,,,,,,,,,
"LTU",2019,4,"Primary","TIMSS","Lithuania",440,"Total",,,,,0.9727,0.8513,0.5034,0.22,0.0074,0.0117,0.0202,0.016,1545,1346,799,353,,,,,,,,,,,,
"LVA",2019,4,"Primary","TIMSS","Latvia",428,"Total",,,,,0.9769,0.845,0.5045,0.2226,0.0056,0.0122,0.0168,0.0119,4409,3876,2358,1061,,,,,,,,,,,,
"Madrid, Spain",2019,4,"Primary","TIMSS","Madrid, Spain",724005,"Total",,,,,0.9577,0.7443,0.3285,0.1053,0.0056,0.0154,0.0119,0.0077,3252,2571,1167,369,,,,,,,,,,,,
"MAR",2019,4,"Primary","TIMSS","Morocco",504,"Total",,,,,0.4281,0.1846,0.0557,0.0198,0.0165,0.0143,0.0109,0.0092,2933,1116,254,70,,,,,,,,,,,,
"MKD",2019,4,"Primary","TIMSS","Macedonia, the former Yugoslav Republic of",807,"Total",,,,,0.7819,0.5153,0.2142,0.0812,0.0166,0.0236,0.0179,0.0107,2531,1674,694,271,,,,,,,,,,,,
"MLT",2019,4,"Primary","TIMSS","Malta",470,"Total",,,,,0.9077,0.6908,0.317,0.1047,0.0058,0.0076,0.0089,0.006,3287,2512,1139,371,,,,,,,,,,,,
"MNE",2019,4,"Primary","TIMSS","Montenegro",499,"Total",,,,,0.7573,0.4299,0.11,0.0247,0.009,0.0093,0.0075,0.0029,3806,2185,552,130,,,,,,,,,,,,
"Moscow City, Russian Fed.",2019,4,"Primary","TIMSS","Moscow City, Russian Fed.",643001,"Total",,,,,0.9967,0.9585,0.7665,0.4777,0.0017,0.0051,0.0135,0.0163,3837,3691,2945,1865,,,,,,,,,,,,
"Northern Ireland",2019,4,"Primary","TIMSS","Northern Ireland",928,"Total",,,,,0.9598,0.8473,0.5979,0.3729,0.0059,0.0106,0.0135,0.0143,3375,2993,2159,1347,,,,,,,,,,,,
"NZL",2019,4,"Primary","TIMSS","New Zealand",554,"Total",,,,,0.8275,0.5589,0.2471,0.1034,0.0093,0.0128,0.0121,0.0066,4150,2804,1275,547,,,,,,,,,,,,
"OMN",2019,4,"Primary","TIMSS","Oman",512,"Total",,,,,0.6179,0.331,0.1218,0.0519,0.0131,0.0154,0.0125,0.0093,4146,2150,725,286,,,,,,,,,,,,
"PAK",2019,4,"Primary","TIMSS","Pakistan",586,"Total",,,,,0.2708,0.0751,0.0092,0.0017,0.0475,0.0155,0.0033,0.0014,844,255,32,7,,,,,,,,,,,,
"PHL",2019,4,"Primary","TIMSS","Philippines",608,"Total",,,,,0.1907,0.0555,0.009,0.0017,0.0179,0.0076,0.0021,8e-04,1128,328,48,10,,,,,,,,,,,,
"POL",2019,4,"Primary","TIMSS","Poland",616,"Total",,,,,0.9309,0.7322,0.3609,0.1501,0.0064,0.0142,0.0141,0.0103,4548,3660,1829,760,,,,,,,,,,,,
"PRT",2019,4,"Primary","TIMSS","Portugal",620,"Total",,,,,0.9467,0.7689,0.443,0.2212,0.0118,0.0197,0.0239,0.0189,1534,1253,733,378,,,,,,,,,,,,
"QAT",2019,4,"Primary","TIMSS","Qatar",634,"Total",,,,,0.6845,0.4254,0.1647,0.0563,0.0282,0.0271,0.0194,0.0109,1015,619,229,83,,,,,,,,,,,,
"RUS",2019,4,"Primary","TIMSS","Russian Federation",643,"Total",,,,,0.9899,0.8829,0.5583,0.2842,0.0037,0.0145,0.0243,0.0228,2103,1894,1179,609,,,,,,,,,,,,
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Total",,,,,0.5104,0.2311,0.0589,0.0175,0.0136,0.0124,0.0059,0.003,2906,1337,379,120,,,,,,,,,,,,
"SGP",2019,4,"Primary","TIMSS","Singapore",702,"Total",,,,,0.9898,0.9493,0.8329,0.675,0.0055,0.013,0.0201,0.0249,1869,1819,1637,1361,,,,,,,,,,,,
"SRB",2019,4,"Primary","TIMSS","Serbia",688,"Total",,,,,0.8911,0.6795,0.3219,0.1279,0.0114,0.0151,0.0135,0.01,3986,3134,1533,641,,,,,,,,,,,,
"SVK",2019,4,"Primary","TIMSS","Slovakia",703,"Total",,,,,0.899,0.68,0.303,0.0957,0.0145,0.0268,0.0255,0.0151,1456,1093,463,149,,,,,,,,,,,,
"SWE",2019,4,"Primary","TIMSS","Sweden",752,"Total",,,,,0.9307,0.7113,0.3463,0.1328,0.0136,0.0293,0.0325,0.0172,1575,1232,612,233,,,,,,,,,,,,
"TUR",2019,4,"Primary","TIMSS","Turkey",792,"Total",,,,,0.8783,0.7042,0.4252,0.2328,0.0125,0.0175,0.0183,0.0154,3550,2821,1688,927,,,,,,,,,,,,
"TWN",2019,4,"Primary","TIMSS","Taiwan, Province of China",158,"Total",,,,,0.9981,0.9643,0.7744,0.5346,0.0013,0.006,0.0151,0.0178,1661,1600,1274,888,,,,,,,,,,,,
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Total",,,,,0.373,0.1622,0.0521,0.0186,0.0155,0.0108,0.0052,0.0028,4309,1793,549,194,,,,,,,,,,,,
"Abu Dhabi, UAE",2019,4,"Primary","TIMSS","Abu Dhabi, UAE",7842,"Sex","Female",,,,0.6475,0.3512,0.1328,0.0489,0.0152,0.0132,0.0074,0.0046,2880,1545,604,222,,,,,,,,,,,,
"Abu Dhabi, UAE",2019,4,"Primary","TIMSS","Abu Dhabi, UAE",7842,"Sex","Male",,,,0.6398,0.3854,0.1589,0.0616,0.0167,0.0135,0.0088,0.0055,2896,1733,701,295,,,,,,,,,,,,
"ALB",2019,4,"Primary","TIMSS","Albania",8,"Sex","Female",,,,0.8607,0.6055,0.2523,0.0941,0.0149,0.0191,0.0174,0.0121,1888,1371,564,201,,,,,,,,,,,,
"ALB",2019,4,"Primary","TIMSS","Albania",8,"Sex","Male",,,,0.8668,0.629,0.2626,0.0962,0.0156,0.021,0.0161,0.011,1977,1423,628,256,,,,,,,,,,,,
"ARE",2019,4,"Primary","TIMSS","United Arab Emirates",784,"Sex","Female",,,,0.8059,0.5769,0.2813,0.1374,0.0395,0.0419,0.0365,0.0275,870,600,294,141,,,,,,,,,,,,
"ARE",2019,4,"Primary","TIMSS","United Arab Emirates",784,"Sex","Male",,,,0.7948,0.6005,0.3547,0.192,0.0396,0.052,0.0452,0.0333,948,687,397,222,,,,,,,,,,,,
"ARM",2019,4,"Primary","TIMSS","Armenia",51,"Sex","Female",,,,0.9254,0.6575,0.2246,0.0593,0.0089,0.0144,0.0168,0.0085,2387,1681,547,120,,,,,,,,,,,,
"ARM",2019,4,"Primary","TIMSS","Armenia",51,"Sex","Male",,,,0.9088,0.6303,0.2257,0.0658,0.0112,0.0229,0.0182,0.0105,2566,1803,632,170,,,,,,,,,,,,
"AUT",2019,4,"Primary","TIMSS","Austria",40,"Sex","Female",,,,0.9721,0.7981,0.3983,0.1311,0.0095,0.0204,0.0255,0.0148,961,789,396,135,,,,,,,,,,,,
"AUT",2019,4,"Primary","TIMSS","Austria",40,"Sex","Male",,,,0.9751,0.836,0.4432,0.1748,0.0077,0.0207,0.0232,0.0176,949,821,418,170,,,,,,,,,,,,
"AZE",2019,4,"Primary","TIMSS","Azerbaijan",31,"Sex","Female",,,,0.9254,0.7297,0.3572,0.1479,0.0096,0.0175,0.0163,0.0106,2243,1816,942,390,,,,,,,,,,,,
"AZE",2019,4,"Primary","TIMSS","Azerbaijan",31,"Sex","Male",,,,0.9135,0.7068,0.3556,0.1479,0.009,0.0168,0.0141,0.0089,2622,2113,1130,478,,,,,,,,,,,,
"Belgium (Flemish)",2019,4,"Primary","TIMSS","Belgium (Flemish)",956,"Sex","Female",,,,0.9712,0.7807,0.3681,0.137,0.0053,0.0131,0.0151,0.0095,2305,1825,847,322,,,,,,,,,,,,
"Belgium (Flemish)",2019,4,"Primary","TIMSS","Belgium (Flemish)",956,"Sex","Male",,,,0.9767,0.8231,0.4406,0.1877,0.0046,0.0159,0.0146,0.0143,2238,1896,1015,430,,,,,,,,,,,,
"BGR",2019,4,"Primary","TIMSS","Bulgaria",100,"Sex","Female",,,,0.8996,0.7059,0.3631,0.1418,0.0156,0.0244,0.0206,0.0118,1964,1641,894,376,,,,,,,,,,,,
"BGR",2019,4,"Primary","TIMSS","Bulgaria",100,"Sex","Male",,,,0.8909,0.7111,0.3847,0.1676,0.017,0.0202,0.0185,0.0132,2022,1699,979,468,,,,,,,,,,,,
"BHR",2019,4,"Primary","TIMSS","Bahrain",48,"Sex","Female",,,,0.8238,0.5533,0.2183,0.0767,0.0135,0.0144,0.014,0.0108,2331,1574,624,207,,,,,,,,,,,,
"BHR",2019,4,"Primary","TIMSS","Bahrain",48,"Sex","Male",,,,0.8047,0.5309,0.2025,0.0753,0.0133,0.019,0.014,0.0076,2405,1583,608,216,,,,,,,,,,,,
"BIH",2019,4,"Primary","TIMSS","Bosnia and Herzegovina",70,"Sex","Female",,,,0.7564,0.3645,0.0733,0.0125,0.0135,0.0181,0.0065,0.0027,2098,1050,204,34,,,,,,,,,,,,
"BIH",2019,4,"Primary","TIMSS","Bosnia and Herzegovina",70,"Sex","Male",,,,0.7699,0.4251,0.1013,0.0204,0.0155,0.0158,0.0108,0.0038,2200,1222,294,64,,,,,,,,,,,,
"CAN",2019,4,"Primary","TIMSS","Canada",124,"Sex","Female",,,,0.92,0.6643,0.2871,0.1146,0.0139,0.0323,0.0264,0.0167,729,522,224,81,,,,,,,,,,,,
"CAN",2019,4,"Primary","TIMSS","Canada",124,"Sex","Male",,,,0.9288,0.722,0.3371,0.1287,0.0126,0.0221,0.0262,0.019,739,561,267,105,,,,,,,,,,,,
"Canada, Ontario",2019,4,"Primary","TIMSS","Canada, Ontario",9132,"Sex","Female",,,,0.9073,0.6402,0.2695,0.0949,0.0131,0.0241,0.0267,0.0186,1740,1245,543,187,,,,,,,,,,,,
"Canada, Ontario",2019,4,"Primary","TIMSS","Canada, Ontario",9132,"Sex","Male",,,,0.9373,0.7107,0.3717,0.1659,0.0091,0.017,0.0199,0.0153,1802,1377,708,295,,,,,,,,,,,,
"Canada, Quebec",2019,4,"Primary","TIMSS","Canada, Quebec",9133,"Sex","Female",,,,0.9687,0.7617,0.3519,0.114,0.0069,0.0236,0.0183,0.0104,1772,1373,655,227,,,,,,,,,,,,
"Canada, Quebec",2019,4,"Primary","TIMSS","Canada, Quebec",9133,"Sex","Male",,,,0.977,0.8363,0.457,0.1946,0.005,0.0135,0.019,0.0135,1928,1642,891,376,,,,,,,,,,,,
"CHL",2019,4,"Primary","TIMSS","Chile",152,"Sex","Female",,,,0.6514,0.3118,0.0752,0.0203,0.0274,0.0265,0.0168,0.0086,518,268,63,15,,,,,,,,,,,,
"CHL",2019,4,"Primary","TIMSS","Chile",152,"Sex","Male",,,,0.6797,0.3511,0.0866,0.0199,0.0249,0.0244,0.0138,0.0059,616,314,79,20,,,,,,,,,,,,
"CYP",2019,4,"Primary","TIMSS","Cyprus",196,"Sex","Female",,,,0.9392,0.7374,0.3749,0.1611,0.0092,0.014,0.0191,0.0132,1993,1552,800,348,,,,,,,,,,,,
"CYP",2019,4,"Primary","TIMSS","Cyprus",196,"Sex","Male",,,,0.9531,0.8039,0.4764,0.2406,0.0076,0.0151,0.0197,0.016,1842,1540,903,443,,,,,,,,,,,,
"CZE",2019,4,"Primary","TIMSS","Czech Republic",203,"Sex","Female",,,,0.914,0.7236,0.3214,0.1026,0.04,0.0348,0.0299,0.0179,952,766,345,110,,,,,,,,,,,,
"CZE",2019,4,"Primary","TIMSS","Czech Republic",203,"Sex","Male",,,,0.9435,0.7631,0.3902,0.1681,0.0176,0.0316,0.0367,0.0264,970,797,421,161,,,,,,,,,,,,
"DEU",2019,4,"Primary","TIMSS","Germany",276,"Sex","Female",,,,0.94,0.7228,0.3139,0.105,0.0137,0.0255,0.0287,0.0209,728,550,235,76,,,,,,,,,,,,
"DEU",2019,4,"Primary","TIMSS","Germany",276,"Sex","Male",,,,0.9492,0.7616,0.3953,0.1413,0.0134,0.026,0.0287,0.0198,698,556,293,102,,,,,,,,,,,,
"DNK",2019,4,"Primary","TIMSS","Denmark",208,"Sex","Female",,,,0.9452,0.7414,0.3618,0.1269,0.0118,0.023,0.0234,0.0167,684,536,272,96,,,,,,,,,,,,
"DNK",2019,4,"Primary","TIMSS","Denmark",208,"Sex","Male",,,,0.9621,0.7805,0.4346,0.1952,0.0112,0.0259,0.0281,0.0172,688,572,331,150,,,,,,,,,,,,
"Dubai,UAE",2019,4,"Primary","TIMSS","Dubai,UAE",7841,"Sex","Female",,,,0.9494,0.7986,0.4662,0.226,0.0074,0.0147,0.0193,0.0174,3291,2702,1556,754,,,,,,,,,,,,
"Dubai,UAE",2019,4,"Primary","TIMSS","Dubai,UAE",7841,"Sex","Male",,,,0.9491,0.8048,0.5249,0.2816,0.0052,0.012,0.0122,0.0114,3498,2948,1899,1038,,,,,,,,,,,,
"ESP",2019,4,"Primary","TIMSS","Spain",724,"Sex","Female",,,,0.8979,0.5969,0.2091,0.0588,0.0238,0.0401,0.0273,0.0129,707,492,194,56,,,,,,,,,,,,
"ESP",2019,4,"Primary","TIMSS","Spain",724,"Sex","Male",,,,0.9221,0.7141,0.2987,0.1045,0.0158,0.0303,0.028,0.0162,807,628,312,120,,,,,,,,,,,,
"FIN",2019,4,"Primary","TIMSS","Finland",246,"Sex","Female",,,,0.9585,0.8018,0.4006,0.1704,0.0111,0.0196,0.0254,0.021,941,789,409,182,,,,,,,,,,,,
"FIN",2019,4,"Primary","TIMSS","Finland",246,"Sex","Male",,,,0.9665,0.7921,0.4294,0.1941,0.0092,0.0262,0.0285,0.0212,973,807,482,224,,,,,,,,,,,,
"FRA",2019,4,"Primary","TIMSS","France",250,"Sex","Female",,,,0.832,0.5163,0.1599,0.0367,0.0201,0.0298,0.0175,0.0085,785,501,157,35,,,,,,,,,,,,
"FRA",2019,4,"Primary","TIMSS","France",250,"Sex","Male",,,,0.8532,0.5651,0.2221,0.0704,0.015,0.0287,0.0211,0.0151,858,580,228,64,,,,,,,,,,,,
"GEO",2019,4,"Primary","TIMSS","Georgia",268,"Sex","Female",,,,0.925,0.6698,0.2865,0.0979,0.0208,0.0416,0.0432,0.0297,771,554,211,74,,,,,,,,,,,,
"GEO",2019,4,"Primary","TIMSS","Georgia",268,"Sex","Male",,,,0.8903,0.6499,0.2964,0.0952,0.0241,0.0427,0.0444,0.023,735,535,242,74,,,,,,,,,,,,
"HKG",2019,4,"Primary","TIMSS","Hong Kong",344,"Sex","Female",,,,0.995,0.9482,0.7645,0.505,0.0034,0.0137,0.0379,0.05,642,614,471,299,,,,,,,,,,,,
"HKG",2019,4,"Primary","TIMSS","Hong Kong",344,"Sex","Male",,,,0.995,0.9541,0.799,0.5977,0.0042,0.0131,0.037,0.0495,681,645,532,374,,,,,,,,,,,,
"HRV",2019,4,"Primary","TIMSS","Croatia",191,"Sex","Female",,,,0.957,0.735,0.2534,0.0676,0.0116,0.0317,0.0232,0.012,705,529,187,53,,,,,,,,,,,,
"HRV",2019,4,"Primary","TIMSS","Croatia",191,"Sex","Male",,,,0.9531,0.7218,0.2868,0.0701,0.0126,0.0266,0.0282,0.016,710,552,232,63,,,,,,,,,,,,
"HUN",2019,4,"Primary","TIMSS","Hungary",348,"Sex","Female",,,,0.9501,0.7562,0.3669,0.1303,0.0155,0.0313,0.0312,0.0154,848,698,377,139,,,,,,,,,,,,
"HUN",2019,4,"Primary","TIMSS","Hungary",348,"Sex","Male",,,,0.9487,0.7911,0.4585,0.2091,0.0167,0.0278,0.0319,0.0237,864,735,451,207,,,,,,,,,,,,
"IRL",2019,4,"Primary","TIMSS","Ireland",372,"Sex","Female",,,,0.9635,0.8273,0.5047,0.234,0.0062,0.0134,0.0185,0.0159,2222,1921,1176,541,,,,,,,,,,,,
"IRL",2019,4,"Primary","TIMSS","Ireland",372,"Sex","Male",,,,0.968,0.8439,0.5294,0.2736,0.0057,0.0135,0.0176,0.0151,2191,1906,1248,662,,,,,,,,,,,,
"IRN",2019,4,"Primary","TIMSS","Iran, Islamic Republic of",364,"Sex","Female",,,,0.6781,0.3685,0.1141,0.0326,0.0245,0.0277,0.016,0.0081,2074,1163,347,90,,,,,,,,,,,,
"IRN",2019,4,"Primary","TIMSS","Iran, Islamic Republic of",364,"Sex","Male",,,,0.684,0.4079,0.1492,0.0487,0.021,0.0227,0.0153,0.0081,2142,1243,464,141,,,,,,,,,,,,
"ITA",2019,4,"Primary","TIMSS","Italy",380,"Sex","Female",,,,0.9143,0.6871,0.2829,0.085,0.0203,0.0278,0.0268,0.0133,864,665,282,88,,,,,,,,,,,,
"ITA",2019,4,"Primary","TIMSS","Italy",380,"Sex","Male",,,,0.9282,0.6982,0.345,0.1409,0.016,0.0284,0.0282,0.018,926,709,359,140,,,,,,,,,,,,
"JPN",2019,4,"Primary","TIMSS","Japan",392,"Sex","Female",,,,0.996,0.9584,0.7553,0.4619,0.002,0.005,0.0118,0.0162,2030,1955,1528,942,,,,,,,,,,,,
"JPN",2019,4,"Primary","TIMSS","Japan",392,"Sex","Male",,,,0.9919,0.9392,0.7301,0.478,0.0024,0.0052,0.0125,0.0126,2138,2032,1588,1040,,,,,,,,,,,,
"KAZ",2019,4,"Primary","TIMSS","Kazakhstan",398,"Sex","Female",,,,0.9517,0.7121,0.2878,0.0974,0.009,0.0171,0.0175,0.0107,2232,1666,680,223,,,,,,,,,,,,
"KAZ",2019,4,"Primary","TIMSS","Kazakhstan",398,"Sex","Male",,,,0.9518,0.7043,0.2938,0.0946,0.0067,0.0177,0.0174,0.0107,2331,1741,703,239,,,,,,,,,,,,
"KOR",2019,4,"Primary","TIMSS","Korea, Republic of",410,"Sex","Female",,,,0.9901,0.9396,0.731,0.4716,0.0046,0.0097,0.0193,0.0194,746,710,540,346,,,,,,,,,,,,
"KOR",2019,4,"Primary","TIMSS","Korea, Republic of",410,"Sex","Male",,,,0.9864,0.9385,0.7564,0.5144,0.0048,0.0102,0.0218,0.021,779,736,576,402,,,,,,,,,,,,
"KSV",2019,4,"Primary","TIMSS","Kosovo",411,"Sex","Female",,,,0.7143,0.3627,0.0716,0.0132,0.0165,0.0171,0.009,0.0038,1610,838,186,38,,,,,,,,,,,,
"KSV",2019,4,"Primary","TIMSS","Kosovo",411,"Sex","Male",,,,0.7355,0.3793,0.0942,0.0194,0.0174,0.0194,0.0112,0.0039,1699,898,248,55,,,,,,,,,,,,
"KWT",2019,4,"Primary","TIMSS","Kuwait",414,"Sex","Female",,,,0.4743,0.2062,0.0525,0.0126,0.0245,0.0223,0.0099,0.0039,987,407,114,23,,,,,,,,,,,,
"KWT",2019,4,"Primary","TIMSS","Kuwait",414,"Sex","Male",,,,0.458,0.2222,0.0615,0.0167,0.0269,0.0212,0.0113,0.0059,1033,505,153,47,,,,,,,,,,,,
"LTU",2019,4,"Primary","TIMSS","Lithuania",440,"Sex","Female",,,,0.9738,0.8635,0.4914,0.2034,0.008,0.0158,0.0238,0.0181,775,685,386,165,,,,,,,,,,,,
"LTU",2019,4,"Primary","TIMSS","Lithuania",440,"Sex","Male",,,,0.9716,0.8395,0.5152,0.2363,0.0094,0.0179,0.0273,0.0213,770,661,413,188,,,,,,,,,,,,
"LVA",2019,4,"Primary","TIMSS","Latvia",428,"Sex","Female",,,,0.9762,0.8403,0.4913,0.2086,0.0054,0.0139,0.0184,0.015,2223,1933,1154,500,,,,,,,,,,,,
"LVA",2019,4,"Primary","TIMSS","Latvia",428,"Sex","Male",,,,0.9775,0.8498,0.5178,0.2365,0.0077,0.0151,0.0204,0.0133,2186,1943,1204,561,,,,,,,,,,,,
"Madrid, Spain",2019,4,"Primary","TIMSS","Madrid, Spain",724005,"Sex","Female",,,,0.9487,0.7084,0.2779,0.0745,0.0075,0.0179,0.0204,0.0087,1554,1172,492,126,,,,,,,,,,,,
"Madrid, Spain",2019,4,"Primary","TIMSS","Madrid, Spain",724005,"Sex","Male",,,,0.9663,0.7787,0.3768,0.1347,0.0068,0.0167,0.0162,0.0126,1698,1399,675,243,,,,,,,,,,,,
