iso_code3,country,survey,year,category,sex,location,wealth,comp_lowsec_1524,comp_lowsec_1519_v2,comp_upsec_2029,comp_upsec_2024_v2,eduyears_2024,comp_higher_2yrs_2529,age,prim_dur_uis,lowsec_dur_uis,upsec_dur_uis,prim_age_uis,lowsec_age_uis,upsec_age_uis,comp_lowsec_1524_no,comp_lowsec_1519_v2_no,comp_upsec_2029_no,comp_upsec_2024_v2_no,eduyears_2024_no,comp_higher_2yrs_2529_no
AUT,AT,EU-SILC,2014,location sex wealth,Female,Cities,3,1,,.98346007,.98785126,13.390858,.64795548,39.498943,4,4,4,6,10,14,87,2,286,85,85,201
AUT,AT,EU-SILC,2014,location sex wealth,Female,Cities,4,,,1,,,.73777449,41.812794,4,4,4,6,10,14,25,6,148,19,19,129
AUT,AT,EU-SILC,2014,location sex wealth,Female,Cities,5,,,1,,,.81876928,45.870499,4,4,4,6,10,14,17,1,75,16,16,59
AUT,AT,EU-SILC,2014,location sex wealth,Female,Cities,,.95498097,.91281658,.82702863,.85862178,12.11193,.34623802,43.088261,4,4,4,6,10,14,1395,714,1247,681,681,566
AUT,AT,EU-SILC,2014,location sex wealth,Male,Cities,1,.9963581,.99116403,.83877963,.85150582,12.098432,.4019669,32.618992,4,4,4,6,10,14,447,217,451,230,230,221
AUT,AT,EU-SILC,2014,location sex wealth,Male,Cities,2,.99727124,1,.83342534,.83985877,11.775284,.25498679,35.621223,4,4,4,6,10,14,239,41,442,198,198,244
AUT,AT,EU-SILC,2014,location sex wealth,Male,Cities,3,.99808192,,.92839712,.90916538,12.169038,.3629995,37.794071,4,4,4,6,10,14,138,6,382,132,132,250
AUT,AT,EU-SILC,2014,location sex wealth,Male,Cities,4,1,,.96511191,.93817151,12.678299,.5613516,39.679756,4,4,4,6,10,14,46,3,254,43,43,211
AUT,AT,EU-SILC,2014,location sex wealth,Male,Cities,5,,,1,,,.6631307,44.442169,4,4,4,6,10,14,15,3,109,12,12,97
AUT,AT,EU-SILC,2014,location sex wealth,Male,Cities,,.95488703,.91737419,.84554744,.84950644,11.86868,.41317305,39.179951,4,4,4,6,10,14,1279,725,1013,554,554,459
AUT,AT,EU-SILC,2014,location sex wealth,Female,Towns and suburbs,1,.99889243,1,.84198153,.81645083,11.73588,.29022652,37.650688,4,4,4,6,10,14,742,400,662,342,342,320
AUT,AT,EU-SILC,2014,location sex wealth,Female,Towns and suburbs,2,1,1,.91033691,.93700832,12.151773,.315871,38.83271,4,4,4,6,10,14,463,97,710,366,366,344
AUT,AT,EU-SILC,2014,location sex wealth,Female,Towns and suburbs,3,1,,.94445103,.95268506,12.872858,.44079512,38.817108,4,4,4,6,10,14,229,13,538,216,216,322
AUT,AT,EU-SILC,2014,location sex wealth,Female,Towns and suburbs,4,1,,.98505354,.93509632,13.038751,.65422136,41.581131,4,4,4,6,10,14,60,2,231,58,58,173
AUT,AT,EU-SILC,2014,location sex wealth,Female,Towns and suburbs,5,,,.97286052,,,.83013773,46.620888,4,4,4,6,10,14,8,1,47,7,7,40
AUT,AT,EU-SILC,2014,location sex wealth,Female,Towns and suburbs,,.969643,.96100622,.8074457,.83528632,11.884132,.27701223,45.300117,4,4,4,6,10,14,1556,1117,913,439,439,474
AUT,AT,EU-SILC,2014,location sex wealth,Male,Towns and suburbs,1,.99871093,1,.85301071,.83462435,11.910615,.38668486,30.636562,4,4,4,6,10,14,691,503,291,188,188,103
AUT,AT,EU-SILC,2014,location sex wealth,Male,Towns and suburbs,2,1,1,.86299217,.86358595,11.759523,.2950846,34.896034,4,4,4,6,10,14,394,138,474,256,256,218
AUT,AT,EU-SILC,2014,location sex wealth,Male,Towns and suburbs,3,.99743372,1,.92030817,.93236727,12.1942,.16775689,37.313072,4,4,4,6,10,14,417,47,782,370,370,412
AUT,AT,EU-SILC,2014,location sex wealth,Male,Towns and suburbs,4,1,,.95668054,.92669713,11.914001,.33691141,40.771912,4,4,4,6,10,14,132,8,515,124,124,391
AUT,AT,EU-SILC,2014,location sex wealth,Male,Towns and suburbs,5,1,,.99082702,1,12.585861,.61085558,45.666092,4,4,4,6,10,14,36,1,166,35,35,131
AUT,AT,EU-SILC,2014,location sex wealth,Male,Towns and suburbs,,.95089746,.93168783,.82733446,.85567307,11.990852,.25759581,40.814827,4,4,4,6,10,14,1745,1129,914,616,616,298
AUT,AT,EU-SILC,2014,location sex wealth,Female,Rural (EU LFS),1,.9989118,.99797207,.8804915,.87678701,12.23259,.29340279,38.278896,4,4,4,6,10,14,917,541,677,376,376,301
AUT,AT,EU-SILC,2014,location sex wealth,Female,Rural (EU LFS),2,1,1,.95186478,.95507628,12.412618,.29296249,38.663006,4,4,4,6,10,14,703,136,918,567,567,351
AUT,AT,EU-SILC,2014,location sex wealth,Female,Rural (EU LFS),3,1,,.97898358,.98967808,13.167504,.41611874,38.636089,4,4,4,6,10,14,277,28,588,249,249,339
AUT,AT,EU-SILC,2014,location sex wealth,Female,Rural (EU LFS),4,1,,.99309719,.96977389,13.123908,.54519814,40.400349,4,4,4,6,10,14,76,8,275,68,68,207
AUT,AT,EU-SILC,2014,location sex wealth,Female,Rural (EU LFS),5,,,1,,,.72329426,46.987553,4,4,4,6,10,14,9,3,48,6,6,42
AUT,AT,EU-SILC,2014,location sex wealth,Female,Rural (EU LFS),,.96973717,.95781702,.8891713,.91845548,12.543468,.29980791,45.250343,4,4,4,6,10,14,2059,1524,1017,535,535,482
AUT,AT,EU-SILC,2014,location sex wealth,Male,Rural (EU LFS),1,.99937487,1,.84401339,.85820854,12.08776,.28789279,28.519297,4,4,4,6,10,14,969,746,349,223,223,126
AUT,AT,EU-SILC,2014,location sex wealth,Male,Rural (EU LFS),2,1,1,.9177233,.92366403,12.09656,.1057018,33.570583,4,4,4,6,10,14,634,240,670,394,394,276
AUT,AT,EU-SILC,2014,location sex wealth,Male,Rural (EU LFS),3,1,1,.98007977,.99144518,12.379637,.19237292,37.793087,4,4,4,6,10,14,719,87,1166,632,632,534
AUT,AT,EU-SILC,2014,location sex wealth,Male,Rural (EU LFS),4,1,,.991238,.99466681,12.590419,.34430495,40.73708,4,4,4,6,10,14,296,12,752,284,284,468
AUT,AT,EU-SILC,2014,location sex wealth,Male,Rural (EU LFS),5,1,,.98869193,1,12.429955,.55469418,45.323269,4,4,4,6,10,14,39,4,195,35,35,160
AUT,AT,EU-SILC,2014,location sex wealth,Male,Rural (EU LFS),,.96885556,.9565866,.87542713,.90241647,12.354542,.29514018,42.745586,4,4,4,6,10,14,1991,1390,910,601,601,309
AUT,AT,EU-SILC,2015,Total,,,,.97857255,.95885241,.89974117,.88790065,12.214094,.38519588,41.630997,4,4,4,6,10,14,18931,9512,18606,9419,9419,9187
AUT,AT,EU-SILC,2015,wealth,,,1,.99742442,.9975059,.84718955,.83486575,12.033596,.38316244,35.575626,4,4,4,6,10,14,4134,2403,2990,1731,1731,1259
AUT,AT,EU-SILC,2015,wealth,,,2,.99867755,.99900037,.90782613,.89681607,12.174514,.3028335,37.498981,4,4,4,6,10,14,2458,583,3460,1875,1875,1585
AUT,AT,EU-SILC,2015,wealth,,,3,.99894851,1,.96038616,.9610104,12.504531,.36334196,38.401905,4,4,4,6,10,14,1817,131,3597,1686,1686,1911
AUT,AT,EU-SILC,2015,wealth,,,4,1,,.97222865,.95900202,12.740797,.46227342,40.778534,4,4,4,6,10,14,719,25,2182,694,694,1488
AUT,AT,EU-SILC,2015,wealth,,,5,1,,.99042165,.97999436,12.7842,.60025799,45.822746,4,4,4,6,10,14,127,7,643,120,120,523
AUT,AT,EU-SILC,2015,wealth,,,,.96072072,.94112009,.85466063,.86334139,12.088618,.36776114,43.043289,4,4,4,6,10,14,9676,6363,5734,3313,3313,2421
AUT,AT,EU-SILC,2015,sex,Female,,,.97818583,.95718813,.90154755,.89370185,12.442398,.42988291,42.762878,4,4,4,6,10,14,9030,4594,8972,4436,4436,4536
AUT,AT,EU-SILC,2015,sex,Male,,,.97894078,.96042746,.89799136,.88234758,11.995557,.34141567,40.456841,4,4,4,6,10,14,9901,4918,9634,4983,4983,4651
AUT,AT,EU-SILC,2015,location,,Cities,,.96957624,.92535347,.88186526,.86116379,12.096868,.4745743,40.366558,4,4,4,6,10,14,4330,1870,5251,2460,2460,2791
AUT,AT,EU-SILC,2015,location,,Towns and suburbs,,.97623593,.96418971,.87633061,.85617089,12.038976,.33557272,41.671322,4,4,4,6,10,14,6351,3290,5932,3061,3061,2871
AUT,AT,EU-SILC,2015,location,,Rural (EU LFS),,.9868769,.97518438,.93427026,.93403518,12.441871,.3255088,42.543854,4,4,4,6,10,14,8250,4352,7423,3898,3898,3525
AUT,AT,EU-SILC,2015,sex wealth,Female,,1,.99792987,.99774051,.86518997,.86079204,12.279361,.36536387,37.404652,4,4,4,6,10,14,2111,1062,1889,1049,1049,840
AUT,AT,EU-SILC,2015,sex wealth,Female,,2,.99963558,.99776864,.93598425,.9294396,12.459808,.35707566,38.787178,4,4,4,6,10,14,1318,260,1953,1058,1058,895
AUT,AT,EU-SILC,2015,sex wealth,Female,,3,1,1,.97906107,.97895503,13.208245,.55192357,39.391071,4,4,4,6,10,14,540,50,1245,490,490,755
AUT,AT,EU-SILC,2015,sex wealth,Female,,4,1,,.99370909,.98716551,13.549214,.61639291,41.651127,4,4,4,6,10,14,178,7,634,171,171,463
AUT,AT,EU-SILC,2015,sex wealth,Female,,5,1,,1,,,.63327414,46.534832,4,4,4,6,10,14,32,3,168,29,29,139
AUT,AT,EU-SILC,2015,sex wealth,Female,,,.96067035,.94064265,.84965414,.86047637,12.213648,.36673513,44.655216,4,4,4,6,10,14,4851,3212,3083,1639,1639,1444
AUT,AT,EU-SILC,2015,sex wealth,Male,,1,.99685049,.99730986,.81711435,.79327905,11.639381,.41450146,31.334141,4,4,4,6,10,14,2023,1341,1101,682,682,419
AUT,AT,EU-SILC,2015,sex wealth,Male,,2,.99750942,1,.87053001,.85271549,11.788851,.2324982,34.969131,4,4,4,6,10,14,1140,323,1507,817,817,690
AUT,AT,EU-SILC,2015,sex wealth,Male,,3,.99844652,1,.94940531,.95264024,12.17629,.2320402,37.698593,4,4,4,6,10,14,1277,81,2352,1196,1196,1156
AUT,AT,EU-SILC,2015,sex wealth,Male,,4,1,,.96227121,.94861174,12.44255,.38417813,40.328579,4,4,4,6,10,14,541,18,1548,523,523,1025
AUT,AT,EU-SILC,2015,sex wealth,Male,,5,1,,.98656607,.97271055,12.675383,.58667296,45.584625,4,4,4,6,10,14,95,4,475,91,91,384
AUT,AT,EU-SILC,2015,sex wealth,Male,,,.96077162,.94160235,.86033714,.86624581,11.961868,.36910856,41.195404,4,4,4,6,10,14,4825,3151,2651,1674,1674,977
AUT,AT,EU-SILC,2015,location wealth,,Cities,1,.99721241,.9913528,.85472691,.83920479,12.05036,.46357882,34.634182,4,4,4,6,10,14,988,361,1094,627,627,467
AUT,AT,EU-SILC,2015,location wealth,,Cities,2,.99915838,.99206346,.90192479,.89433926,12.272157,.39959252,37.209751,4,4,4,6,10,14,445,65,904,380,380,524
AUT,AT,EU-SILC,2015,location wealth,,Cities,3,.99640131,,.95332283,.94285697,12.582893,.54073274,38.682774,4,4,4,6,10,14,245,6,667,239,239,428
AUT,AT,EU-SILC,2015,location wealth,,Cities,4,1,,.99073696,.98399425,12.879664,.63875234,40.831017,4,4,4,6,10,14,82,2,397,80,80,317
AUT,AT,EU-SILC,2015,location wealth,,Cities,5,,,.99108106,,,.69556922,45.204994,4,4,4,6,10,14,29,0,173,29,29,144
AUT,AT,EU-SILC,2015,location wealth,,Cities,,.95166212,.90833229,.84083712,.8382476,11.920443,.41296151,41.077518,4,4,4,6,10,14,2541,1436,2016,1105,1105,911
AUT,AT,EU-SILC,2015,location wealth,,Towns and suburbs,1,.99424231,.99723196,.81593329,.79057884,11.765334,.33569241,35.804077,4,4,4,6,10,14,1422,850,964,572,572,392
AUT,AT,EU-SILC,2015,location wealth,,Towns and suburbs,2,.9963097,1,.89053333,.88391107,12.082334,.24877556,37.498249,4,4,4,6,10,14,874,191,1184,683,683,501
AUT,AT,EU-SILC,2015,location wealth,,Towns and suburbs,3,.99850029,1,.93957961,.92429876,12.393402,.31008112,38.54739,4,4,4,6,10,14,592,46,1184,546,546,638
AUT,AT,EU-SILC,2015,location wealth,,Towns and suburbs,4,1,,.94633257,.92872149,12.561264,.4400371,40.965694,4,4,4,6,10,14,211,9,690,202,202,488
AUT,AT,EU-SILC,2015,location wealth,,Towns and suburbs,5,1,,.97695154,.98753959,13.07726,.56009257,46.214069,4,4,4,6,10,14,46,4,222,42,42,180
AUT,AT,EU-SILC,2015,location wealth,,Towns and suburbs,,.95716321,.94804811,.82240552,.82602245,11.866619,.30386654,42.925251,4,4,4,6,10,14,3206,2190,1688,1016,1016,672
AUT,AT,EU-SILC,2015,location wealth,,Rural (EU LFS),1,1,1,.86462843,.87248963,12.276101,.30242491,36.114742,4,4,4,6,10,14,1724,1192,932,532,532,400
AUT,AT,EU-SILC,2015,location wealth,,Rural (EU LFS),2,1,1,.92631447,.90775144,12.180464,.23166263,37.718166,4,4,4,6,10,14,1139,327,1372,812,812,560
AUT,AT,EU-SILC,2015,location wealth,,Rural (EU LFS),3,1,1,.97631282,.98633915,12.536369,.2872299,38.127842,4,4,4,6,10,14,980,79,1746,901,901,845
AUT,AT,EU-SILC,2015,location wealth,,Rural (EU LFS),4,1,,.97767681,.96447182,12.775755,.37583461,40.612377,4,4,4,6,10,14,426,14,1095,412,412,683
AUT,AT,EU-SILC,2015,location wealth,,Rural (EU LFS),5,1,,.99862993,1,12.612395,.54336536,45.983665,4,4,4,6,10,14,52,3,248,49,49,199
AUT,AT,EU-SILC,2015,location wealth,,Rural (EU LFS),,.97213316,.96070015,.90267473,.9277513,12.497794,.34123573,44.649124,4,4,4,6,10,14,3929,2737,2030,1192,1192,838
AUT,AT,EU-SILC,2015,location sex,Female,Cities,,.96727067,.9136827,.88541794,.86548597,12.334438,.50922006,41.566357,4,4,4,6,10,14,2121,865,2661,1256,1256,1405
AUT,AT,EU-SILC,2015,location sex,Male,Cities,,.97190857,.93635285,.8781873,.85658652,11.845277,.43939146,39.093266,4,4,4,6,10,14,2209,1005,2590,1204,1204,1386
AUT,AT,EU-SILC,2015,location sex,Female,Towns and suburbs,,.97515351,.96193719,.88808453,.86980319,12.230226,.37629434,42.832096,4,4,4,6,10,14,3028,1586,2919,1442,1442,1477
AUT,AT,EU-SILC,2015,location sex,Male,Towns and suburbs,,.97725338,.9663493,.86461198,.84358746,11.86244,.29176486,40.441994,4,4,4,6,10,14,3323,1704,3013,1619,1619,1394
AUT,AT,EU-SILC,2015,location sex,Female,Rural (EU LFS),,.98883146,.97987449,.92902297,.93801606,12.698709,.3816894,43.627018,4,4,4,6,10,14,3881,2143,3392,1738,1738,1654
AUT,AT,EU-SILC,2015,location sex,Male,Rural (EU LFS),,.98508137,.97077364,.93893313,.9304601,12.211211,.27612925,41.455772,4,4,4,6,10,14,4369,2209,4031,2160,2160,1871
AUT,AT,EU-SILC,2015,location sex wealth,Female,Cities,1,.99821764,.99387288,.87895238,.87250805,12.336372,.43557021,35.051487,4,4,4,6,10,14,555,175,646,380,380,266
AUT,AT,EU-SILC,2015,location sex wealth,Female,Cities,2,.99833214,,.92236084,.88792145,12.480029,.48227894,38.168926,4,4,4,6,10,14,218,18,480,200,200,280
AUT,AT,EU-SILC,2015,location sex wealth,Female,Cities,3,1,,.98512799,1,13.557263,.72085011,39.477077,4,4,4,6,10,14,86,4,269,82,82,187
AUT,AT,EU-SILC,2015,location sex wealth,Female,Cities,4,,,.99122769,,,.72685105,42.022984,4,4,4,6,10,14,21,0,147,21,21,126
AUT,AT,EU-SILC,2015,location sex wealth,Female,Cities,5,,,1,,,.76059371,45.956089,4,4,4,6,10,14,12,0,59,12,12,47
AUT,AT,EU-SILC,2015,location sex wealth,Female,Cities,,.94653696,.89339715,.83203107,.82944757,12.078555,.41539821,42.897148,4,4,4,6,10,14,1229,668,1060,561,561,499
AUT,AT,EU-SILC,2015,location sex wealth,Male,Cities,1,.99583662,.98860765,.82182765,.78827119,11.612934,.49654561,34.001762,4,4,4,6,10,14,433,186,448,247,247,201
AUT,AT,EU-SILC,2015,location sex wealth,Male,Cities,2,1,1,.87761772,.90167242,12.034633,.29842681,35.845737,4,4,4,6,10,14,227,47,424,180,180,244
AUT,AT,EU-SILC,2015,location sex wealth,Male,Cities,3,.99406201,,.92884123,.90682703,11.968532,.38763016,37.97937,4,4,4,6,10,14,159,2,398,157,157,241
AUT,AT,EU-SILC,2015,location sex wealth,Male,Cities,4,1,,.99044144,.978181,12.694112,.57900137,39.844765,4,4,4,6,10,14,61,2,250,59,59,191
AUT,AT,EU-SILC,2015,location sex wealth,Male,Cities,5,,,.9858492,,,.66086793,44.815617,4,4,4,6,10,14,17,0,114,17,17,97
AUT,AT,EU-SILC,2015,location sex wealth,Male,Cities,,.95666933,.92238241,.85026461,.84719199,11.759737,.41019276,39.029469,4,4,4,6,10,14,1312,768,956,544,544,412
AUT,AT,EU-SILC,2015,location sex wealth,Female,Towns and suburbs,1,.99505776,.99696696,.84958446,.8212142,12.011868,.34939027,37.747692,4,4,4,6,10,14,722,371,647,351,351,296
AUT,AT,EU-SILC,2015,location sex wealth,Female,Towns and suburbs,2,1,1,.93019485,.94834685,12.425146,.25091079,38.671398,4,4,4,6,10,14,514,103,703,411,411,292
AUT,AT,EU-SILC,2015,location sex wealth,Female,Towns and suburbs,3,1,,.97859579,.96217448,13.123895,.44294411,40.108902,4,4,4,6,10,14,170,16,414,154,154,260
AUT,AT,EU-SILC,2015,location sex wealth,Female,Towns and suburbs,4,1,,.99035341,.95988345,13.361063,.6496684,41.933018,4,4,4,6,10,14,57,2,200,55,55,145
AUT,AT,EU-SILC,2015,location sex wealth,Female,Towns and suburbs,5,,,1,,,.50218105,46.893505,4,4,4,6,10,14,7,2,58,5,5,53
AUT,AT,EU-SILC,2015,location sex wealth,Female,Towns and suburbs,,.95366281,.94606578,.81364673,.8055107,11.849772,.33207402,44.722565,4,4,4,6,10,14,1558,1092,897,466,466,431
AUT,AT,EU-SILC,2015,location sex wealth,Male,Towns and suburbs,1,.99331838,.99744821,.74590605,.73808432,11.34289,.29698807,30.350307,4,4,4,6,10,14,700,479,317,221,221,96
AUT,AT,EU-SILC,2015,location sex wealth,Male,Towns and suburbs,2,.99073499,1,.82918376,.78230888,11.541787,.24554612,34.624577,4,4,4,6,10,14,360,88,481,272,272,209
