iso_code,country,survey,year,category,disability,hh_edu_head,sex,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,overage2plus_m,eduout_prim_m,eduout_lowsec_m,eduout_upsec_m,edu0_prim_m,preschool_3_m,attend_higher_1822_m,comp_higher_2yrs_2529_m,comp_higher_4yrs_2529_m,comp_higher_4yrs_3034_m,comp_lowsec_1524_m,comp_prim_1524_m,comp_upsec_2029_m,edu4_2024_m,eduyears_2024_m,literacy_1524_m,preschool_1ybefore_m,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,overage2plus_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,edu0_prim_no,preschool_3_no,attend_higher_1822_no,comp_higher_2yrs_2529_no,comp_higher_4yrs_2529_no,comp_higher_4yrs_3034_no,comp_lowsec_1524_no,comp_prim_1524_no,comp_upsec_2029_no,edu4_2024_no,eduyears_2024_no,literacy_1524_no,preschool_1ybefore_no
BGD,Bangladesh,MICS,2019,Household education,,Completed primary,,.88242042,.66048557,.21717483,.081240267,.13212316,.10000946,.27640072,.037554,.89802277,.11772753,.08333271,.066967741,.055737861,.57247138,.90464282,.14493972,.035964649,8.2146673,.63909793,.66685414,2395,2040,1945,4347,4090,2519,2848,3280,423,3262,3198,3198,3463,6567,6567,6335,3060,3060,6595,680
BGD,Bangladesh,MICS,2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",,Male,.37466627,.35676068,,.20984377,.063462406,.27570295,.46735823,.15117212,,,,,,,,,,,,,117,44,0,385,260,134,122,211,3,,,,,,,,,,,
BGD,Bangladesh,MICS,2019,Household education,,Completed post-secondary or higher,,.97244501,.92277336,.72354847,.012076807,.10187494,.0541224,.087749548,.0081364457,.87825269,.41885722,.65429014,.45614791,.49060652,.92953503,.97665995,.77685869,.0013434696,12.730815,.93821847,.63070112,587,487,472,988,1024,592,695,805,133,802,925,925,967,1621,1621,1718,789,789,1609,169
BGD,Bangladesh,MICS,2019,Disability,At least one functional difficulty,,,.70897967,.50735664,,.13074641,.042764284,.16197342,.33975342,.073688149,,.10297331,.23170856,.19144034,.20473425,.46387964,.72176832,.13326821,.10740351,7.9884648,.54332125,,581,263,0,1465,1152,648,622,921,28,89,151,151,238,156,156,263,99,99,152,
BGD,Bangladesh,MICS,2019,Disability & Sex,At least one functional difficulty,,Male,.62700659,.49244401,,.14672552,.051147103,.21331502,.38222873,.070775546,,,,,,,,,,,,,339,149,0,847,624,356,375,513,18,,,,,,,,,,,
BGD,Bangladesh,MICS,2019,Disability & Sex,At least one functional difficulty,,Female,.81085205,.52667695,,.10916504,.033692319,.10157841,.27839082,.077235989,,.10297331,.23170856,.19144034,.20473425,.46387964,.72176832,.13326821,.10740351,7.9884648,.54332125,,242,114,0,618,528,292,247,408,10,89,151,151,238,156,156,263,99,99,152,
BGD,Bangladesh,MICS,2019,Disability,"At least one sensory, physical or intellectual difficulty",,,.4770917,.36437336,,.1837658,.043129448,.25303277,.44980261,.16014104,,.13241448,.25734025,.22535068,.22178093,.54773861,.77302736,.17287555,.092130691,8.7172394,.60871977,,192,71,0,653,475,243,186,385,6,59,98,98,160,94,94,162,57,57,91,
BGD,Bangladesh,MICS,2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",,Female,.61341298,,,.1450901,.019194061,.22886799,.41709393,.1696897,,.13241448,.25734025,.22535068,.22178093,.54773861,.77302736,.17287555,.092130691,8.7172394,.60871977,,75,27,0,268,215,109,64,174,3,59,98,98,160,94,94,162,57,57,91,
BGD,Bangladesh,MICS,2019,Household education,,Not completed primary,,.75489736,.53906608,.18247792,.16278993,.17102164,.17769884,.39611951,.073996671,.89571112,.091013499,.25082335,.23089322,.32581982,.47673893,.75100648,.13756932,.13937722,7.5859118,.5776431,.69868261,7871,6954,5130,12386,11036,7804,9687,9934,776,9012,6421,6421,6905,19497,19497,14376,7146,7146,19705,1561
BGD,Bangladesh,MICS,2019,Household education,,Completed lower secondary,,.93160653,.84479445,.4056952,.048177335,.10417343,.06395027,.15741064,.022711974,.87777102,.23144361,.14481096,.10347987,.044725981,.81833303,.95299262,.29339585,.012312361,10.316338,.84280187,.68902826,2401,2170,1984,4325,4174,2462,2969,3299,499,3419,3211,3211,3624,6888,6888,6441,3171,3171,6904,721
BLR,Belarus,MICS,2019,Disability,At least one functional difficulty,,,,,,.062064581,0,0,,.043242648,,,,,,,,,,,,,20,1,0,50,48,45,8,45,12,,,,,,,,,,,
BLR,Belarus,MICS,2019,Disability & Sex,At least one functional difficulty,,Male,,,,.10267016,0,,,.0080428654,,,,,,,,,,,,,13,1,0,37,35,29,2,30,9,,,,,,,,,,,
BLR,Belarus,MICS,2019,Household education,,Completed primary,,,,,,,,,,,,,,,,,,,,,,5,3,4,3,1,5,2,2,5,9,8,8,11,12,12,15,7,7,13,2
BLR,Belarus,MICS,2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",,Male,,,,,,,,,,,,,,,,,,,,,5,0,0,11,9,10,0,12,8,,,,,,,,,,,
BLR,Belarus,MICS,2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",,Female,,,,,,,,,,,,,,,,,,,,,1,0,0,5,4,3,2,4,1,,,,,,,,,,,
BLR,Belarus,MICS,2019,Disability,"At least one sensory, physical or intellectual difficulty",,,,,,,,,,,,,,,,,,,,,,,6,0,0,16,13,13,2,16,9,,,,,,,,,,,
BLR,Belarus,MICS,2019,Disability & Sex,At least one functional difficulty,,Female,,,,,,,,,,,,,,,,,,,,,7,0,0,13,13,16,6,15,3,,,,,,,,,,,
BLR,Belarus,MICS,2019,Household education,,Completed upper secondary,,1,.99225909,.93412745,.36349985,.072282545,0,.0063179797,0,.99197161,.29051623,.32547045,.20718794,.19694082,.95508128,.99620217,.94270438,0,12.410294,.92111325,.96098304,313,214,248,884,652,582,200,548,575,408,957,957,1054,927,927,1469,512,512,877,189
BLR,Belarus,MICS,2019,Household education,,Completed post-secondary or higher,,1,1,.96869516,.28940549,.069798939,.0059986357,0,.0064998115,.99437118,.49593255,.8646034,.8095808,.84160769,.98159498,1,.98672712,0,14.36408,.95105278,.96449053,138,73,82,522,408,298,77,305,381,154,616,616,859,397,397,860,247,247,354,116
BLR,Belarus,MICS,2019,Household education,,Not completed primary,,,,,,,,,,,,,,,,,,,,,,,1,3,11,5,2,,4,5,4,9,9,13,5,5,10,4,4,8,2
BLR,Belarus,MICS,2019,Household education,,Completed lower secondary,,1,.99565047,.68160641,.37328598,.08881101,0,.025605259,.00080357119,.99171901,.15099873,.22731109,.18775479,.084403411,.94666284,.974832,.68820435,0,11.727635,.86873227,1,113,63,73,275,209,199,67,178,133,119,254,254,226,277,277,401,144,144,260,37
CAF,C. A. R.,MICS,2018,Disability & Sex,At least one functional difficulty,,Male,.28082117,,,.32598889,.066275239,.15129793,.3138721,.10116089,,,,,,,,,,,,,102,0,0,671,402,184,44,264,,,,,,,,,,,,
CAF,C. A. R.,MICS,2019,Household education,,Completed primary,,.31921002,.1007012,.031597465,.44223022,.20826478,.16875166,.44891468,.1142733,.50827444,.011837896,.15350652,.14480481,.1638055,.076773122,.53567809,.028821412,.12556909,6.6883764,.16073379,.17713483,536,529,440,2820,1768,852,514,1055,149,737,672,672,553,1622,1622,1417,659,659,1602,164
CAF,C. A. R.,MICS,2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",,Male,,,,,,,,,,,,,,,,.033534892,,,,,,14,10,,,,,,3,15,13,13,17,27,27,30,12,12,24,
CAF,C. A. R.,MICS,2018,Disability & Sex,"At least one sensory, physical or intellectual difficulty",,Female,,,,.305915,.083769724,.1986365,,.2059707,,,,,,,,,,,,,29,0,0,179,107,47,11,77,,,,,,,,,,,,
CAF,C. A. R.,MICS,2018,Disability & Sex,At least one functional difficulty,,Female,.39143863,,,.33341116,.0757268,.24743308,.48343161,.17140545,,,,,,,,,,,,,118,0,0,622,373,172,41,274,,,,,,,,,,,,
CAF,C. A. R.,MICS,2019,Household education,,Not completed primary,,.14821535,.036443308,.0099583426,.42355669,.34302956,.32819322,.61854005,.24932843,.35885388,.0021584108,.40848431,.40454277,.43365699,.028894493,.18515109,.0078174267,.42379394,4.3841443,.15370421,.08247672,1138,1075,802,5016,4322,1806,1007,2375,210,1127,1503,1503,1188,3184,3184,2868,913,913,3159,325
CAF,C. A. R.,MICS,2019,Disability & Sex,At least one functional difficulty,,Male,,,,,,,,,,,,,,.069844961,.40936711,,,,.25890705,,,,,,,,,,13,,,,,61,61,,,,73,
CAF,C. A. R.,MICS,2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",,Female,,.096595407,.02084169,,,,,,,0,.45956519,.45528004,.36789963,.055847596,.23413619,.012326851,.3600263,5.0319276,.085846551,,,52,47,,,,,,4,55,103,103,102,129,129,186,54,54,120,
CAF,C. A. R.,MICS,2018,Disability,At least one functional difficulty,,,.33389971,,,.32929406,.070538029,.19262879,.39107266,.13497426,,,,,,,,,,,,,220,0,0,1293,775,356,85,538,,,,,,,,,,,,
CAF,C. A. R.,MICS,2019,Disability,At least one functional difficulty,,,,,,,,,,,.47410563,,,,,.052865352,.35253897,,,,.23116297,,,,,,,,,,30,,,,,138,138,,,,162,
CAF,C. A. R.,MICS,2018,Disability,"At least one sensory, physical or intellectual difficulty",,,.35703143,,,.29663444,.082714207,.22307922,,.1884328,,,,,,,,,,,,,57,0,0,355,212,94,22,148,,,,,,,,,,,,
CAF,C. A. R.,MICS,2019,Household education,,Completed lower secondary,,.44837579,.28089032,.057688382,.48302951,.12963668,.10928243,.27482107,.068495236,.55839443,.026631292,.088753723,.080869086,.062854104,.27226838,.66838336,.056034852,.08089599,8.3813725,.32284564,.29580683,209,237,218,1273,667,323,226,406,65,365,297,297,218,725,725,644,327,327,703,72
CAF,C. A. R.,MICS,2018,Disability & Sex,"At least one sensory, physical or intellectual difficulty",,Male,,,,.28843763,.08172182,.24238938,,.17132448,,,,,,,,,,,,,28,0,0,176,105,47,11,71,,,,,,,,,,,,
CAF,C. A. R.,MICS,2019,Disability & Sex,At least one functional difficulty,,Female,,,,,,,,,,,,,,.036528572,.29786226,,,,.20285131,,,,,,,,,,17,,,,,77,77,,,,89,
CAF,C. A. R.,MICS,2019,Household education,,Completed post-secondary or higher,,.75258851,.72266263,.38071766,.53476626,.068878502,.026556257,.039232627,.014112283,.84387881,.18471955,.44343153,.077193953,.22534265,.61807019,.91883558,.51018369,.030724136,11.544929,.64795256,.32399705,69,55,64,446,185,113,51,124,47,98,85,85,89,196,196,183,97,97,188,32
CAF,C. A. R.,MICS,2019,Household education,,Completed upper secondary,,.59362382,.3421669,.27700323,.49639285,.091430254,.089504786,.18811455,.036818113,.71799946,.062678464,.16404901,.069208644,.067775443,.37870309,.80770266,.35055637,.06226182,10.083096,.42013884,.21874228,137,132,104,770,351,197,127,230,63,206,159,159,165,393,393,334,169,169,394,63
CAF,C. A. R.,MICS,2019,Disability,"At least one sensory, physical or intellectual difficulty",,,,.10979649,.025558315,,,,,,,0,.45503303,.44674724,.34647667,.066815563,.28337875,.015321196,.3259066,5.4327617,.12797756,,,66,57,,,,,,7,70,116,116,119,156,156,216,66,66,144,
COD,D. R. Congo,MICS,2018,Household education,,Completed upper secondary,,.79177064,.70644289,.46592325,.44990322,.1111037,.07474941,.1641278,.039972387,.65693271,.099508636,.10745739,.057621639,.042564321,.75136805,.89539969,.5626809,.021318154,10.411515,.77437454,.087510042,735,835,686,4566,2553,692,1083,1537,182,1163,1018,1018,1031,2513,2513,2200,1137,1137,2461,282
COD,D. R. Congo,MICS,2018,Household education,,Completed primary,,.53191018,.36196047,.089802764,.42197168,.21975823,.18494366,.3155925,.11972131,.21653737,.004523172,.071065105,.070806548,.092281133,.35036755,.69055688,.077983901,.091066107,7.2059884,.46445373,.003788193,746,841,493,3541,2561,593,1119,1490,62,875,735,735,848,2158,2158,1598,782,782,2190,178
COD,D. R. Congo,MICS,2018,Disability & Sex,"At least one sensory, physical or intellectual difficulty",,Female,,,.33003324,,,,,,,.1007601,.28586122,.24201621,.24652404,.39804158,.62591493,.15875532,.19963466,7.2249298,.50258684,,,,32,,,,,,2,46,69,69,71,99,99,128,45,45,87,
COD,D. R. Congo,MICS,2018,Disability & Sex,At least one functional difficulty,,Female,,,.23745298,,,,,,,.088017501,.20740637,.17813893,.22804746,.37471697,.59599787,.13162604,.22787292,6.3458328,.46978724,,,,64,,,,,,7,94,113,113,119,357,357,231,89,89,379,
COD,D. R. Congo,MICS,2018,Household education,,Completed post-secondary or higher,,.89053321,.76491368,.6135416,.50603127,.06475164,.12978025,.15339144,.024237242,.80817729,.22593901,.47015759,.18247262,.26254657,.81182444,.91683507,.69827455,.035589557,11.550127,.81719798,.17905717,256,264,207,1412,656,207,370,406,87,345,298,298,276,757,757,623,314,314,754,95
COD,D. R. Congo,MICS,2018,Disability,At least one functional difficulty,,,,,.2092171,,,,,,,.072711118,.19542488,.1698432,.21045925,.36024126,.61237901,.14358357,.19530509,6.4122295,.4391484,,,,79,,,,,,19,118,131,131,140,554,554,270,108,108,617,
COD,D. R. Congo,MICS,2017,Disability & Sex,"At least one sensory, physical or intellectual difficulty",,Female,,,,.33958972,.098870449,,,.27165139,,,,,,,,,,,,,28,13,0,179,108,23,29,77,,,,,,,,,,,,
COD,D. R. Congo,MICS,2018,Disability,"At least one sensory, physical or intellectual difficulty",,,,,.27063394,,,,,,,.083008185,.24719046,.20964873,.22940685,.39485699,.6244632,.15851812,.16408487,7.0412974,.53409356,,,,37,,,,,,4,54,78,78,88,116,116,146,53,53,104,
COD,D. R. Congo,MICS,2017,Disability,"At least one sensory, physical or intellectual difficulty",,,.74793583,,,.35175103,.099418126,.11351688,.19089349,.14238757,,,,,,,,,,,,,55,25,0,374,227,52,59,160,,,,,,,,,,,,
COD,D. R. Congo,MICS,2017,Disability & Sex,At least one functional difficulty,,Female,.75333381,.28888014,,.3269541,.089852884,.16058367,.20276996,.1011904,,,,,,,,,,,,,160,80,0,1011,599,161,193,431,,,,,,,,,,,,
COD,D. R. Congo,MICS,2018,Household education,,Completed lower secondary,,.70024639,.55799544,.11844299,.41491798,.18420106,.14171098,.29330459,.076302193,.48737785,.026828993,.091586232,.07258676,.075907476,.59599978,.81777894,.11886343,.034751013,8.7791386,.63976592,.060533691,1150,1370,934,6260,3945,985,1738,2378,207,1654,1301,1301,1406,3750,3750,2924,1521,1521,3706,338
COD,D. R. Congo,MICS,2018,Household education,,Not completed primary,,.49284524,.33248734,.077761099,.45746684,.35697052,.25762042,.4126308,.22943573,.31992671,.0065401266,.37200445,.35973585,.42008469,.29106632,.48287606,.071701407,.22597262,6.3758826,.40598825,.022517111,1448,1579,782,6252,5504,1292,2156,3213,111,1252,1421,1421,1867,3886,3886,2865,1055,1055,3954,284
COD,D. R. Congo,MICS,2018,Disability & Sex,"At least one sensory, physical or intellectual difficulty",,Male,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,2,8,9,9,17,17,17,18,8,8,17,
COD,D. R. Congo,MICS,2018,Disability & Sex,At least one functional difficulty,,Male,,,,,,,,,,,,,,.32322633,.65426624,.21568382,,,.37687793,,,,15,,,,,,12,24,18,18,21,197,197,39,19,19,238,
COD,D. R. Congo,MICS,2017,Disability,At least one functional difficulty,,,.67455399,.33347183,,.31158662,.097306319,.15468916,.21724765,.083658233,,,,,,,,,,,,,340,164,0,2103,1245,331,406,899,,,,,,,,,,,,
COD,D. R. Congo,MICS,2017,Disability & Sex,At least one functional difficulty,,Male,.57793128,.39185989,,.29659507,.1040163,.14906298,.2346487,.067858987,,,,,,,,,,,,,180,84,0,1092,646,170,213,468,,,,,,,,,,,,
COD,D. R. Congo,MICS,2017,Disability & Sex,"At least one sensory, physical or intellectual difficulty",,Male,,,,.36405182,.099996023,,.31359959,.054354109,,,,,,,,,,,,,27,12,0,195,119,29,30,83,,,,,,,,,,,,
CRI,Costa Rica,MICS,2018,Household education,,Completed upper secondary,,.99834096,.81248569,.810471,.63414443,.036003657,.025558919,.02700001,0,.99035418,.44995484,.24627694,.12170188,.11725409,.79709631,.99713844,.82219219,.0029423789,11.534654,.79573703,.96691841,152,153,199,958,467,172,102,269,138,318,510,510,445,629,629,883,373,373,627,78
CRI,Costa Rica,MICS,2018,Household education,,Completed primary,,.98279965,.72041297,.5280441,.56705648,.053301562,.024004074,.12299612,.0010768998,.97088706,.21243843,.15034147,.087842785,.070310153,.62007481,.97987407,.4333289,.0083371894,10.090746,.65244448,.96541947,535,563,541,2490,1175,525,362,732,274,898,848,848,833,1838,1838,1756,907,907,1838,224
CRI,Costa Rica,MICS,2018,Household education,,Completed post-secondary or higher,,1,.90869063,.81900787,.67514062,.040987361,.001148492,.098694593,0,.99498135,.59301519,.66100359,.39207506,.70670229,.88208872,.99829096,.88233602,0,13.126133,.88713241,1,105,131,140,684,313,112,66,174,100,218,286,286,390,399,399,488,202,202,396,59
CRI,Costa Rica,MICS,2018,Disability & Sex,At least one functional difficulty,,Male,.83006555,,,.38352844,.0025295401,.063536666,.21519332,0,,,,,,.25986812,1,,,,.25658533,,93,24,0,374,227,91,61,117,21,,,,,85,85,,,,89,
CRI,Costa Rica,MICS,2018,Disability & Sex,At least one functional difficulty,,Female,.89366215,.63947237,,.51009911,.010401128,.0094761178,.14385268,0,,.22048125,.13819177,.1027765,.079303779,.54778153,.98680377,.36653915,.0093466602,9.0199165,.58990282,,94,42,0,372,205,84,66,119,16,82,97,97,122,230,230,182,85,85,230,
CRI,Costa Rica,MICS,2018,Disability,At least one functional difficulty,,,.86436093,.54933089,,.44438037,.0060089803,.039955199,.17647989,0,.89903575,.22048125,.13819177,.1027765,.079303779,.45938087,.99085552,.36653915,.0093466602,9.0199165,.48685756,,187,66,0,746,432,175,127,236,37,82,97,97,122,315,315,182,85,85,319,
CRI,Costa Rica,MICS,2018,Disability & Sex,"At least one sensory, physical or intellectual difficulty",,Male,.93087244,,,.43973947,0,.086223356,,0,,,,,,,,,,,,,30,8,0,132,81,32,18,35,16,,,,,,,,,,,
CRI,Costa Rica,MICS,2018,Household education,,Completed lower secondary,,.97970521,.77953643,.5078916,.52504891,.038438004,.015144604,.045965377,.0075048846,.99115556,.15207829,.084295027,.042110465,.026322117,.75954181,.97490191,.38024253,.015900439,10.052627,.79269618,.93492305,94,94,109,555,283,118,56,163,84,187,289,289,241,390,390,529,238,238,391,53
CRI,Costa Rica,MICS,2018,Disability & Sex,"At least one sensory, physical or intellectual difficulty",,Female,,,,.58148885,.038423296,0,,0,,.15678024,.16307285,.092937976,.11291615,.6371454,.99096775,.3974826,.012218065,9.4568415,.70899975,,28,14,0,133,76,35,18,43,11,45,66,66,67,66,66,116,50,50,62,
CRI,Costa Rica,MICS,2018,Household education,,Not completed primary,,.96513921,.54965252,.24176973,.53192508,.036083162,.055595528,.14743425,0,.97177482,.083032988,.1045507,.093950219,.13311581,.4624992,.8935948,.25619569,.069724932,8.2506208,.53396606,.8029865,270,259,228,1126,545,261,181,343,109,384,282,282,332,813,813,654,366,366,816,89
CRI,Costa Rica,MICS,2018,Disability,"At least one sensory, physical or intellectual difficulty",,,.94292307,,,.50435311,.015062324,.049099617,.055321813,0,,.15678024,.16307285,.092937976,.11291615,.6371454,.99096775,.3974826,.012218065,9.4568415,.70899975,,58,22,0,265,157,67,36,78,27,45,66,66,67,66,66,116,50,50,62,
CUB,Cuba,MICS,2019,Household education,,Completed post-secondary or higher,,.99976826,.96703982,.84370005,.58546895,.014845641,.0024238089,.18140455,.0017048685,.98759496,.41312709,.71339816,.60530323,.71238595,.95834416,.9848578,.9008522,.0028027212,13.897944,.93787408,.65438372,254,238,298,1323,648,272,224,382,339,463,739,739,782,915,915,1261,519,519,902,112
CUB,Cuba,MICS,2019,Household education,,Completed upper secondary,,.99866885,.97111738,.68551308,.48652345,.0074335774,.053158287,.23854321,0,.96176255,.21648456,.23401342,.15721886,.21201892,.97037649,.99920034,.81597883,.00030964392,12.261331,.92907786,.69244254,222,247,281,1200,644,247,222,352,293,446,785,785,670,885,885,1281,495,495,856,126
CUB,Cuba,MICS,2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",,Male,,,,.2129811,,,,,,,,,,,,,,,,,8,1,0,40,27,11,4,15,4,2,2,2,1,3,3,2,,,3,
CUB,Cuba,MICS,2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",,Female,,,,,,,,,,,,,,,,,,,,,3,0,0,20,15,2,3,12,5,10,16,16,11,17,17,28,12,12,17,
CUB,Cuba,MICS,2019,Disability,"At least one sensory, physical or intellectual difficulty",,,,,,.19735132,.080020748,,,,,,,,,,,.71268737,,,,,11,1,0,60,42,13,7,27,9,12,18,18,12,20,20,30,12,12,20,
CUB,Cuba,MICS,2019,Disability,At least one functional difficulty,,,.70862025,,,.32407644,.017416134,.074042089,.40180448,.022070436,,,,,,.75621057,.88879037,.72996908,,,.71357459,,77,10,0,388,255,72,63,150,17,15,22,22,16,88,88,34,12,12,99,
CUB,Cuba,MICS,2019,Disability & Sex,At least one functional difficulty,,Male,.78251505,,,.35198876,.024518332,.10095848,.3261714,.036425639,,,,,,.67969793,.86735016,,,,.57072729,,44,5,0,227,147,43,35,83,10,2,2,2,2,39,39,2,,,43,
CUB,Cuba,MICS,2019,Household education,,Not completed primary,,,,,.39371702,.18113782,,,,,.0056482651,,,.23737958,.36337656,.66283768,.48301002,,,.43473533,,13,7,12,54,40,12,10,24,7,18,18,18,36,33,33,33,17,17,34,2
CUB,Cuba,MICS,2019,Household education,,Completed primary,,.99411321,.81943208,.26337337,.49535152,.0026880561,.10747502,.28728223,0,.81029284,.06211957,.19527991,.15970042,.31200916,.79478431,.95689726,.49634993,.075645268,10.666696,.84144133,,68,50,52,249,137,53,60,75,32,87,113,113,87,185,185,202,88,88,183,18
CUB,Cuba,MICS,2019,Disability & Sex,At least one functional difficulty,,Female,.59644115,,,.28135684,.0080191176,,,.0016470944,,,,,,.81309819,.90473127,.93431991,,,.82942748,,33,5,0,161,108,29,28,67,7,13,20,20,14,49,49,32,12,12,56,
CUB,Cuba,MICS,2019,Household education,,Completed lower secondary,,.99625099,.92343807,.45745957,.54003423,.011093671,.014520577,.45506573,.0012162585,.93699139,.18367979,.17276084,.15220886,.18538867,.89583254,.98388433,.51435,.0072675725,11.553226,.85468793,.60130423,209,205,232,940,548,206,199,311,171,366,498,498,438,761,761,924,422,422,726,85
DOM,Dominican Rep.,MICS,2019,Household education,,Not completed primary,,.98502141,.88030487,.4245562,,.12367183,.13317865,.21415633,.01868646,.807248,.10004131,.52056473,.45102921,.55201536,.81859821,.86512214,.41941673,0,13.240534,.91095543,.51017094,254,299,207,,515,181,347,346,85,356,383,383,312,816,816,698,264,264,858,98
DOM,Dominican Rep.,MICS,2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",,Male,.7433573,,,,.033129688,,.38194144,.079498507,,,,,,,,,,,,,32,16,0,0,87,27,40,53,8,,,,,,,,,,,
DOM,Dominican Rep.,MICS,2019,Disability & Sex,At least one functional difficulty,,Female,.81213981,.66375846,,,.05619245,.043227322,.22589904,.01166801,,.276207,.28371397,.12102177,.12522307,.92648214,.97574162,.73117799,0,13.061677,.9238677,,115,51,0,0,255,89,137,146,15,107,94,94,86,168,168,210,115,115,164,
DOM,Dominican Rep.,MICS,2019,Household education,,Completed primary,,.98641568,.90890986,.47987318,,.061261315,.013882661,.18362704,.0052233487,.94025266,.10691644,.1559146,.076489575,.094854251,.85314804,.97233403,.4928225,0,11.177303,.87519944,.59832442,397,337,299,,729,222,508,468,86,502,411,411,356,1069,1069,872,441,441,1082,128
