year,category,disability,sex,iso_code,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,overage2plus_m,eduout_prim_m,eduout_lowsec_m,eduout_upsec_m,edu0_prim_m,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,overage2plus_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,edu0_prim_no,survey,preschool_3_m,preschool_3_no,attend_higher_1822_m,comp_higher_2yrs_2529_m,comp_higher_4yrs_2529_m,comp_higher_4yrs_3034_m,comp_lowsec_1524_m,comp_prim_1524_m,comp_upsec_2029_m,edu4_2024_m,eduyears_2024_m,literacy_1524_m,attend_higher_1822_no,comp_higher_2yrs_2529_no,comp_higher_4yrs_2529_no,comp_higher_4yrs_3034_no,comp_lowsec_1524_no,comp_prim_1524_no,comp_upsec_2029_no,edu4_2024_no,eduyears_2024_no,literacy_1524_no,hh_edu_head,preschool_1ybefore_m,preschool_1ybefore_no,country
2019,Household education,,,CAF,.31921002,.1007012,.031597465,.44223022,.20826478,.16875166,.44891468,.1142733,536,529,440,2820,1768,852,514,1055,MICS,.50827444,149,.011837896,.15350652,.14480481,.1638055,.076773122,.53567809,.028821412,.12556909,6.6883764,.16073379,737,672,672,553,1622,1622,1417,659,659,1602,Completed primary,.17713483,164,C. A. R.
2019,Disability,At least one functional difficulty,,CAF,.38512489,,,.32929406,.070538029,.19262879,.39107266,.13497426,220,0,0,1293,775,356,85,538,MICS,.47410563,30,,,,,.052865352,.35253897,,,,.23116297,,,,,138,138,,,,162,,,,C. A. R.
2019,Household education,,,CAF,.14821535,.036443308,.0099583426,.42355669,.34302956,.32819322,.61854005,.24932843,1138,1075,802,5016,4322,1806,1007,2375,MICS,.35885388,210,.0021584108,.40848431,.40454277,.43365699,.028894493,.18515109,.0078174267,.42379394,4.3841443,.15370421,1127,1503,1503,1188,3184,3184,2868,913,913,3159,Not completed primary,.08247672,325,C. A. R.
2019,Household education,,,CAF,.59362382,.3421669,.27700323,.49639285,.091430254,.089504786,.18811455,.036818113,137,132,104,770,351,197,127,230,MICS,.71799946,63,.062678464,.16404901,.069208644,.067775443,.37870309,.80770266,.35055637,.06226182,10.083096,.42013884,206,159,159,165,393,393,334,169,169,394,Completed upper secondary,.21874228,63,C. A. R.
2019,Disability,"At least one sensory, physical or intellectual difficulty",,CAF,.426622,,,.29663444,.082714207,.22307922,,.1884328,57,0,0,355,212,94,22,148,MICS,,7,0,.45503303,.44674724,.34647667,.066815563,.28337875,.015321196,.3259066,5.4327617,.12797756,70,116,116,119,156,156,216,66,66,144,,,,C. A. R.
2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Female,CAF,,,,.305915,.083769724,.1986365,,.2059707,29,0,0,179,107,47,11,77,MICS,,4,0,.45956519,.45528004,.36789963,.055847596,.23413619,.012326851,.3600263,5.0319276,.085846551,55,103,103,102,129,129,186,54,54,120,,,,C. A. R.
2019,Disability & Sex,At least one functional difficulty,Male,CAF,.32164735,,,.32598889,.066275239,.15129793,.3138721,.10116089,102,0,0,671,402,184,44,264,MICS,,13,,,,,.069844961,.40936711,,,,.25890705,,,,,61,61,,,,73,,,,C. A. R.
2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Male,CAF,,,,.28843763,.08172182,.24238938,,.17132448,28,0,0,176,105,47,11,71,MICS,,3,,,,,,,.033534892,,,,15,13,13,17,27,27,30,12,12,24,,,,C. A. R.
2019,Household education,,,CAF,.44837579,.28089032,.057688382,.48302951,.12963668,.10928243,.27482107,.068495236,209,237,218,1273,667,323,226,406,MICS,.55839443,65,.026631292,.088753723,.080869086,.062854104,.27226838,.66838336,.056034852,.08089599,8.3813725,.32284564,365,297,297,218,725,725,644,327,327,703,Completed lower secondary,.29580683,72,C. A. R.
2019,Household education,,,CAF,.75258851,.72266263,.38071766,.53476626,.068878502,.026556257,.039232627,.014112283,69,55,64,446,185,113,51,124,MICS,.84387881,47,.18471955,.44343153,.077193953,.22534265,.61807019,.91883558,.51018369,.030724136,11.544929,.64795256,98,85,85,89,196,196,183,97,97,188,Completed post-secondary or higher,.32399705,32,C. A. R.
2019,Disability & Sex,At least one functional difficulty,Female,CAF,.4539367,,,.33341116,.0757268,.24743308,.48343161,.17140545,118,0,0,622,373,172,41,274,MICS,,17,,,,,.036528572,.29786226,,,,.20285131,,,,,77,77,,,,89,,,,C. A. R.
2018,Disability & Sex,At least one functional difficulty,Male,COD,.66042298,.46393761,,.29659507,.1040163,.14906298,.2346487,.067858987,180,84,0,1092,646,170,213,468,MICS,,12,,,,,.32322633,.65426624,.21568382,,,.37687793,24,18,18,21,197,197,39,19,19,238,,,,D. R. Congo
2018,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Male,COD,,,,.36405182,.099996023,,.31359959,.054354109,27,12,0,195,119,29,30,83,MICS,,2,,,,,,,,,,,8,9,9,17,17,17,18,8,8,17,,,,D. R. Congo
2018,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Female,COD,,,,.33958972,.098870449,,,.27165139,28,13,0,179,108,23,29,77,MICS,,2,.1007601,.28586122,.24201621,.24652404,.39804158,.62591493,.15875532,.19963466,7.2249298,.50258684,46,69,69,71,99,99,128,45,45,87,,,,D. R. Congo
2018,Disability,At least one functional difficulty,,COD,.74776196,.42400187,,.31158662,.097306319,.15468916,.21724765,.083658233,340,164,0,2103,1245,331,406,899,MICS,,19,.072711118,.19542488,.1698432,.21045925,.36024126,.61237901,.14358357,.19530509,6.4122295,.4391484,118,131,131,140,554,554,270,108,108,617,,,,D. R. Congo
2018,Household education,,,COD,.89053321,.76491368,.6135416,.50603127,.06475164,.12978025,.15339144,.024237242,256,264,207,1412,656,207,370,406,MICS,.80817729,87,.22593901,.47015759,.18247262,.26254657,.81182444,.91683507,.69827455,.035589557,11.550127,.81719798,345,298,298,276,757,757,623,314,314,754,Completed post-secondary or higher,.17905717,95,D. R. Congo
2018,Household education,,,COD,.49284524,.33248734,.077761099,.45746684,.35697052,.25762042,.4126308,.22943573,1448,1579,782,6252,5504,1292,2156,3213,MICS,.31992671,111,.0065401266,.37200445,.35973585,.42008469,.29106632,.48287606,.071701407,.22597262,6.3758826,.40598825,1252,1421,1421,1867,3886,3886,2865,1055,1055,3954,Not completed primary,.022517111,284,D. R. Congo
2018,Household education,,,COD,.53191018,.36196047,.089802764,.42197168,.21975823,.18494366,.3155925,.11972131,746,841,493,3541,2561,593,1119,1490,MICS,.21653737,62,.004523172,.071065105,.070806548,.092281133,.35036755,.69055688,.077983901,.091066107,7.2059884,.46445373,875,735,735,848,2158,2158,1598,782,782,2190,Completed primary,.003788193,178,D. R. Congo
2018,Household education,,,COD,.79177064,.70644289,.46592325,.44990322,.1111037,.07474941,.1641278,.039972387,735,835,686,4566,2553,692,1083,1537,MICS,.65693271,182,.099508636,.10745739,.057621639,.042564321,.75136805,.89539969,.5626809,.021318154,10.411515,.77437454,1163,1018,1018,1031,2513,2513,2200,1137,1137,2461,Completed upper secondary,.087510042,282,D. R. Congo
2018,Disability,"At least one sensory, physical or intellectual difficulty",,COD,.80233872,,,.35175103,.099418126,.11351688,.19089349,.14238757,55,25,0,374,227,52,59,160,MICS,,4,.083008185,.24719046,.20964873,.22940685,.39485699,.6244632,.15851812,.16408487,7.0412974,.53409356,54,78,78,88,116,116,146,53,53,104,,,,D. R. Congo
2018,Household education,,,COD,.70024639,.55799544,.11844299,.41491798,.18420106,.14171098,.29330459,.076302193,1150,1370,934,6260,3945,985,1738,2378,MICS,.48737785,207,.026828993,.091586232,.07258676,.075907476,.59599978,.81777894,.11886343,.034751013,8.7791386,.63976592,1654,1301,1301,1406,3750,3750,2924,1521,1521,3706,Completed lower secondary,.060533691,338,D. R. Congo
2018,Disability & Sex,At least one functional difficulty,Female,COD,.81897241,.39350244,,.3269541,.089852884,.16058367,.20276996,.1011904,160,80,0,1011,599,161,193,431,MICS,,7,.088017501,.20740637,.17813893,.22804746,.37471697,.59599787,.13162604,.22787292,6.3458328,.46978724,94,113,113,119,357,357,231,89,89,379,,,,D. R. Congo
2018,Household education,,,CRI,.99834096,.81248569,.810471,.63414443,.036003657,.025558919,.02700001,0,152,153,199,958,467,172,102,269,MICS,.99035418,138,.44995484,.24627694,.12170188,.11725409,.79709631,.99713844,.82219219,.0029423789,11.534654,.79573703,318,510,510,445,629,629,883,373,373,627,Completed upper secondary,.96691841,78,Costa Rica
2018,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Female,CRI,,,,.58148885,.038423296,0,,0,28,14,0,133,76,35,18,43,MICS,,11,.15678024,.16307285,.092937976,.11291615,.6371454,.99096775,.3974826,.012218065,9.4568415,.70899975,45,66,66,67,66,66,116,50,50,62,,,,Costa Rica
2018,Household education,,,CRI,.96513921,.54965252,.24176973,.53192508,.036083162,.055595528,.14743425,0,270,259,228,1126,545,261,181,343,MICS,.97177482,109,.083032988,.1045507,.093950219,.13311581,.4624992,.8935948,.25619569,.069724932,8.2506208,.53396606,384,282,282,332,813,813,654,366,366,816,Not completed primary,.8029865,89,Costa Rica
2018,Household education,,,CRI,.97970521,.77953643,.5078916,.52504891,.038438004,.015144604,.045965377,.0075048846,94,94,109,555,283,118,56,163,MICS,.99115556,84,.15207829,.084295027,.042110465,.026322117,.75954181,.97490191,.38024253,.015900439,10.052627,.79269618,187,289,289,241,390,390,529,238,238,391,Completed lower secondary,.93492305,53,Costa Rica
2018,Disability & Sex,At least one functional difficulty,Male,CRI,.98948997,,,.38352844,.0025295401,.063536666,.21519332,0,93,24,0,374,227,91,61,117,MICS,,21,,,,,.25986812,1,,,,.25658533,,,,,85,85,,,,89,,,,Costa Rica
2018,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Male,CRI,.96419001,,,.43973947,0,.086223356,,0,30,8,0,132,81,32,18,35,MICS,,16,,,,,,,,,,,,,,,,,,,,,,,,Costa Rica
2018,Disability,At least one functional difficulty,,CRI,.99271142,.62250221,,.44438037,.0060089803,.039955199,.17647989,0,187,66,0,746,432,175,127,236,MICS,.89903575,37,.22048125,.13819177,.1027765,.079303779,.45938087,.99085552,.36653915,.0093466602,9.0199165,.48685756,82,97,97,122,315,315,182,85,85,319,,,,Costa Rica
2018,Disability & Sex,At least one functional difficulty,Female,CRI,.99546367,.75739372,,.51009911,.010401128,.0094761178,.14385268,0,94,42,0,372,205,84,66,119,MICS,,16,.22048125,.13819177,.1027765,.079303779,.54778153,.98680377,.36653915,.0093466602,9.0199165,.58990282,82,97,97,122,230,230,182,85,85,230,,,,Costa Rica
2018,Household education,,,CRI,1,.90869063,.81900787,.67514062,.040987361,.001148492,.098694593,0,105,131,140,684,313,112,66,174,MICS,.99498135,100,.59301519,.66100359,.39207506,.70670229,.88208872,.99829096,.88233602,0,13.126133,.88713241,218,286,286,390,399,399,488,202,202,396,Completed post-secondary or higher,1,59,Costa Rica
2018,Household education,,,CRI,.98279965,.72041297,.5280441,.56705648,.053301562,.024004074,.12299612,.0010768998,535,563,541,2490,1175,525,362,732,MICS,.97088706,274,.21243843,.15034147,.087842785,.070310153,.62007481,.97987407,.4333289,.0083371894,10.090746,.65244448,898,848,848,833,1838,1838,1756,907,907,1838,Completed primary,.96541947,224,Costa Rica
2018,Disability,"At least one sensory, physical or intellectual difficulty",,CRI,.98470438,,,.50435311,.015062324,.049099617,.055321813,0,58,22,0,265,157,67,36,78,MICS,,27,.15678024,.16307285,.092937976,.11291615,.6371454,.99096775,.3974826,.012218065,9.4568415,.70899975,45,66,66,67,66,66,116,50,50,62,,,,Costa Rica
2019,Disability & Sex,At least one functional difficulty,Male,CUB,.98523456,,,.35198876,.024518332,.10095848,.3261714,.036425639,44,5,0,227,147,43,35,83,MICS,,10,,,,,.67969793,.86735016,,,,.57072729,2,2,2,2,39,39,2,,,43,,,,Cuba
2019,Disability & Sex,At least one functional difficulty,Female,CUB,.984285,,,.28135684,.0080191176,,,.0016470944,33,5,0,161,108,29,28,67,MICS,,7,,,,,.81309819,.90473127,.93431991,,,.82942748,13,20,20,14,49,49,32,12,12,56,,,,Cuba
2019,Household education,,,CUB,,,,.39371702,.18113782,,,,13,7,12,54,40,12,10,24,MICS,,7,.0056482651,,,.23737958,.36337656,.66283768,.48301002,,,.43473533,18,18,18,36,33,33,33,17,17,34,Not completed primary,,2,Cuba
2019,Household education,,,CUB,.99976826,.96703982,.84370005,.58546895,.014845641,.0024238089,.18140455,.0017048685,254,238,298,1323,648,272,224,382,MICS,.98759496,339,.41312709,.71339816,.60530323,.71238595,.95834416,.9848578,.9008522,.0028027212,13.897944,.93787408,463,739,739,782,915,915,1261,519,519,902,Completed post-secondary or higher,.65438372,112,Cuba
2019,Disability,At least one functional difficulty,,CUB,.98485744,,,.32407644,.017416134,.074042089,.40180448,.022070436,77,10,0,388,255,72,63,150,MICS,,17,,,,,.75621057,.88879037,.72996908,,,.71357459,15,22,22,16,88,88,34,12,12,99,,,,Cuba
2019,Household education,,,CUB,.99866885,.97111738,.68551308,.48652345,.0074335774,.053158287,.23854321,0,222,247,281,1200,644,247,222,352,MICS,.96176255,293,.21648456,.23401342,.15721886,.21201892,.97037649,.99920034,.81597883,.00030964392,12.261331,.92907786,446,785,785,670,885,885,1281,495,495,856,Completed upper secondary,.69244254,126,Cuba
2019,Disability,"At least one sensory, physical or intellectual difficulty",,CUB,,,,.19735132,.080020748,,,,11,1,0,60,42,13,7,27,MICS,,9,,,,,,,.71268737,,,,12,18,18,12,20,20,30,12,12,20,,,,Cuba
2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Male,CUB,,,,.2129811,,,,,8,1,0,40,27,11,4,15,MICS,,4,,,,,,,,,,,2,2,2,1,3,3,2,,,3,,,,Cuba
2019,Household education,,,CUB,.99411321,.81943208,.26337337,.49535152,.0026880561,.10747502,.28728223,0,68,50,52,249,137,53,60,75,MICS,.81029284,32,.06211957,.19527991,.15970042,.31200916,.79478431,.95689726,.49634993,.075645268,10.666696,.84144133,87,113,113,87,185,185,202,88,88,183,Completed primary,,18,Cuba
2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Female,CUB,,,,,,,,,3,0,0,20,15,2,3,12,MICS,,5,,,,,,,,,,,10,16,16,11,17,17,28,12,12,17,,,,Cuba
2019,Household education,,,CUB,.99625099,.92343807,.45745957,.54003423,.011093671,.014520577,.45506573,.0012162585,209,205,232,940,548,206,199,311,MICS,.93699139,171,.18367979,.17276084,.15220886,.18538867,.89583254,.98388433,.51435,.0072675725,11.553226,.85468793,366,498,498,438,761,761,924,422,422,726,Completed lower secondary,.60130423,85,Cuba
2019,Household education,,,DOM,.98850477,.98243344,.84593064,,.02340956,.020918269,.12865695,.0029847391,1723,1929,1873,,3796,1115,2349,2391,MICS,.93622631,862,.27311519,.25155589,.11022024,.086189643,.98517454,.99228972,.8853671,0,12.978028,.99039018,3147,3148,3148,2538,6234,6234,6295,3145,3145,6221,Completed upper secondary,.51464117,717,Dominican Rep.
2019,Household education,,,DOM,.98830807,.97122413,.6038965,,.037574995,.038236037,.14161316,.0074612251,1004,1098,961,,2070,617,1376,1345,MICS,.9274621,378,.1856173,.17556182,.082948849,.086004257,.97323477,.98708028,.49923542,0,12.086299,.9778496,1673,1493,1493,1255,3337,3337,3061,1560,1560,3350,Completed lower secondary,.48486412,336,Dominican Rep.
2019,Household education,,,DOM,.99919665,.99896228,.94405723,,.012585321,.0020441115,.068690836,0,524,509,459,,1230,383,687,779,MICS,.92986709,324,.56752783,.73491639,.49862999,.62065053,.98823041,.9928723,.94593668,0,14.894147,.99492288,796,943,943,909,1637,1637,1738,783,783,1620,Completed post-secondary or higher,.53192323,206,Dominican Rep.
2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Male,DOM,.89292473,,,,.033129688,,.38194144,.079498507,31,16,0,0,87,27,40,53,MICS,,8,,,,,,,,,,,,,,,,,,,,,,,,Dominican Rep.
2019,Disability,"At least one sensory, physical or intellectual difficulty",,DOM,.94398987,,,,.044157486,.17868312,.21758783,.060707297,73,29,0,0,152,48,88,94,MICS,,16,.28692079,.29718959,.107057,.13749303,.90929806,.97007149,.72625482,0,13.072753,.90896678,81,76,76,70,131,131,166,89,89,127,,,,Dominican Rep.
2019,Disability & Sex,At least one functional difficulty,Female,DOM,1,.9051562,,,.05619245,.043227322,.22589904,.01166801,115,51,0,0,255,89,137,146,MICS,,15,.276207,.28371397,.12102177,.12522307,.92648214,.97574162,.73117799,0,13.061677,.9238677,107,94,94,86,168,168,210,115,115,164,,,,Dominican Rep.
2019,Household education,,,DOM,.98502141,.88030487,.4245562,,.12367183,.13317865,.21415633,.01868646,254,299,207,,515,181,347,346,MICS,.807248,85,.10004131,.52056473,.45102921,.55201536,.81859821,.86512214,.41941673,0,13.240534,.91095543,356,383,383,312,816,816,698,264,264,858,Not completed primary,.51017094,98,Dominican Rep.
2019,Disability,At least one functional difficulty,,DOM,.98184931,.93162751,,,.036250859,.084669553,.29637456,.016651008,256,101,0,0,617,208,292,339,MICS,,29,.276207,.28371397,.12102177,.12522307,.92648214,.97574162,.73117799,0,13.061677,.9238677,107,94,94,86,168,168,210,115,115,164,,,,Dominican Rep.
2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Female,DOM,1,,,,.058243692,,.059817202,.039723895,42,13,0,0,65,21,48,41,MICS,,8,.28692079,.29718959,.107057,.13749303,.90929806,.97007149,.72625482,0,13.072753,.90896678,81,76,76,70,131,131,166,89,89,127,,,,Dominican Rep.
2019,Disability & Sex,At least one functional difficulty,Male,DOM,.96959609,.95731652,,,.020003606,.11342084,.34781268,.020340458,141,50,0,0,362,119,155,193,MICS,,14,,,,,,,,,,,,,,,,,,,,,,,,Dominican Rep.
2019,Household education,,,DOM,.98641568,.90890986,.47987318,,.061261315,.013882661,.18362704,.0052233487,397,337,299,,729,222,508,468,MICS,.94025266,86,.10691644,.1559146,.076489575,.094854251,.85314804,.97233403,.4928225,0,11.177303,.87519944,502,411,411,356,1069,1069,872,441,441,1082,Completed primary,.59832442,128,Dominican Rep.
