"iso_code3","year","grade","level","survey","COUNTRY","iso_num","category","Sex","Language","Location","Wealth","mlevel2_m","mlevel3_m","mlevel4_m","mlevel2_se","mlevel3_se","mlevel4_se","mlevel2_no","mlevel3_no","mlevel4_no","rlevel2_m","rlevel3_m","rlevel4_m","rlevel2_se","rlevel3_se","rlevel4_se","rlevel2_no","rlevel3_no","rlevel4_no","slevel2_m","slevel3_m","slevel4_m","slevel2_se","slevel3_se","slevel4_se","slevel2_no","slevel3_no","slevel4_no"
"COL",2013,3,"Primary","TERCE","Colombia",170,"Sex","Female","","",,0.5373,0.2554,0.038,0.0435,0.0286,0.008,1255,663,106,,,,,,,,,,,,,,,,,,
"CRI",2013,3,"Primary","TERCE","Costa Rica",188,"Sex","Male","","",,0.8121,0.5199,0.1197,0.0191,0.0221,0.0103,1476,994,282,,,,,,,,,,,,,,,,,,
"CRI",2013,3,"Primary","TERCE","Costa Rica",188,"Sex","Female","","",,0.8027,0.4727,0.081,0.0179,0.0198,0.0097,1351,858,197,,,,,,,,,,,,,,,,,,
"DOM",2013,3,"Primary","TERCE","Dominican Republic",214,"Sex","Male","","",,0.1145,0.03,0.0018,0.0133,0.007,0.0014,258,67,3,,,,,,,,,,,,,,,,,,
"DOM",2013,3,"Primary","TERCE","Dominican Republic",214,"Sex","Female","","",,0.1395,0.0434,0.0037,0.016,0.0087,0.0019,334,102,7,,,,,,,,,,,,,,,,,,
"ECU",2013,3,"Primary","TERCE","Ecuador",218,"Sex","Male","","",,0.5437,0.2879,0.0618,0.0251,0.0238,0.0117,1602,856,167,,,,,,,,,,,,,,,,,,
"ECU",2013,3,"Primary","TERCE","Ecuador",218,"Sex","Female","","",,0.5506,0.2837,0.0554,0.0265,0.0268,0.0149,1329,663,102,,,,,,,,,,,,,,,,,,
"GTM",2013,3,"Primary","TERCE","Guatemala",320,"Sex","Male","","",,0.4037,0.1762,0.0385,0.0195,0.0137,0.0072,1101,483,92,,,,,,,,,,,,,,,,,,
"GTM",2013,3,"Primary","TERCE","Guatemala",320,"Sex","Female","","",,0.3777,0.1583,0.0285,0.0216,0.0133,0.0051,963,392,61,,,,,,,,,,,,,,,,,,
"HND",2013,3,"Primary","TERCE","Honduras",340,"Sex","Male","","",,0.4405,0.1886,0.0311,0.0271,0.0208,0.0083,1054,528,93,,,,,,,,,,,,,,,,,,
"HND",2013,3,"Primary","TERCE","Honduras",340,"Sex","Female","","",,0.4494,0.2215,0.0406,0.0271,0.0189,0.0132,1014,535,108,,,,,,,,,,,,,,,,,,
"MEX",2013,3,"Primary","TERCE","Mexico",484,"Sex","Male","","",,0.7039,0.4606,0.1361,0.019,0.0206,0.0132,1356,951,343,,,,,,,,,,,,,,,,,,
"MEX",2013,3,"Primary","TERCE","Mexico",484,"Sex","Female","","",,0.7283,0.4868,0.1335,0.0203,0.0184,0.0107,1330,958,325,,,,,,,,,,,,,,,,,,
"NIC",2013,3,"Primary","TERCE","Nicaragua",558,"Sex","Male","","",,0.3136,0.1082,0.0177,0.023,0.0143,0.0069,634,230,24,,,,,,,,,,,,,,,,,,
"NIC",2013,3,"Primary","TERCE","Nicaragua",558,"Sex","Female","","",,0.2904,0.0905,0.0101,0.0168,0.0129,0.0058,583,187,20,,,,,,,,,,,,,,,,,,
"NLE",2013,3,"Primary","TERCE","NLE",,"Sex","Male","","",,0.7509,0.5108,0.1728,0.0152,0.0185,0.014,1603,1110,376,,,,,,,,,,,,,,,,,,
"NLE",2013,3,"Primary","TERCE","NLE",,"Sex","Female","","",,0.7749,0.5359,0.1722,0.0161,0.0187,0.0135,1594,1126,366,,,,,,,,,,,,,,,,,,
"PAN",2013,3,"Primary","TERCE","Panama",591,"Sex","Male","","",,0.3835,0.1424,0.0132,0.0222,0.0185,0.0035,774,331,51,,,,,,,,,,,,,,,,,,
"PAN",2013,3,"Primary","TERCE","Panama",591,"Sex","Female","","",,0.4069,0.157,0.0176,0.0272,0.0207,0.0053,801,338,52,,,,,,,,,,,,,,,,,,
"PER",2013,3,"Primary","TERCE","Peru",604,"Sex","Male","","",,0.6437,0.3972,0.1045,0.0215,0.0241,0.0165,1627,1056,297,,,,,,,,,,,,,,,,,,
"PER",2013,3,"Primary","TERCE","Peru",604,"Sex","Female","","",,0.5922,0.3538,0.0828,0.0219,0.0202,0.0112,1353,866,235,,,,,,,,,,,,,,,,,,
"PRY",2013,3,"Primary","TERCE","Paraguay",600,"Sex","Male","","",,0.3355,0.1759,0.0429,0.0296,0.0231,0.0141,648,323,64,,,,,,,,,,,,,,,,,,
"PRY",2013,3,"Primary","TERCE","Paraguay",600,"Sex","Female","","",,0.3397,0.166,0.0414,0.0254,0.0221,0.0114,609,291,65,,,,,,,,,,,,,,,,,,
"URY",2013,3,"Primary","TERCE","Uruguay",858,"Sex","Male","","",,0.6899,0.4532,0.1543,0.0496,0.0408,0.0246,1281,812,255,,,,,,,,,,,,,,,,,,
"URY",2013,3,"Primary","TERCE","Uruguay",858,"Sex","Female","","",,0.7327,0.5138,0.1817,0.0338,0.0451,0.0299,1360,898,266,,,,,,,,,,,,,,,,,,
"ARG",2013,3,"Primary","TERCE","Argentina",32,"Language","","Yes","",,0.6398,0.3913,0.1005,0.023,0.0242,0.0105,1761,1075,301,,,,,,,,,,,,,,,,,,
"ARG",2013,3,"Primary","TERCE","Argentina",32,"Language","","No","",,0.4808,0.274,0.0645,0.1724,0.1252,0.0577,14,8,2,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Language","","Yes","",,0.6572,0.4317,0.1442,0.025,0.0247,0.0158,1894,1286,463,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Language","","No","",,0.3147,0.2689,0.1397,0.144,0.1387,0.1193,5,3,1,,,,,,,,,,,,,,,,,,
"CHL",2013,3,"Primary","TERCE","Chile",152,"Language","","Yes","",,0.8754,0.6816,0.2797,0.0131,0.0189,0.018,3678,2991,1389,,,,,,,,,,,,,,,,,,
"CHL",2013,3,"Primary","TERCE","Chile",152,"Language","","No","",,0.8519,0.7183,0.3939,0.1357,0.1446,0.1845,17,15,6,,,,,,,,,,,,,,,,,,
"COL",2013,3,"Primary","TERCE","Colombia",170,"Language","","Yes","",,0.5438,0.263,0.0427,0.0421,0.0288,0.0078,2286,1252,240,,,,,,,,,,,,,,,,,,
"COL",2013,3,"Primary","TERCE","Colombia",170,"Language","","No","",,0.1721,0.0979,0.0543,0.0792,0.0509,0.0262,15,10,6,,,,,,,,,,,,,,,,,,
"CRI",2013,3,"Primary","TERCE","Costa Rica",188,"Language","","Yes","",,0.8116,0.5007,0.1019,0.014,0.0176,0.0081,2674,1755,457,,,,,,,,,,,,,,,,,,
"CRI",2013,3,"Primary","TERCE","Costa Rica",188,"Language","","No","",,0.8666,0.6278,0.2067,0.0859,0.1064,0.0897,30,21,6,,,,,,,,,,,,,,,,,,
"DOM",2013,3,"Primary","TERCE","Dominican Republic",214,"Language","","Yes","",,0.1351,0.0398,0.003,0.0144,0.0076,0.0015,547,160,9,,,,,,,,,,,,,,,,,,
"DOM",2013,3,"Primary","TERCE","Dominican Republic",214,"Language","","No","",,0.129,0.0241,0.0093,0.0849,0.0236,0.0129,6,1,1,,,,,,,,,,,,,,,,,,
"ECU",2013,3,"Primary","TERCE","Ecuador",218,"Language","","Yes","",,0.5481,0.283,0.0588,0.0249,0.0232,0.0123,2707,1400,249,,,,,,,,,,,,,,,,,,
"ECU",2013,3,"Primary","TERCE","Ecuador",218,"Language","","No","",,0.4454,0.2312,0.064,0.1399,0.1298,0.0485,35,17,4,,,,,,,,,,,,,,,,,,
"GTM",2013,3,"Primary","TERCE","Guatemala",320,"Language","","Yes","",,0.4024,0.1747,0.0364,0.0185,0.0116,0.0051,1789,784,140,,,,,,,,,,,,,,,,,,
"GTM",2013,3,"Primary","TERCE","Guatemala",320,"Language","","No","",,0.2013,0.0623,0,0.0648,0.0371,0,53,9,0,,,,,,,,,,,,,,,,,,
"HND",2013,3,"Primary","TERCE","Honduras",340,"Language","","Yes","",,0.4741,0.2205,0.038,0.0216,0.0165,0.009,1895,974,180,,,,,,,,,,,,,,,,,,
"HND",2013,3,"Primary","TERCE","Honduras",340,"Language","","No","",,0.1811,0.0992,0.028,0.104,0.0612,0.0314,26,16,6,,,,,,,,,,,,,,,,,,
"MEX",2013,3,"Primary","TERCE","Mexico",484,"Language","","Yes","",,0.7411,0.5026,0.1445,0.0176,0.0168,0.0093,2279,1649,585,,,,,,,,,,,,,,,,,,
"MEX",2013,3,"Primary","TERCE","Mexico",484,"Language","","No","",,0.348,0.1175,0.0224,0.0656,0.0367,0.0175,46,16,4,,,,,,,,,,,,,,,,,,
"NIC",2013,3,"Primary","TERCE","Nicaragua",558,"Language","","Yes","",,0.333,0.1134,0.0166,0.0178,0.0142,0.0068,1086,380,40,,,,,,,,,,,,,,,,,,
"NIC",2013,3,"Primary","TERCE","Nicaragua",558,"Language","","No","",,0.0528,0.0064,0.0038,0.0213,0.0069,0.0048,6,1,1,,,,,,,,,,,,,,,,,,
"NLE",2013,3,"Primary","TERCE","NLE",,"Language","","Yes","",,0.7822,0.5455,0.1833,0.0139,0.0157,0.0128,2873,2032,682,,,,,,,,,,,,,,,,,,
"NLE",2013,3,"Primary","TERCE","NLE",,"Language","","No","",,0.6879,0.5698,0.2935,0.1851,0.2022,0.1908,6,5,3,,,,,,,,,,,,,,,,,,
"PAN",2013,3,"Primary","TERCE","Panama",591,"Language","","Yes","",,0.4406,0.1706,0.0193,0.0248,0.0196,0.0044,1238,538,91,,,,,,,,,,,,,,,,,,
"PAN",2013,3,"Primary","TERCE","Panama",591,"Language","","No","",,0.1337,0.0645,0.0046,0.0614,0.0295,0.0036,38,24,2,,,,,,,,,,,,,,,,,,
"PER",2013,3,"Primary","TERCE","Peru",604,"Language","","Yes","",,0.653,0.4048,0.103,0.02,0.0217,0.0123,2627,1721,489,,,,,,,,,,,,,,,,,,
"PER",2013,3,"Primary","TERCE","Peru",604,"Language","","No","",,0.1808,0.0592,0.0031,0.0431,0.0235,0.0049,66,22,0,,,,,,,,,,,,,,,,,,
"PRY",2013,3,"Primary","TERCE","Paraguay",600,"Language","","Yes","",,0.5153,0.2607,0.0467,0.0325,0.0321,0.0126,612,327,65,,,,,,,,,,,,,,,,,,
"PRY",2013,3,"Primary","TERCE","Paraguay",600,"Language","","No","",,0.2815,0.1486,0.0472,0.0316,0.0254,0.0164,466,214,53,,,,,,,,,,,,,,,,,,
"URY",2013,3,"Primary","TERCE","Uruguay",858,"Language","","Yes","",,0.7275,0.5037,0.1818,0.0348,0.038,0.024,2376,1566,490,,,,,,,,,,,,,,,,,,
"URY",2013,3,"Primary","TERCE","Uruguay",858,"Language","","No","",,0.6029,0.3837,0.1301,0.1613,0.1827,0.0991,47,25,5,,,,,,,,,,,,,,,,,,
"ARG",2013,3,"Primary","TERCE","Argentina",32,"Location","","","Urban",,0.6222,0.372,0.0943,0.0237,0.0218,0.0097,1665,1024,293,,,,,,,,,,,,,,,,,,
"ARG",2013,3,"Primary","TERCE","Argentina",32,"Location","","","Rural",,0.5933,0.3432,0.09,0.0297,0.0326,0.0231,684,370,80,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Location","","","Urban",,0.6548,0.4338,0.1438,0.0294,0.0291,0.0174,1831,1304,480,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Location","","","Rural",,0.5361,0.2836,0.0763,0.0351,0.0318,0.0241,448,234,61,,,,,,,,,,,,,,,,,,
"CHL",2013,3,"Primary","TERCE","Chile",152,"Location","","","Urban",,0.8748,0.6828,0.28,0.0148,0.0214,0.0193,3277,2736,1355,,,,,,,,,,,,,,,,,,
"CHL",2013,3,"Primary","TERCE","Chile",152,"Location","","","Rural",,0.7881,0.5152,0.1384,0.0261,0.0317,0.0172,875,609,171,,,,,,,,,,,,,,,,,,
"COL",2013,3,"Primary","TERCE","Colombia",170,"Location","","","Urban",,0.6055,0.3061,0.0526,0.055,0.0381,0.0099,1852,1101,229,,,,,,,,,,,,,,,,,,
"COL",2013,3,"Primary","TERCE","Colombia",170,"Location","","","Rural",,0.308,0.1143,0.0119,0.0498,0.0269,0.0056,536,201,23,,,,,,,,,,,,,,,,,,
"CRI",2013,3,"Primary","TERCE","Costa Rica",188,"Location","","","Urban",,0.8071,0.4951,0.1012,0.0149,0.0179,0.0083,2638,1743,461,,,,,,,,,,,,,,,,,,
"CRI",2013,3,"Primary","TERCE","Costa Rica",188,"Location","","","Rural",,0.8302,0.5963,0.0878,0.0845,0.1306,0.0751,189,109,18,,,,,,,,,,,,,,,,,,
"DOM",2013,3,"Primary","TERCE","Dominican Republic",214,"Location","","","Urban",,0.1332,0.0377,0.0025,0.0166,0.0088,0.0013,457,130,10,,,,,,,,,,,,,,,,,,
"DOM",2013,3,"Primary","TERCE","Dominican Republic",214,"Location","","","Rural",,0.1127,0.035,0.0034,0.0212,0.0128,0.0038,135,39,0,,,,,,,,,,,,,,,,,,
"ECU",2013,3,"Primary","TERCE","Ecuador",218,"Location","","","Urban",,0.5646,0.2992,0.0598,0.0248,0.0241,0.0125,2317,1223,220,,,,,,,,,,,,,,,,,,
"ECU",2013,3,"Primary","TERCE","Ecuador",218,"Location","","","Rural",,0.4928,0.2459,0.0562,0.0435,0.0442,0.0293,614,296,49,,,,,,,,,,,,,,,,,,
"GTM",2013,3,"Primary","TERCE","Guatemala",320,"Location","","","Urban",,0.6219,0.343,0.0862,0.0271,0.0266,0.0131,1000,488,124,,,,,,,,,,,,,,,,,,
"GTM",2013,3,"Primary","TERCE","Guatemala",320,"Location","","","Rural",,0.2657,0.0722,0.0051,0.0219,0.0088,0.0021,1064,387,29,,,,,,,,,,,,,,,,,,
"HND",2013,3,"Primary","TERCE","Honduras",340,"Location","","","Urban",,0.509,0.2336,0.0315,0.0314,0.0229,0.0065,1134,690,137,,,,,,,,,,,,,,,,,,
"HND",2013,3,"Primary","TERCE","Honduras",340,"Location","","","Rural",,0.4059,0.1873,0.0384,0.0319,0.0226,0.0121,934,373,64,,,,,,,,,,,,,,,,,,
"MEX",2013,3,"Primary","TERCE","Mexico",484,"Location","","","Urban",,0.7649,0.5155,0.1518,0.018,0.0168,0.0105,2132,1576,580,,,,,,,,,,,,,,,,,,
"MEX",2013,3,"Primary","TERCE","Mexico",484,"Location","","","Rural",,0.5677,0.3466,0.0834,0.0409,0.0351,0.016,554,333,88,,,,,,,,,,,,,,,,,,
"NIC",2013,3,"Primary","TERCE","Nicaragua",558,"Location","","","Urban",,0.3689,0.1198,0.0116,0.025,0.0184,0.0047,695,266,29,,,,,,,,,,,,,,,,,,
"NIC",2013,3,"Primary","TERCE","Nicaragua",558,"Location","","","Rural",,0.2518,0.0838,0.0155,0.0229,0.0154,0.0092,522,151,15,,,,,,,,,,,,,,,,,,
"NLE",2013,3,"Primary","TERCE","NLE",,"Location","","","Urban",,0.7908,0.5566,0.1935,0.0152,0.0182,0.0141,2471,1788,643,,,,,,,,,,,,,,,,,,
"NLE",2013,3,"Primary","TERCE","NLE",,"Location","","","Rural",,0.6513,0.3906,0.0896,0.0302,0.0313,0.0148,726,448,99,,,,,,,,,,,,,,,,,,
"PAN",2013,3,"Primary","TERCE","Panama",591,"Location","","","Urban",,0.5417,0.2345,0.0288,0.0323,0.0294,0.0062,1059,556,99,,,,,,,,,,,,,,,,,,
"PAN",2013,3,"Primary","TERCE","Panama",591,"Location","","","Rural",,0.2527,0.0672,0.0022,0.026,0.0154,0.0022,516,113,4,,,,,,,,,,,,,,,,,,
"PER",2013,3,"Primary","TERCE","Peru",604,"Location","","","Urban",,0.7065,0.4417,0.1132,0.023,0.0244,0.0134,2550,1773,522,,,,,,,,,,,,,,,,,,
"PER",2013,3,"Primary","TERCE","Peru",604,"Location","","","Rural",,0.2952,0.1348,0.0238,0.0364,0.0265,0.0149,430,149,10,,,,,,,,,,,,,,,,,,
"PRY",2013,3,"Primary","TERCE","Paraguay",600,"Location","","","Urban",,0.4014,0.1931,0.0324,0.0393,0.0307,0.0088,911,439,81,,,,,,,,,,,,,,,,,,
"PRY",2013,3,"Primary","TERCE","Paraguay",600,"Location","","","Rural",,0.2731,0.1491,0.052,0.0384,0.0303,0.0191,346,175,48,,,,,,,,,,,,,,,,,,
"URY",2013,3,"Primary","TERCE","Uruguay",858,"Location","","","Urban",,0.7134,0.4859,0.1699,0.0373,0.0405,0.0238,2408,1570,483,,,,,,,,,,,,,,,,,,
"URY",2013,3,"Primary","TERCE","Uruguay",858,"Location","","","Rural",,0.6433,0.4007,0.1129,0.0871,0.0706,0.0614,233,140,38,,,,,,,,,,,,,,,,,,
"ARG",2013,3,"Primary","TERCE","Argentina",32,"Wealth","","","",1,0.4272,0.2052,0.0356,0.0423,0.0242,0.0128,330,145,24,,,,,,,,,,,,,,,,,,
"ARG",2013,3,"Primary","TERCE","Argentina",32,"Wealth","","","",2,0.5038,0.2648,0.0582,0.0368,0.03,0.017,403,216,44,,,,,,,,,,,,,,,,,,
"ARG",2013,3,"Primary","TERCE","Argentina",32,"Wealth","","","",3,0.6065,0.3577,0.0731,0.0309,0.0317,0.0147,458,268,57,,,,,,,,,,,,,,,,,,
"ARG",2013,3,"Primary","TERCE","Argentina",32,"Wealth","","","",4,0.7302,0.4359,0.1093,0.0257,0.028,0.0149,565,342,98,,,,,,,,,,,,,,,,,,
"ARG",2013,3,"Primary","TERCE","Argentina",32,"Wealth","","","",5,0.7861,0.5472,0.1817,0.0248,0.0275,0.0204,593,423,150,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Wealth","","","",1,0.3809,0.1728,0.0283,0.0382,0.025,0.0115,286,139,21,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Wealth","","","",2,0.5496,0.289,0.0582,0.037,0.029,0.0121,432,230,50,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Wealth","","","",3,0.6472,0.3986,0.1054,0.033,0.0323,0.0179,438,291,86,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Wealth","","","",4,0.7936,0.5662,0.1838,0.0319,0.0363,0.0307,505,364,131,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Wealth","","","",5,0.9068,0.7413,0.3603,0.0175,0.0315,0.0364,618,514,253,,,,,,,,,,,,,,,,,,
"CHL",2013,3,"Primary","TERCE","Chile",152,"Wealth","","","",1,0.7589,0.4796,0.101,0.0249,0.0287,0.0167,566,360,78,,,,,,,,,,,,,,,,,,
"CHL",2013,3,"Primary","TERCE","Chile",152,"Wealth","","","",2,0.824,0.5712,0.1627,0.0218,0.0299,0.0191,816,578,169,,,,,,,,,,,,,,,,,,
"CHL",2013,3,"Primary","TERCE","Chile",152,"Wealth","","","",3,0.8796,0.6734,0.2618,0.0181,0.029,0.0247,870,677,269,,,,,,,,,,,,,,,,,,
"CHL",2013,3,"Primary","TERCE","Chile",152,"Wealth","","","",4,0.9273,0.7845,0.3612,0.0177,0.0209,0.0287,902,793,395,,,,,,,,,,,,,,,,,,
"CHL",2013,3,"Primary","TERCE","Chile",152,"Wealth","","","",5,0.9598,0.8804,0.5281,0.016,0.0225,0.0305,998,937,615,,,,,,,,,,,,,,,,,,
"COL",2013,3,"Primary","TERCE","Colombia",170,"Wealth","","","",1,0.2105,0.0504,3e-04,0.0423,0.018,7e-04,164,36,1,,,,,,,,,,,,,,,,,,
"COL",2013,3,"Primary","TERCE","Colombia",170,"Wealth","","","",2,0.3494,0.0933,0.0072,0.0534,0.027,0.0059,283,81,8,,,,,,,,,,,,,,,,,,
"COL",2013,3,"Primary","TERCE","Colombia",170,"Wealth","","","",3,0.5519,0.2292,0.0157,0.0452,0.0316,0.0057,475,220,21,,,,,,,,,,,,,,,,,,
"COL",2013,3,"Primary","TERCE","Colombia",170,"Wealth","","","",4,0.7814,0.4271,0.0626,0.0351,0.0371,0.0176,641,361,54,,,,,,,,,,,,,,,,,,
"COL",2013,3,"Primary","TERCE","Colombia",170,"Wealth","","","",5,0.883,0.6269,0.1724,0.032,0.0408,0.0312,825,604,168,,,,,,,,,,,,,,,,,,
"CRI",2013,3,"Primary","TERCE","Costa Rica",188,"Wealth","","","",1,0.6879,0.3149,0.0361,0.0307,0.0403,0.013,396,174,24,,,,,,,,,,,,,,,,,,
"CRI",2013,3,"Primary","TERCE","Costa Rica",188,"Wealth","","","",2,0.731,0.368,0.0389,0.0368,0.0362,0.0102,529,275,37,,,,,,,,,,,,,,,,,,
"CRI",2013,3,"Primary","TERCE","Costa Rica",188,"Wealth","","","",3,0.8245,0.4999,0.0815,0.0208,0.0277,0.0133,588,363,54,,,,,,,,,,,,,,,,,,
"CRI",2013,3,"Primary","TERCE","Costa Rica",188,"Wealth","","","",4,0.8946,0.6239,0.1354,0.0161,0.0241,0.0211,641,464,127,,,,,,,,,,,,,,,,,,
"CRI",2013,3,"Primary","TERCE","Costa Rica",188,"Wealth","","","",5,0.9467,0.7704,0.268,0.0128,0.0222,0.027,673,576,237,,,,,,,,,,,,,,,,,,
"DOM",2013,3,"Primary","TERCE","Dominican Republic",214,"Wealth","","","",1,0.0649,0.0189,9e-04,0.0158,0.0072,0.0016,49,16,0,,,,,,,,,,,,,,,,,,
"DOM",2013,3,"Primary","TERCE","Dominican Republic",214,"Wealth","","","",2,0.0886,0.0295,0.0017,0.0173,0.0108,0.0037,67,17,1,,,,,,,,,,,,,,,,,,
"DOM",2013,3,"Primary","TERCE","Dominican Republic",214,"Wealth","","","",3,0.1082,0.022,0.0016,0.0154,0.0093,0.0028,98,18,0,,,,,,,,,,,,,,,,,,
"DOM",2013,3,"Primary","TERCE","Dominican Republic",214,"Wealth","","","",4,0.1244,0.0338,0.0037,0.0221,0.009,0.0033,111,28,1,,,,,,,,,,,,,,,,,,
"DOM",2013,3,"Primary","TERCE","Dominican Republic",214,"Wealth","","","",5,0.3249,0.1059,0.0079,0.0317,0.0221,0.0043,267,90,8,,,,,,,,,,,,,,,,,,
"ECU",2013,3,"Primary","TERCE","Ecuador",218,"Wealth","","","",1,0.3759,0.1628,0.0362,0.0367,0.0309,0.0152,361,150,26,,,,,,,,,,,,,,,,,,
"ECU",2013,3,"Primary","TERCE","Ecuador",218,"Wealth","","","",2,0.4479,0.2147,0.046,0.038,0.0355,0.0265,481,216,32,,,,,,,,,,,,,,,,,,
"ECU",2013,3,"Primary","TERCE","Ecuador",218,"Wealth","","","",3,0.5697,0.2689,0.0396,0.0289,0.0302,0.0141,591,262,30,,,,,,,,,,,,,,,,,,
"ECU",2013,3,"Primary","TERCE","Ecuador",218,"Wealth","","","",4,0.6589,0.3571,0.0557,0.0243,0.0255,0.0118,651,346,48,,,,,,,,,,,,,,,,,,
"ECU",2013,3,"Primary","TERCE","Ecuador",218,"Wealth","","","",5,0.8029,0.5222,0.1392,0.0206,0.0278,0.0225,847,545,133,,,,,,,,,,,,,,,,,,
