"iso_code3","year","grade","level","survey","COUNTRY","iso_num","category","Sex","Location","Language","Wealth","rlevel2_m","rlevel3_m","rlevel4_m","rlevel2_se","rlevel3_se","rlevel4_se","rlevel2_no","rlevel3_no","rlevel4_no"
"LVA",2006,4,"Primary","PIRLS","Latvia",428,"Total","","","",,0.9821,0.858,0.455,0.0041,0.0115,0.0149,4123,3704,2099
"MAR",2006,4,"Primary","PIRLS","Morocco",504,"Total","","","",,0.2574,0.087,0.0121,0.0199,0.0113,0.0044,881,288,40
"MDA",2006,4,"Primary","PIRLS","Moldova, Republic of",498,"Total","","","",,0.9126,0.6684,0.2333,0.0088,0.0177,0.0157,3713,2735,998
"MKD",2006,4,"Primary","PIRLS","Macedonia, the former Yugoslav Republic of",807,"Total","","","",,0.6576,0.4035,0.1499,0.016,0.0165,0.0113,2629,1606,589
"NLD",2006,4,"Primary","PIRLS","Netherlands",528,"Total","","","",,0.9944,0.9101,0.4933,0.0025,0.007,0.0126,4139,3842,2151
"NOR",2006,4,"Primary","PIRLS","Norway",578,"Total","","","",,0.9183,0.665,0.2198,0.0091,0.0163,0.0116,3517,2545,844
"",2006,4,"Primary","PIRLS","Norway (5th grade)",9578,"Total","","","",,0.9755,0.8537,0.4611,0.0093,0.0159,0.02,1764,1536,819
"NZL",2006,4,"Primary","PIRLS","New Zealand",554,"Total","","","",,0.9207,0.7594,0.4478,0.0058,0.0096,0.011,5656,4613,2721
"POL",2006,4,"Primary","PIRLS","Poland",616,"Total","","","",,0.9304,0.7313,0.3623,0.0064,0.0116,0.012,4566,3654,1867
"QAT",2006,4,"Primary","PIRLS","Qatar",634,"Total","","","",,0.3279,0.1086,0.0136,0.0065,0.004,0.0017,2184,740,95
"ROU",2006,4,"Primary","PIRLS","Romania",642,"Total","","","",,0.8395,0.6114,0.267,0.0188,0.0221,0.0166,3736,2802,1279
"RUS",2006,4,"Primary","PIRLS","Russian Federation",643,"Total","","","",,0.9844,0.8978,0.6103,0.0048,0.0113,0.021,4676,4316,3004
"",2006,4,"Primary","PIRLS","Scotland",927,"Total","","","",,0.9312,0.7665,0.4015,0.0076,0.0124,0.0151,3525,2925,1599
"SGP",2006,4,"Primary","PIRLS","Singapore",702,"Total","","","",,0.9665,0.8618,0.5792,0.0042,0.0102,0.0173,6143,5391,3588
"SVK",2006,4,"Primary","PIRLS","Slovakia",703,"Total","","","",,0.9436,0.7984,0.4329,0.0086,0.0137,0.0152,5117,4399,2493
"SVN",2006,4,"Primary","PIRLS","Slovenia",705,"Total","","","",,0.9443,0.7556,0.366,0.0051,0.0113,0.0125,5036,4096,1984
"SWE",2006,4,"Primary","PIRLS","Sweden",752,"Total","","","",,0.9819,0.8771,0.5252,0.0038,0.0094,0.015,4330,3850,2297
"TTO",2006,4,"Primary","PIRLS","Trinidad and Tobago",780,"Total","","","",,0.6438,0.3814,0.1306,0.0203,0.0176,0.0115,2675,1667,604
"TWN",2006,4,"Primary","PIRLS","Taiwan, Province of China",158,"Total","","","",,0.9699,0.8364,0.4303,0.0035,0.0097,0.0132,4449,3882,1992
"ZAF",2006,4,"Primary","PIRLS","South Africa",710,"Total","","","",,0.222,0.1253,0.0582,0.0153,0.0138,0.0086,2736,1315,544
"AUT",2006,4,"Primary","PIRLS","Austria",40,"Sex","Female","","",,0.984,0.8597,0.4866,0.0041,0.0129,0.0179,2462,2135,1223
"AUT",2006,4,"Primary","PIRLS","Austria",40,"Sex","Male","","",,0.9686,0.8187,0.4155,0.0065,0.0131,0.02,2491,2089,1074
"",2006,4,"Primary","PIRLS","Belgium (Flemish)",956,"Sex","Female","","",,0.9931,0.9133,0.5117,0.0024,0.0102,0.0181,2195,2034,1140
"",2006,4,"Primary","PIRLS","Belgium (Flemish)",956,"Sex","Male","","",,0.9913,0.8836,0.4748,0.0026,0.011,0.0192,2253,2013,1091
"",2006,4,"Primary","PIRLS","Belgium (French)",957,"Sex","Female","","",,0.9314,0.6711,0.2413,0.0087,0.0173,0.0147,2136,1560,561
"",2006,4,"Primary","PIRLS","Belgium (French)",957,"Sex","Male","","",,0.9109,0.6411,0.2263,0.0105,0.019,0.0144,2075,1469,536
"BGR",2006,4,"Primary","PIRLS","Bulgaria",100,"Sex","Female","","",,0.9632,0.8519,0.5651,0.0099,0.0178,0.0244,1851,1667,1140
"BGR",2006,4,"Primary","PIRLS","Bulgaria",100,"Sex","Male","","",,0.9325,0.7925,0.4684,0.0129,0.0229,0.0251,1854,1611,969
"",2006,4,"Primary","PIRLS","Canada, Alberta",9134,"Sex","Female","","",,0.9908,0.9058,0.5872,0.003,0.0126,0.0167,2075,1920,1252
"",2006,4,"Primary","PIRLS","Canada, Alberta",9134,"Sex","Male","","",,0.9866,0.8798,0.5535,0.0039,0.0136,0.0189,2122,1887,1210
"",2006,4,"Primary","PIRLS","Canada, British Columbia",9135,"Sex","Female","","",,0.9855,0.8946,0.5894,0.0042,0.011,0.0189,2069,1882,1249
"",2006,4,"Primary","PIRLS","Canada, British Columbia",9135,"Sex","Male","","",,0.9834,0.8705,0.5304,0.0043,0.0125,0.0192,2028,1796,1126
"",2006,4,"Primary","PIRLS","Canada, Nova Scotia",9136,"Sex","Female","","",,0.9728,0.8594,0.5378,0.0065,0.0105,0.0169,2126,1865,1143
"",2006,4,"Primary","PIRLS","Canada, Nova Scotia",9136,"Sex","Male","","",,0.9411,0.783,0.4305,0.0066,0.0142,0.017,2114,1743,916
"",2006,4,"Primary","PIRLS","Canada, Ontario",9132,"Sex","Female","","",,0.9882,0.8986,0.5703,0.004,0.0115,0.0252,1918,1660,975
"",2006,4,"Primary","PIRLS","Canada, Ontario",9132,"Sex","Male","","",,0.9722,0.8497,0.5153,0.0075,0.0151,0.0217,1930,1595,853
"",2006,4,"Primary","PIRLS","Canada, Quebec",9133,"Sex","Female","","",,0.9834,0.8575,0.439,0.0041,0.0137,0.0193,1838,1589,811
"",2006,4,"Primary","PIRLS","Canada, Quebec",9133,"Sex","Male","","",,0.9644,0.7933,0.375,0.0068,0.0194,0.0232,1795,1468,707
"DEU",2006,4,"Primary","PIRLS","Germany",276,"Sex","Female","","",,0.9777,0.8787,0.5448,0.0038,0.012,0.0203,3776,3410,2092
"DEU",2006,4,"Primary","PIRLS","Germany",276,"Sex","Male","","",,0.9707,0.8569,0.493,0.0059,0.0104,0.0197,3958,3484,1966
"DNK",2006,4,"Primary","PIRLS","Denmark",208,"Sex","Female","","",,0.9721,0.8709,0.5494,0.005,0.0119,0.0176,2004,1813,1168
"DNK",2006,4,"Primary","PIRLS","Denmark",208,"Sex","Male","","",,0.9577,0.8307,0.4855,0.0072,0.0143,0.0185,1876,1647,991
"ENG",2006,4,"Primary","PIRLS","England",926,"Sex","Female","","",,0.9416,0.8165,0.529,0.007,0.016,0.0148,1852,1595,1027
"ENG",2006,4,"Primary","PIRLS","England",926,"Sex","Male","","",,0.9243,0.7536,0.4278,0.0072,0.0119,0.0168,1892,1531,852
"ESP",2006,4,"Primary","PIRLS","Spain",724,"Sex","Female","","",,0.9374,0.7299,0.3216,0.0102,0.0197,0.0146,1903,1499,695
"ESP",2006,4,"Primary","PIRLS","Spain",724,"Sex","Male","","",,0.9333,0.7097,0.3001,0.0104,0.0165,0.0171,1968,1515,674
"FRA",2006,4,"Primary","PIRLS","France",250,"Sex","Female","","",,0.9693,0.793,0.3818,0.0046,0.0131,0.0162,2057,1681,821
"FRA",2006,4,"Primary","PIRLS","France",250,"Sex","Male","","",,0.9494,0.7343,0.3215,0.0063,0.0162,0.0145,2160,1695,765
"GEO",2006,4,"Primary","PIRLS","Georgia",268,"Sex","Female","","",,0.8543,0.5475,0.1697,0.0136,0.0216,0.0149,1897,1263,373
"GEO",2006,4,"Primary","PIRLS","Georgia",268,"Sex","Male","","",,0.7888,0.4515,0.1309,0.0165,0.0228,0.0157,1814,1066,283
"HKG",2006,4,"Primary","PIRLS","Hong Kong",344,"Sex","Female","","",,0.9955,0.9464,0.6523,0.002,0.0073,0.0177,2279,2165,1525
"HKG",2006,4,"Primary","PIRLS","Hong Kong",344,"Sex","Male","","",,0.9876,0.9036,0.5895,0.0036,0.0116,0.02,2400,2204,1423
"HUN",2006,4,"Primary","PIRLS","Hungary",348,"Sex","Female","","",,0.977,0.8654,0.5471,0.006,0.0166,0.0209,1973,1792,1193
"HUN",2006,4,"Primary","PIRLS","Hungary",348,"Sex","Male","","",,0.9716,0.859,0.5121,0.0074,0.0149,0.0182,2015,1819,1107
"",2006,4,"Primary","PIRLS","Iceland (5th grade)",9352,"Sex","Female","","",,0.9891,0.9161,0.5966,0.0057,0.0141,0.0256,667,621,399
"",2006,4,"Primary","PIRLS","Iceland (5th grade)",9352,"Sex","Male","","",,0.977,0.8304,0.466,0.0094,0.0237,0.0297,689,604,343
"IDN",2006,4,"Primary","PIRLS","Indonesia",360,"Sex","Female","","",,0.5923,0.2204,0.028,0.0231,0.0191,0.0051,1423,564,62
"IDN",2006,4,"Primary","PIRLS","Indonesia",360,"Sex","Male","","",,0.4892,0.1577,0.0212,0.0241,0.0147,0.0041,1170,398,50
"IRN",2006,4,"Primary","PIRLS","Iran, Islamic Republic of",364,"Sex","Female","","",,0.624,0.3375,0.0897,0.0255,0.0217,0.011,1708,1024,320
"IRN",2006,4,"Primary","PIRLS","Iran, Islamic Republic of",364,"Sex","Male","","",,0.5762,0.2729,0.067,0.021,0.0163,0.0079,1872,958,303
"ISL",2006,4,"Primary","PIRLS","Iceland",352,"Sex","Female","","",,0.9553,0.7753,0.3283,0.0097,0.01,0.0171,1746,1421,636
"ISL",2006,4,"Primary","PIRLS","Iceland",352,"Sex","Male","","",,0.9082,0.6688,0.2557,0.0079,0.0153,0.0119,1677,1248,466
"ISR",2006,4,"Primary","PIRLS","Israel",376,"Sex","Female","","",,0.8745,0.7289,0.4184,0.0137,0.0173,0.0175,1631,1362,774
"ISR",2006,4,"Primary","PIRLS","Israel",376,"Sex","Male","","",,0.8368,0.6655,0.377,0.0134,0.0155,0.0165,1686,1334,752
"ITA",2006,4,"Primary","PIRLS","Italy",380,"Sex","Female","","",,0.9857,0.8806,0.5437,0.004,0.0148,0.0193,1713,1525,955
"ITA",2006,4,"Primary","PIRLS","Italy",380,"Sex","Male","","",,0.9784,0.8571,0.5049,0.0059,0.0145,0.0204,1806,1574,928
"KWT",2006,4,"Primary","PIRLS","Kuwait",414,"Sex","Female","","",,0.3752,0.145,0.0235,0.0187,0.0129,0.0048,780,292,50
"KWT",2006,4,"Primary","PIRLS","Kuwait",414,"Sex","Male","","",,0.189,0.0586,0.0093,0.0138,0.0082,0.0024,359,114,18
"LTU",2006,4,"Primary","PIRLS","Lithuania",440,"Sex","Female","","",,0.9913,0.8943,0.4947,0.003,0.0107,0.0172,2286,2101,1198
"LTU",2006,4,"Primary","PIRLS","Lithuania",440,"Sex","Male","","",,0.983,0.8295,0.3627,0.0058,0.0137,0.0159,2373,2013,899
"LUX",2006,4,"Primary","PIRLS","Luxembourg",442,"Sex","Female","","",,0.9915,0.8931,0.5656,0.0026,0.0071,0.0111,2489,2246,1412
"LUX",2006,4,"Primary","PIRLS","Luxembourg",442,"Sex","Male","","",,0.9841,0.8836,0.5516,0.0037,0.0085,0.0122,2563,2293,1452
"LVA",2006,4,"Primary","PIRLS","Latvia",428,"Sex","Female","","",,0.9929,0.8976,0.541,0.003,0.0116,0.0197,2012,1858,1176
"LVA",2006,4,"Primary","PIRLS","Latvia",428,"Sex","Male","","",,0.9721,0.8218,0.3754,0.0068,0.0158,0.0175,2110,1846,923
"MAR",2006,4,"Primary","PIRLS","Morocco",504,"Sex","Female","","",,0.2834,0.0908,0.0128,0.0237,0.0159,0.0047,466,152,24
"MAR",2006,4,"Primary","PIRLS","Morocco",504,"Sex","Male","","",,0.2341,0.0836,0.0114,0.0203,0.012,0.0054,415,136,16
"MDA",2006,4,"Primary","PIRLS","Moldova, Republic of",498,"Sex","Female","","",,0.9301,0.7083,0.2618,0.0105,0.0179,0.0196,1883,1450,569
"MDA",2006,4,"Primary","PIRLS","Moldova, Republic of",498,"Sex","Male","","",,0.8954,0.6292,0.2053,0.0115,0.022,0.0172,1830,1285,429
"MKD",2006,4,"Primary","PIRLS","Macedonia, the former Yugoslav Republic of",807,"Sex","Female","","",,0.698,0.4449,0.1771,0.0172,0.0191,0.0154,1368,855,333
"MKD",2006,4,"Primary","PIRLS","Macedonia, the former Yugoslav Republic of",807,"Sex","Male","","",,0.6195,0.3644,0.1241,0.0193,0.0179,0.0108,1261,751,256
"NLD",2006,4,"Primary","PIRLS","Netherlands",528,"Sex","Female","","",,0.9959,0.9227,0.5216,0.0026,0.0083,0.0207,2086,1960,1153
"NLD",2006,4,"Primary","PIRLS","Netherlands",528,"Sex","Male","","",,0.9928,0.897,0.464,0.0043,0.0092,0.0158,2053,1882,998
"NOR",2006,4,"Primary","PIRLS","Norway",578,"Sex","Female","","",,0.9421,0.7166,0.2653,0.0081,0.018,0.0166,1776,1328,473
"NOR",2006,4,"Primary","PIRLS","Norway",578,"Sex","Male","","",,0.895,0.6146,0.1753,0.0129,0.0197,0.0143,1741,1217,371
"",2006,4,"Primary","PIRLS","Norway (5th grade)",9578,"Sex","Female","","",,0.9819,0.878,0.5127,0.0103,0.0174,0.0267,894,794,464
"",2006,4,"Primary","PIRLS","Norway (5th grade)",9578,"Sex","Male","","",,0.9694,0.8303,0.4116,0.0125,0.0215,0.0243,870,742,355
"NZL",2006,4,"Primary","PIRLS","New Zealand",554,"Sex","Female","","",,0.95,0.8152,0.4927,0.0051,0.0103,0.0138,2844,2421,1461
"NZL",2006,4,"Primary","PIRLS","New Zealand",554,"Sex","Male","","",,0.8925,0.7055,0.4044,0.0094,0.0138,0.0145,2811,2192,1260
"POL",2006,4,"Primary","PIRLS","Poland",616,"Sex","Female","","",,0.9463,0.7691,0.4,0.0074,0.0128,0.0138,2347,1945,1035
"POL",2006,4,"Primary","PIRLS","Poland",616,"Sex","Male","","",,0.9135,0.6912,0.3225,0.0094,0.0163,0.0149,2219,1709,832
"QAT",2006,4,"Primary","PIRLS","Qatar",634,"Sex","Female","","",,0.3962,0.1323,0.0165,0.0114,0.0077,0.0024,1310,450,58
"QAT",2006,4,"Primary","PIRLS","Qatar",634,"Sex","Male","","",,0.2608,0.0852,0.0107,0.008,0.0049,0.0026,874,290,37
"ROU",2006,4,"Primary","PIRLS","Romania",642,"Sex","Female","","",,0.8587,0.6431,0.2914,0.0184,0.0232,0.019,1856,1443,685
"ROU",2006,4,"Primary","PIRLS","Romania",642,"Sex","Male","","",,0.8217,0.582,0.2443,0.0219,0.0278,0.0197,1880,1359,594
"RUS",2006,4,"Primary","PIRLS","Russian Federation",643,"Sex","Female","","",,0.9871,0.9174,0.6566,0.005,0.0119,0.0223,2387,2249,1653
"RUS",2006,4,"Primary","PIRLS","Russian Federation",643,"Sex","Male","","",,0.9816,0.8776,0.5626,0.0059,0.0129,0.0224,2289,2067,1351
"",2006,4,"Primary","PIRLS","Scotland",927,"Sex","Female","","",,0.9532,0.8059,0.4436,0.0068,0.0166,0.0198,1822,1562,880
"",2006,4,"Primary","PIRLS","Scotland",927,"Sex","Male","","",,0.9086,0.726,0.3583,0.0119,0.0162,0.0205,1703,1363,719
"SGP",2006,4,"Primary","PIRLS","Singapore",702,"Sex","Female","","",,0.9792,0.8942,0.6217,0.0036,0.0099,0.0193,3060,2760,1913
"SGP",2006,4,"Primary","PIRLS","Singapore",702,"Sex","Male","","",,0.9548,0.8318,0.5398,0.0062,0.0135,0.0195,3083,2631,1675
"SVK",2006,4,"Primary","PIRLS","Slovakia",703,"Sex","Female","","",,0.9505,0.8299,0.4613,0.0092,0.0141,0.0165,2528,2240,1315
"SVK",2006,4,"Primary","PIRLS","Slovakia",703,"Sex","Male","","",,0.937,0.7683,0.4059,0.0109,0.0171,0.0178,2589,2159,1178
"SVN",2006,4,"Primary","PIRLS","Slovenia",705,"Sex","Female","","",,0.9633,0.8074,0.4209,0.0056,0.0119,0.014,2487,2119,1108
"SVN",2006,4,"Primary","PIRLS","Slovenia",705,"Sex","Male","","",,0.927,0.7078,0.3151,0.0074,0.0146,0.0153,2549,1977,876
"SWE",2006,4,"Primary","PIRLS","Sweden",752,"Sex","Female","","",,0.9873,0.9044,0.5834,0.0039,0.0087,0.0172,2099,1911,1235
"SWE",2006,4,"Primary","PIRLS","Sweden",752,"Sex","Male","","",,0.9769,0.852,0.4719,0.0057,0.0143,0.0186,2231,1939,1062
"TTO",2006,4,"Primary","PIRLS","Trinidad and Tobago",780,"Sex","Female","","",,0.7029,0.4329,0.1524,0.0221,0.0209,0.0148,1440,911,343
"TTO",2006,4,"Primary","PIRLS","Trinidad and Tobago",780,"Sex","Male","","",,0.5862,0.3312,0.1093,0.0247,0.0218,0.0124,1235,756,261
"TWN",2006,4,"Primary","PIRLS","Taiwan, Province of China",158,"Sex","Female","","",,0.9797,0.8668,0.4674,0.0044,0.0107,0.0163,2144,1908,1031
"TWN",2006,4,"Primary","PIRLS","Taiwan, Province of China",158,"Sex","Male","","",,0.9609,0.8086,0.3965,0.0052,0.0127,0.0147,2305,1974,961
"ZAF",2006,4,"Primary","PIRLS","South Africa",710,"Sex","Female","","",,0.2536,0.1443,0.0712,0.0179,0.0164,0.0117,1622,788,342
"ZAF",2006,4,"Primary","PIRLS","South Africa",710,"Sex","Male","","",,0.1901,0.1062,0.045,0.0155,0.0132,0.0075,1107,525,202
"AUT",2006,4,"Primary","PIRLS","Austria",40,"Location","","Urban","",,0.9689,0.8031,0.4342,0.0056,0.0157,0.022,2988,2474,1352
"AUT",2006,4,"Primary","PIRLS","Austria",40,"Location","","Rural","",,0.9838,0.8763,0.4691,0.0056,0.014,0.0211,1930,1719,933
"",2006,4,"Primary","PIRLS","Belgium (Flemish)",956,"Location","","Urban","",,0.9884,0.8811,0.4733,0.0028,0.0126,0.0204,2477,2219,1216
"",2006,4,"Primary","PIRLS","Belgium (Flemish)",956,"Location","","Rural","",,0.9966,0.9188,0.52,0.002,0.0117,0.0213,1770,1643,912
"",2006,4,"Primary","PIRLS","Belgium (French)",957,"Location","","Urban","",,0.9105,0.6274,0.2124,0.0128,0.0246,0.0181,2603,1831,644
"",2006,4,"Primary","PIRLS","Belgium (French)",957,"Location","","Rural","",,0.9479,0.7222,0.287,0.0127,0.0295,0.0237,974,759,301
"BGR",2006,4,"Primary","PIRLS","Bulgaria",100,"Location","","Urban","",,0.9627,0.8496,0.5657,0.0075,0.0201,0.0278,3092,2757,1844
"BGR",2006,4,"Primary","PIRLS","Bulgaria",100,"Location","","Rural","",,0.8963,0.7324,0.3642,0.031,0.0448,0.0486,416,341,157
"",2006,4,"Primary","PIRLS","Canada, Alberta",9134,"Location","","Urban","",,0.9906,0.9013,0.5913,0.0027,0.0112,0.02,3125,2872,1906
"",2006,4,"Primary","PIRLS","Canada, Alberta",9134,"Location","","Rural","",,0.9826,0.8669,0.5133,0.0069,0.0206,0.0288,1002,873,517
"",2006,4,"Primary","PIRLS","Canada, British Columbia",9135,"Location","","Urban","",,0.9866,0.8956,0.5711,0.0032,0.0101,0.0174,3233,2930,1907
"",2006,4,"Primary","PIRLS","Canada, British Columbia",9135,"Location","","Rural","",,0.9775,0.8275,0.5016,0.0105,0.0314,0.0425,443,375,226
"",2006,4,"Primary","PIRLS","Canada, Nova Scotia",9136,"Location","","Urban","",,0.9631,0.8425,0.5025,0.0063,0.0142,0.0219,1894,1654,954
"",2006,4,"Primary","PIRLS","Canada, Nova Scotia",9136,"Location","","Rural","",,0.9491,0.7968,0.4641,0.0063,0.0128,0.0171,2111,1758,1002
"",2006,4,"Primary","PIRLS","Canada, Ontario",9132,"Location","","Urban","",,0.9801,0.8771,0.5452,0.0048,0.0129,0.0222,3093,2663,1514
"",2006,4,"Primary","PIRLS","Canada, Ontario",9132,"Location","","Rural","",,0.9797,0.8576,0.5253,0.0084,0.0234,0.0338,608,465,237
"",2006,4,"Primary","PIRLS","Canada, Quebec",9133,"Location","","Urban","",,0.9746,0.8356,0.418,0.0049,0.0137,0.024,2770,2356,1187
"",2006,4,"Primary","PIRLS","Canada, Quebec",9133,"Location","","Rural","",,0.9731,0.788,0.3898,0.0119,0.0344,0.0368,495,393,192
"DEU",2006,4,"Primary","PIRLS","Germany",276,"Location","","Urban","",,0.9636,0.8411,0.4965,0.005,0.0126,0.0225,4484,3918,2242
"DEU",2006,4,"Primary","PIRLS","Germany",276,"Location","","Rural","",,0.9914,0.9082,0.5534,0.0034,0.0111,0.0199,2946,2707,1663
"DNK",2006,4,"Primary","PIRLS","Denmark",208,"Location","","Urban","",,0.9696,0.8665,0.5364,0.0049,0.0108,0.0174,2631,2361,1483
"DNK",2006,4,"Primary","PIRLS","Denmark",208,"Location","","Rural","",,0.9586,0.829,0.4973,0.0091,0.0217,0.029,947,831,522
"ENG",2006,4,"Primary","PIRLS","England",926,"Location","","Urban","",,0.926,0.7717,0.4645,0.0074,0.014,0.016,2655,2213,1334
"ENG",2006,4,"Primary","PIRLS","England",926,"Location","","Rural","",,0.9725,0.894,0.5967,0.0091,0.0187,0.0277,531,480,307
"ESP",2006,4,"Primary","PIRLS","Spain",724,"Location","","Urban","",,0.9452,0.7389,0.3291,0.0079,0.0169,0.0161,2941,2326,1098
"ESP",2006,4,"Primary","PIRLS","Spain",724,"Location","","Rural","",,0.9068,0.6528,0.2506,0.031,0.0382,0.0301,582,413,158
"FRA",2006,4,"Primary","PIRLS","France",250,"Location","","Urban","",,0.9515,0.7508,0.3497,0.007,0.0172,0.0201,2547,2034,946
"FRA",2006,4,"Primary","PIRLS","France",250,"Location","","Rural","",,0.9686,0.7808,0.3501,0.0071,0.015,0.0189,1358,1093,518
"GEO",2006,4,"Primary","PIRLS","Georgia",268,"Location","","Urban","",,0.8635,0.5539,0.1605,0.0151,0.0226,0.0174,2916,1916,554
"GEO",2006,4,"Primary","PIRLS","Georgia",268,"Location","","Rural","",,0.7651,0.4293,0.138,0.0254,0.0304,0.0219,711,371,95
"HKG",2006,4,"Primary","PIRLS","Hong Kong",344,"Location","","Urban","",,0.9921,0.9314,0.6322,0.0023,0.0083,0.0158,4313,4056,2761
"HKG",2006,4,"Primary","PIRLS","Hong Kong",344,"Location","","Rural","",,0.9827,0.8549,0.4601,0.0138,0.0568,0.086,190,167,94
"HUN",2006,4,"Primary","PIRLS","Hungary",348,"Location","","Urban","",,0.9802,0.8881,0.5887,0.0065,0.0178,0.0217,3040,2807,1881
"HUN",2006,4,"Primary","PIRLS","Hungary",348,"Location","","Rural","",,0.9587,0.7964,0.3877,0.0117,0.025,0.0283,816,677,330
"",2006,4,"Primary","PIRLS","Iceland (5th grade)",9352,"Location","","Urban","",,0.9816,0.8793,0.5313,0.0066,0.0143,0.0278,1005,915,557
"",2006,4,"Primary","PIRLS","Iceland (5th grade)",9352,"Location","","Rural","",,0.9909,0.8668,0.577,0.0166,0.0373,0.0577,134,122,78
"IDN",2006,4,"Primary","PIRLS","Indonesia",360,"Location","","Urban","",,0.7069,0.3207,0.0515,0.0301,0.0318,0.0102,1065,491,70
"IDN",2006,4,"Primary","PIRLS","Indonesia",360,"Location","","Rural","",,0.4756,0.1407,0.015,0.0253,0.0168,0.0034,1477,454,40
"IRN",2006,4,"Primary","PIRLS","Iran, Islamic Republic of",364,"Location","","Urban","",,0.7011,0.386,0.1089,0.0195,0.0172,0.0098,3072,1794,598
"IRN",2006,4,"Primary","PIRLS","Iran, Islamic Republic of",364,"Location","","Rural","",,0.4071,0.1482,0.0191,0.0262,0.0185,0.0053,508,188,25
