"COUNTRY","year","grade","level","survey","iso_code3","iso_num","category","Wealth","Sex","Language","Location","mlevel1_m","mlevel2_m","mlevel3_m","mlevel4_m","mlevel1_se","mlevel2_se","mlevel3_se","mlevel4_se","mlevel1_no","mlevel2_no","mlevel3_no","mlevel4_no","rlevel1_m","rlevel2_m","rlevel1_se","rlevel2_se","rlevel1_no","rlevel2_no"
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Wealth",1,"","","",0.1014,0.024,0.0039,0,0.0152,0.0051,0.0027,0,120,28,6,0,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Wealth",2,"","","",0.2342,0.0773,0.0132,0.001,0.0197,0.0115,0.0038,0.001,277,88,15,1,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Wealth",3,"","","",0.3244,0.1186,0.032,0.003,0.0225,0.0144,0.007,0.002,396,145,46,4,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Wealth",4,"","","",0.4188,0.1917,0.0545,0.0093,0.0211,0.0174,0.009,0.0043,513,219,59,6,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Wealth",5,"","","",0.6867,0.4371,0.1835,0.0478,0.0239,0.0309,0.0277,0.0163,828,510,211,64,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Wealth",1,"","","",0.9063,0.8067,0.6392,0.4221,0.0236,0.0325,0.033,0.032,882,784,612,408,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Wealth",2,"","","",0.9704,0.9131,0.7822,0.5678,0.0075,0.0138,0.0187,0.0249,937,879,761,542,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Wealth",3,"","","",0.985,0.938,0.8342,0.6625,0.0041,0.0113,0.0218,0.0216,961,919,819,651,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Wealth",4,"","","",0.9902,0.9558,0.87,0.7083,0.0041,0.0084,0.0177,0.0201,950,914,843,683,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Wealth",5,"","","",0.9965,0.9814,0.9395,0.849,0.0021,0.0066,0.0102,0.0153,962,952,914,826,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Sex",,"Female","","",0.4234,0.2015,0.0702,0.02,0.0193,0.0177,0.0108,0.0059,1186,557,196,50,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Sex",,"Male","","",0.3584,0.1697,0.0563,0.012,0.018,0.0146,0.0078,0.003,981,492,175,36,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Sex",,"Female","","",0.2184,0.0856,0.0224,0.0028,0.0168,0.0095,0.0054,0.0017,565,232,45,4,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Sex",,"Male","","",0.2094,0.0792,0.0233,0.0035,0.0144,0.0097,0.0057,0.0019,563,209,60,9,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Sex",,"Female","","",0.3523,0.1228,0.0297,0.0028,0.0185,0.0114,0.0046,0.0011,960,364,92,8,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Sex",,"Male","","",0.3313,0.1202,0.0306,0.0052,0.0173,0.0115,0.0054,0.0026,1026,372,102,16,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Sex",,"Female","","",0.8492,0.6779,0.4215,0.197,0.015,0.0209,0.0252,0.0197,1980,1597,1013,484,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Sex",,"Male","","",0.7903,0.6078,0.3794,0.1764,0.0219,0.0232,0.022,0.0153,1774,1370,881,417,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Sex",,"Female","","",0.3797,0.1763,0.0564,0.0097,0.0208,0.0162,0.008,0.0034,1152,502,166,32,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Sex",,"Male","","",0.3243,0.162,0.0583,0.0147,0.0193,0.0165,0.0119,0.0064,984,489,171,43,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Sex",,"Female","","",0.9685,0.9173,0.8076,0.6336,0.0086,0.0119,0.0178,0.0196,2271,2149,1919,1510,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Sex",,"Male","","",0.9674,0.9138,0.8059,0.6319,0.0078,0.0122,0.0163,0.0222,2432,2309,2040,1609,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Language",,"","No","",0.2493,0.1339,0.0564,0.0163,0.0326,0.0238,0.0168,0.0113,90,44,22,9,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Language",,"","Yes","",0.4008,0.1893,0.0639,0.0161,0.0163,0.0137,0.0086,0.004,2077,1005,349,77,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Language",,"","No","",0.1119,0.0379,0.0111,0.0011,0.0148,0.0063,0.0035,8e-04,242,82,19,1,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Language",,"","Yes","",0.2829,0.1124,0.0309,0.0046,0.0195,0.0119,0.007,0.0024,886,359,86,12,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Language",,"","No","",0.1936,0.0517,0.0101,9e-04,0.0262,0.0088,0.0042,7e-04,272,73,17,3,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Language",,"","Yes","",0.3875,0.1433,0.0364,0.0051,0.0149,0.011,0.005,0.0019,1714,663,177,21,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Language",,"","No","",0.7472,0.5405,0.3186,0.1403,0.0251,0.0309,0.0304,0.023,686,492,292,133,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Language",,"","Yes","",0.8384,0.669,0.4213,0.1985,0.0184,0.0226,0.0229,0.0174,3068,2475,1602,768,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Language",,"","No","",0.3556,0.1666,0.0535,0.01,0.0177,0.0127,0.0067,0.0026,2016,907,288,60,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Language",,"","Yes","",0.2989,0.2019,0.1077,0.0413,0.0529,0.0526,0.0419,0.025,120,84,49,15,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Language",,"","No","",0.8443,0.7105,0.5508,0.37,0.0424,0.0547,0.0579,0.0641,364,303,231,145,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Language",,"","Yes","",0.9817,0.9384,0.8353,0.6621,0.0037,0.0067,0.0122,0.0155,4339,4155,3728,2974,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Location",,"","","Rural",0.3029,0.1101,0.0246,0.0022,0.0187,0.0124,0.0039,0.0017,741,274,61,3,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Location",,"","","Urban",0.4762,0.2588,0.1009,0.0296,0.0272,0.0238,0.0154,0.0071,1405,768,308,83,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Location",,"","","Rural",0.1714,0.0612,0.0168,0.002,0.0154,0.0094,0.005,0.0012,622,223,63,7,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Location",,"","","Urban",0.3675,0.1596,0.0457,0.0075,0.0346,0.0217,0.0153,0.0049,469,213,41,6,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Location",,"","","Rural",0.2991,0.0905,0.0186,0.0017,0.0196,0.0106,0.0041,0.0013,844,248,49,3,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Location",,"","","Urban",0.4194,0.1783,0.0514,0.0087,0.0249,0.0188,0.0105,0.0034,1103,470,139,21,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Location",,"","","Rural",0.7568,0.5547,0.3052,0.1145,0.0341,0.0387,0.0326,0.021,972,729,402,166,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Location",,"","","Urban",0.848,0.6823,0.4428,0.2186,0.0196,0.024,0.0261,0.0207,2782,2238,1492,735,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Location",,"","","Rural",0.2638,0.1073,0.0301,0.0051,0.0291,0.0181,0.0085,0.0027,561,222,57,9,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Location",,"","","Urban",0.4121,0.2117,0.0762,0.0171,0.0255,0.023,0.0144,0.0066,1575,769,280,66,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Location",,"","","Rural",0.9574,0.8941,0.7718,0.5859,0.0111,0.0169,0.0241,0.0284,2267,2112,1824,1370,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Location",,"","","Urban",0.9797,0.9394,0.8455,0.6836,0.0084,0.0138,0.0179,0.0218,2405,2316,2107,1723,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Sex & Wealth",1,"Female","","",0.2705,0.0946,0.0205,0.0014,0.0243,0.0153,0.0077,0.0018,170,54,10,0,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Sex & Wealth",1,"Male","","",0.2144,0.069,0.018,0.0029,0.0221,0.0127,0.0077,0.0038,123,40,14,3,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Sex & Wealth",2,"Female","","",0.3388,0.1145,0.0221,0.0016,0.0278,0.0182,0.0104,0.0033,166,51,4,0,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Sex & Wealth",2,"Male","","",0.272,0.0989,0.0194,0.0019,0.0295,0.0182,0.0087,0.0024,130,46,11,1,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Sex & Wealth",3,"Female","","",0.4054,0.1764,0.0413,0.0088,0.0318,0.0224,0.011,0.0052,211,95,25,2,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Sex & Wealth",3,"Male","","",0.3089,0.1194,0.0214,0.0026,0.0282,0.0186,0.0064,0.0029,168,74,16,2,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Sex & Wealth",4,"Female","","",0.4598,0.219,0.0609,0.0165,0.0352,0.0279,0.0168,0.0119,260,118,35,6,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Sex & Wealth",4,"Male","","",0.4079,0.1885,0.0466,0.0036,0.0375,0.0292,0.0146,0.0051,217,100,21,0,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Sex & Wealth",5,"Female","","",0.7041,0.4487,0.2303,0.081,0.031,0.045,0.034,0.0193,379,239,122,42,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Sex & Wealth",5,"Male","","",0.6096,0.3879,0.1831,0.0511,0.0313,0.0358,0.0239,0.013,343,232,113,30,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Sex & Wealth",1,"Female","","",0.0705,0.0202,0.0038,2e-04,0.0146,0.0098,0.0027,7e-04,43,9,2,0,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Sex & Wealth",1,"Male","","",0.1081,0.0287,0.0072,0,0.0229,0.0118,0.0057,0,54,12,1,0,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Sex & Wealth",2,"Female","","",0.1342,0.0343,0.0085,5e-04,0.024,0.0123,0.0054,0.0015,64,14,3,0,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Sex & Wealth",2,"Male","","",0.096,0.02,0.0031,0,0.0201,0.0095,0.0046,0,45,11,2,0,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Sex & Wealth",3,"Female","","",0.1763,0.0569,0.0122,0.0011,0.0254,0.0133,0.0067,0.0026,85,26,3,0,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Sex & Wealth",3,"Male","","",0.1582,0.0442,0.0091,0,0.0247,0.0125,0.0072,0,88,19,4,0,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Sex & Wealth",4,"Female","","",0.3004,0.108,0.019,0.0012,0.0296,0.0222,0.0096,0.0025,131,46,4,0,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Sex & Wealth",4,"Male","","",0.2536,0.0851,0.0171,0.0033,0.0268,0.0192,0.0072,0.0024,130,38,11,2,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Sex & Wealth",5,"Female","","",0.52,0.2636,0.0854,0.0137,0.0355,0.0384,0.0211,0.0086,242,137,33,4,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Sex & Wealth",5,"Male","","",0.4806,0.2457,0.0909,0.0162,0.0422,0.0382,0.0249,0.0106,244,128,42,7,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Sex & Wealth",1,"Female","","",0.211,0.0447,0.0037,2e-04,0.0263,0.0107,0.0043,6e-04,105,28,3,0,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Sex & Wealth",1,"Male","","",0.248,0.0714,0.0106,7e-04,0.0327,0.0175,0.0085,0.002,131,41,9,0,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Sex & Wealth",2,"Female","","",0.2441,0.0522,0.0098,0.001,0.0369,0.0159,0.0063,0.0023,131,30,7,0,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Sex & Wealth",2,"Male","","",0.2601,0.0719,0.012,0.001,0.0292,0.018,0.0073,0.002,150,44,10,1,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Sex & Wealth",3,"Female","","",0.3436,0.0986,0.0212,0.0024,0.0323,0.0189,0.0085,0.0037,165,47,13,2,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Sex & Wealth",3,"Male","","",0.2934,0.1003,0.0216,0.0024,0.0267,0.0195,0.0104,0.0043,173,48,5,0,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Sex & Wealth",4,"Female","","",0.4412,0.1607,0.0329,0.0014,0.0287,0.0218,0.0116,0.0025,210,78,14,1,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Sex & Wealth",4,"Male","","",0.3662,0.1197,0.0246,0.0018,0.0326,0.0195,0.011,0.003,231,66,14,2,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Sex & Wealth",5,"Female","","",0.6352,0.3309,0.1044,0.0116,0.031,0.0339,0.0234,0.0046,349,181,55,5,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Sex & Wealth",5,"Male","","",0.5883,0.2985,0.1088,0.0263,0.031,0.0319,0.0222,0.014,340,172,64,13,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Sex & Wealth",1,"Female","","",0.6743,0.4507,0.2086,0.0638,0.0281,0.0314,0.0352,0.0171,315,220,99,24,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Sex & Wealth",1,"Male","","",0.5929,0.3738,0.1929,0.0676,0.036,0.0332,0.0265,0.0169,277,178,92,34,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Sex & Wealth",2,"Female","","",0.8122,0.6048,0.3311,0.1201,0.0292,0.0338,0.0315,0.0293,358,268,154,66,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Sex & Wealth",2,"Male","","",0.7155,0.5103,0.2725,0.1184,0.0416,0.0431,0.0339,0.0252,346,253,137,53,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Sex & Wealth",3,"Female","","",0.8623,0.681,0.4078,0.1978,0.026,0.0357,0.0406,0.0296,391,313,198,96,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Sex & Wealth",3,"Male","","",0.8481,0.6697,0.4155,0.1754,0.0238,0.0319,0.0368,0.0269,376,294,183,82,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Sex & Wealth",4,"Female","","",0.9317,0.7855,0.5284,0.2437,0.0148,0.0279,0.0337,0.0346,463,383,263,128,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Sex & Wealth",4,"Male","","",0.8898,0.7069,0.4515,0.2161,0.0253,0.0313,0.0355,0.0316,375,297,206,99,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Sex & Wealth",5,"Female","","",0.9762,0.8834,0.6482,0.3723,0.0115,0.0199,0.0322,0.0327,453,413,299,170,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Sex & Wealth",5,"Male","","",0.9529,0.8392,0.6227,0.3411,0.0141,0.0237,0.0321,0.0312,400,348,263,149,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Sex & Wealth",1,"Female","","",0.1185,0.0286,0.0068,0,0.0196,0.0089,0.0051,0,70,12,5,0,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Sex & Wealth",1,"Male","","",0.0847,0.0195,0.0011,0,0.0189,0.0072,0.0017,0,50,16,1,0,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Sex & Wealth",2,"Female","","",0.2711,0.0865,0.0153,9e-04,0.0267,0.014,0.0069,0.0015,165,53,8,1,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Sex & Wealth",2,"Male","","",0.1954,0.0676,0.011,0.0012,0.0222,0.0144,0.006,0.002,112,35,7,0,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Sex & Wealth",3,"Female","","",0.3722,0.1405,0.0326,0.0021,0.0284,0.0215,0.0093,0.0028,224,80,23,0,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Sex & Wealth",3,"Male","","",0.2724,0.0947,0.0314,0.004,0.0294,0.018,0.0092,0.0039,172,65,23,4,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Sex & Wealth",4,"Female","","",0.457,0.2151,0.0548,0.0074,0.0347,0.0266,0.0126,0.0039,277,113,28,4,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Sex & Wealth",4,"Male","","",0.3855,0.1712,0.0542,0.0109,0.0231,0.0171,0.0114,0.007,236,106,31,2,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Sex & Wealth",5,"Female","","",0.7147,0.4365,0.1821,0.0403,0.0267,0.032,0.0248,0.0157,414,243,102,27,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Sex & Wealth",5,"Male","","",0.6624,0.4375,0.1848,0.0543,0.0343,0.0426,0.0416,0.025,414,267,109,37,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Sex & Wealth",1,"Female","","",0.9025,0.8084,0.644,0.4178,0.0294,0.0376,0.0407,0.0338,414,367,290,193,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Sex & Wealth",1,"Male","","",0.9098,0.8051,0.6349,0.4259,0.0239,0.0363,0.0398,0.0426,468,417,322,215,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Sex & Wealth",2,"Female","","",0.9738,0.9094,0.775,0.5641,0.008,0.016,0.0246,0.029,458,427,367,263,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Sex & Wealth",2,"Male","","",0.9671,0.9167,0.7892,0.5714,0.0113,0.0175,0.0266,0.0349,479,452,394,279,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Sex & Wealth",3,"Female","","",0.9861,0.9443,0.8408,0.6718,0.0074,0.0116,0.025,0.0314,499,478,435,343,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Sex & Wealth",3,"Male","","",0.9839,0.9314,0.8273,0.6528,0.0057,0.0164,0.0306,0.0283,462,441,384,308,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Sex & Wealth",4,"Female","","",0.9888,0.9523,0.8686,0.711,0.008,0.0125,0.0228,0.0279,431,411,382,311,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Sex & Wealth",4,"Male","","",0.9914,0.9587,0.8712,0.7061,0.0051,0.0106,0.0221,0.0257,519,503,461,372,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Sex & Wealth",5,"Female","","",0.9973,0.9858,0.9378,0.8454,0.0036,0.0093,0.0139,0.0221,466,464,443,398,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Sex & Wealth",5,"Male","","",0.9958,0.9772,0.941,0.8525,0.0034,0.0081,0.0136,0.0173,496,488,471,428,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Language & Wealth",1,"","No","",0.1091,0.0318,0.0062,0,0.0424,0.0292,0.0143,0,10,0,0,0,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Language & Wealth",1,"","Yes","",0.2556,0.0869,0.0204,0.0023,0.0187,0.0111,0.0055,0.0019,283,94,24,3,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Language & Wealth",2,"","No","",0.1303,0.0469,0.0102,0,0.0713,0.039,0.0156,0,8,2,0,0,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Language & Wealth",2,"","Yes","",0.3164,0.1103,0.0214,0.0018,0.019,0.0141,0.0073,0.0018,288,95,15,1,,,,,,
