survey_uis,iso_code3,country,year_uis,group,category,comp_prim_uis,comp_lowsec_uis,comp_upsec_uis,metadata,note_source
DHS,ARM,Armenia,2006,sex,male,98.908058,75.89415,34.922531,Armenia DHS 2005. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2006,wealth,quintile 4,100,75.440407,42.448841,Armenia DHS 2005. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2006,poorest by sex,poorest male,96.598503,57.445629,5.0235701,Armenia DHS 2005. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2006,wealth,quintile 2,100,66.693817,16.29258,Armenia DHS 2005. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2006,location,urban,99.686707,75.060028,44.93626,Armenia DHS 2005. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2006,wealth,quintile 3,99.65773,74.385048,29.232031,Armenia DHS 2005. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2006,wealth,quintile 5,99.749672,83.897614,70.144272,Armenia DHS 2005. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2006,sex,female,100,69.581963,35.81427,Armenia DHS 2005. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2006,location,rural,99.156288,67.906143,18.550751,Armenia DHS 2005. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2006,wealth,quintile 1,98.24189,59.421989,7.7473102,Armenia DHS 2005. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2006,poorest by sex,poorest female,100,61.19936,10.2782,Armenia DHS 2005. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2006,total,total,99.454613,72.357468,35.453381,Armenia DHS 2005. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2011,wealth,quintile 5,100,100,99.065361,Armenia DHS 2010. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2011,sex,male,99.763496,98.492554,88.622566,Armenia DHS 2010. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2011,location,rural,99.708748,98.281487,90.291351,Armenia DHS 2010. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2011,poorest by sex,poorest male,99.060211,95.902206,81.524117,Armenia DHS 2010. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2011,wealth,quintile 2,100,98.756371,88.702301,Armenia DHS 2010. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2011,wealth,quintile 4,100,100,98.518204,Armenia DHS 2010. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2011,wealth,quintile 1,99.482903,98.3237,87.843742,Armenia DHS 2010. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2011,poorest by sex,poorest female,100,99.621063,92.742729,Armenia DHS 2010. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2011,total,total,99.875038,99.282944,93.047279,Armenia DHS 2010. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2011,location,urban,100,99.892517,94.900787,Armenia DHS 2010. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2011,sex,female,100,99.823441,96.253761,Armenia DHS 2010. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2011,wealth,quintile 3,100,99.330002,91.956741,Armenia DHS 2010. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2016,wealth,quintile 5,100,99.65435,77.583214,Armenia DHS 2015-16. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2016,wealth,quintile 4,100,100,75.711319,Armenia DHS 2015-16. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2016,poorest by sex,poorest female,98.617188,99.222023,54.584091,Armenia DHS 2015-16. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2016,sex,male,99.39119,94.663757,55.455582,Armenia DHS 2015-16. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2016,location,urban,99.074303,98.892303,75.921951,Armenia DHS 2015-16. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2016,wealth,quintile 3,97.958351,96.440727,65.305206,Armenia DHS 2015-16. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2016,sex,female,99.112633,99.152641,73.716614,Armenia DHS 2015-16. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2016,location,rural,99.547447,94.630203,51.680481,Armenia DHS 2015-16. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2016,wealth,quintile 2,99.731377,95.480186,57.152618,Armenia DHS 2015-16. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2016,total,total,99.267738,96.967789,64.707352,Armenia DHS 2015-16. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2016,wealth,quintile 1,98.667389,92.895538,49.601501,Armenia DHS 2015-16. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
DHS,ARM,Armenia,2016,poorest by sex,poorest male,98.713058,85.494713,44.874649,Armenia DHS 2015-16. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.,
HES,AUS,Australia,2010,wealth,quintile 3,,99.910004,85.949997,"Australia HES-SIH 2010. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
HES,AUS,Australia,2010,sex,male,,98.82,81.470001,"Australia HES-SIH 2010. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
HES,AUS,Australia,2010,total,total,,99.150002,85.019997,"Australia HES-SIH 2010. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
HES,AUS,Australia,2010,wealth,quintile 1,,96.559998,73.480003,"Australia HES-SIH 2010. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
HES,AUS,Australia,2010,wealth,quintile 2,,99.25,77.220001,"Australia HES-SIH 2010. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
HES,AUS,Australia,2010,sex,female,,99.529999,88.75,"Australia HES-SIH 2010. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
HES,AUS,Australia,2010,wealth,quintile 4,,99.559998,85.510002,"Australia HES-SIH 2010. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
HES,AUS,Australia,2010,wealth,quintile 5,,99.309998,91.470001,"Australia HES-SIH 2010. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2005,location,rural,,99.669998,86.400002,"Austria EU-SILC 2005. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2005,total,total,,98.660004,86.809998,"Austria EU-SILC 2005. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2005,sex,male,,98.730003,86.550003,"Austria EU-SILC 2005. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2005,sex,female,,98.589996,87.089996,"Austria EU-SILC 2005. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2005,wealth,quintile 4,,99.199997,89.269997,"Austria EU-SILC 2005. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2005,wealth,quintile 1,,96.57,77.260002,"Austria EU-SILC 2005. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2005,wealth,quintile 5,,100,94.669998,"Austria EU-SILC 2005. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2005,location,urban,,97.790001,87.129997,"Austria EU-SILC 2005. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2005,wealth,quintile 2,,98.790001,86.07,"Austria EU-SILC 2005. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2005,wealth,quintile 3,,99.209999,82.830002,"Austria EU-SILC 2005. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2011,wealth,quintile 1,,98.900002,70.300003,"Austria EU-SILC 2011. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2011,location,rural,,100,87.900002,"Austria EU-SILC 2011. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2011,location,urban,,98.690002,83.800003,"Austria EU-SILC 2011. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2011,wealth,quintile 4,,100,86.480003,"Austria EU-SILC 2011. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2011,wealth,quintile 5,,100,93.230003,"Austria EU-SILC 2011. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2011,wealth,quintile 2,,97.349998,81.779999,"Austria EU-SILC 2011. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2011,sex,male,,98.529999,84.209999,"Austria EU-SILC 2011. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2011,wealth,quintile 3,,100,96.559998,"Austria EU-SILC 2011. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2011,total,total,,99.190002,85.209999,"Austria EU-SILC 2011. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2011,sex,female,,100,86.309998,"Austria EU-SILC 2011. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2013,sex,male,,98.720001,89.550003,"Austria EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2013,wealth,quintile 4,,100,91.879997,"Austria EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2013,wealth,quintile 1,,98.339996,86.18,"Austria EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2013,wealth,quintile 3,,99.57,94.610001,"Austria EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2013,location,urban,,99.75,88.739998,"Austria EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2013,wealth,quintile 5,,100,98.550003,"Austria EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2013,sex,female,,99.75,94.339996,"Austria EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2013,total,total,,99.230003,91.639999,"Austria EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2013,location,rural,,98.5,94.82,"Austria EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2013,wealth,quintile 2,,98.279999,86.599998,"Austria EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2014,location,urban,,97.75,85.720001,"Austria EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2014,location,rural,,100,91.559998,"Austria EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2014,wealth,quintile 5,,100,92.629997,"Austria EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
EU-SILC,AUT,Austria,2014,wealth,quintile 3,,100,90.919998,"Austria EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019.",Taken directly from WIDE
